State,County,County Code,Year,Deaths
AL,Baldwin County,1003,2009,29.0
AL,Calhoun County,1015,2009,12.0
AL,Escambia County,1053,2009,10.0
AL,Etowah County,1055,2009,14.0
AL,Houston County,1069,2009,10.0
AL,Jefferson County,1073,2009,80.0
AL,Jefferson County,1073,2009,10.0
AL,Lawrence County,1079,2009,10.0
AL,Lee County,1081,2009,10.0
AL,Limestone County,1083,2009,11.0
AL,Madison County,1089,2009,27.0
AL,Mobile County,1097,2009,50.0
AL,Montgomery County,1101,2009,11.0
AL,Morgan County,1103,2009,28.0
AL,St. Clair County,1115,2009,11.0
AL,Shelby County,1117,2009,28.0
AL,Tuscaloosa County,1125,2009,28.0
AL,Walker County,1127,2009,30.0
AK,Anchorage Borough,2020,2009,46.0
AK,Anchorage Borough,2020,2009,11.0
AK,Fairbanks North Star Borough,2090,2009,16.0
AK,Kenai Peninsula Borough,2122,2009,11.0
AK,Matanuska-Susitna Borough,2170,2009,15.0
AZ,Cochise County,4003,2009,14.0
AZ,Maricopa County,4013,2009,432.0
AZ,Maricopa County,4013,2009,85.0
AZ,Maricopa County,4013,2009,49.0
AZ,Mohave County,4015,2009,41.0
AZ,Mohave County,4015,2009,10.0
AZ,Navajo County,4017,2009,17.0
AZ,Pima County,4019,2009,142.0
AZ,Pima County,4019,2009,31.0
AZ,Pinal County,4021,2009,32.0
AZ,Pinal County,4021,2009,11.0
AZ,Yavapai County,4025,2009,23.0
AZ,Yavapai County,4025,2009,16.0
AZ,Yuma County,4027,2009,19.0
AR,Benton County,5007,2009,15.0
AR,Craighead County,5031,2009,20.0
AR,Crawford County,5033,2009,13.0
AR,Garland County,5051,2009,12.0
AR,Pulaski County,5119,2009,28.0
AR,Sebastian County,5131,2009,16.0
CA,Alameda County,6001,2009,119.0
CA,Alameda County,6001,2009,24.0
CA,Amador County,6005,2009,13.0
CA,Butte County,6007,2009,49.0
CA,Butte County,6007,2009,10.0
CA,Contra Costa County,6013,2009,79.0
CA,Contra Costa County,6013,2009,14.0
CA,El Dorado County,6017,2009,34.0
CA,Fresno County,6019,2009,101.0
CA,Humboldt County,6023,2009,34.0
CA,Imperial County,6025,2009,13.0
CA,Kern County,6029,2009,119.0
CA,Kern County,6029,2009,10.0
CA,Lake County,6033,2009,21.0
CA,Los Angeles County,6037,2009,627.0
CA,Los Angeles County,6037,2009,110.0
CA,Los Angeles County,6037,2009,28.0
CA,Marin County,6041,2009,10.0
CA,Marin County,6041,2009,11.0
CA,Marin County,6041,2009,12.0
CA,Mendocino County,6045,2009,12.0
CA,Merced County,6047,2009,16.0
CA,Monterey County,6053,2009,33.0
CA,Napa County,6055,2009,11.0
CA,Orange County,6059,2009,267.0
CA,Orange County,6059,2009,47.0
CA,Orange County,6059,2009,22.0
CA,Placer County,6061,2009,33.0
CA,Riverside County,6065,2009,200.0
CA,Riverside County,6065,2009,37.0
CA,Sacramento County,6067,2009,194.0
CA,Sacramento County,6067,2009,40.0
CA,Sacramento County,6067,2009,12.0
CA,San Bernardino County,6071,2009,77.0
CA,San Bernardino County,6071,2009,47.0
CA,San Bernardino County,6071,2009,10.0
CA,San Diego County,6073,2009,288.0
CA,San Diego County,6073,2009,79.0
CA,San Francisco County,6075,2009,149.0
CA,San Francisco County,6075,2009,16.0
CA,San Joaquin County,6077,2009,107.0
CA,San Joaquin County,6077,2009,11.0
CA,San Luis Obispo County,6079,2009,27.0
CA,San Mateo County,6081,2009,36.0
CA,San Mateo County,6081,2009,14.0
CA,Santa Barbara County,6083,2009,52.0
CA,Santa Barbara County,6083,2009,12.0
CA,Santa Clara County,6085,2009,89.0
CA,Santa Clara County,6085,2009,19.0
CA,Santa Cruz County,6087,2009,32.0
CA,Shasta County,6089,2009,50.0
CA,Solano County,6095,2009,31.0
CA,Sonoma County,6097,2009,42.0
CA,Sonoma County,6097,2009,11.0
CA,Stanislaus County,6099,2009,60.0
CA,Stanislaus County,6099,2009,14.0
CA,Tulare County,6107,2009,35.0
CA,Tuolumne County,6109,2009,13.0
CA,Ventura County,6111,2009,61.0
CA,Ventura County,6111,2009,24.0
CA,Yolo County,6113,2009,14.0
CO,Adams County,8001,2009,52.0
CO,Adams County,8001,2009,15.0
CO,Arapahoe County,8005,2009,71.0
CO,Arapahoe County,8005,2009,19.0
CO,Boulder County,8013,2009,28.0
CO,Boulder County,8013,2009,16.0
CO,Denver County,8031,2009,139.0
CO,Denver County,8031,2009,21.0
CO,Douglas County,8035,2009,20.0
CO,El Paso County,8041,2009,58.0
CO,El Paso County,8041,2009,22.0
CO,Jefferson County,8059,2009,44.0
CO,Larimer County,8069,2009,30.0
CO,Mesa County,8077,2009,14.0
CO,Pueblo County,8101,2009,14.0
CO,Weld County,8123,2009,18.0
CT,Fairfield County,9001,2009,63.0
CT,Fairfield County,9001,2009,11.0
CT,Hartford County,9003,2009,72.0
CT,Hartford County,9003,2009,12.0
CT,Litchfield County,9005,2009,19.0
CT,Middlesex County,9007,2009,12.0
CT,New Haven County,9009,2009,99.0
CT,New Haven County,9009,2009,12.0
CT,New Haven County,9009,2009,11.0
CT,New London County,9011,2009,30.0
CT,Tolland County,9013,2009,12.0
CT,Windham County,9015,2009,13.0
DE,Kent County,10001,2009,15.0
DE,New Castle County,10003,2009,60.0
DE,New Castle County,10003,2009,15.0
DE,Sussex County,10005,2009,27.0
DC,District of Columbia,11001,2009,14.0
DC,District of Columbia,11001,2009,10.0
FL,Alachua County,12001,2009,15.0
FL,Bay County,12005,2009,18.0
FL,Brevard County,12009,2009,122.0
FL,Brevard County,12009,2009,13.0
FL,Broward County,12011,2009,242.0
FL,Broward County,12011,2009,47.0
FL,Broward County,12011,2009,16.0
FL,Citrus County,12017,2009,19.0
FL,Clay County,12019,2009,29.0
FL,Collier County,12021,2009,42.0
FL,Collier County,12021,2009,12.0
FL,Duval County,12031,2009,115.0
FL,Duval County,12031,2009,22.0
FL,Escambia County,12033,2009,16.0
FL,Hernando County,12053,2009,43.0
FL,Hillsborough County,12057,2009,237.0
FL,Hillsborough County,12057,2009,33.0
FL,Indian River County,12061,2009,31.0
FL,Lake County,12069,2009,32.0
FL,Lee County,12071,2009,79.0
FL,Lee County,12071,2009,14.0
FL,Manatee County,12081,2009,58.0
FL,Manatee County,12081,2009,16.0
FL,Marion County,12083,2009,53.0
