COUNTY CODE,STATE_NAME,COUNTY,STATE,YEAR,POPULATION
1001,ALABAMA,AUTAUGA COUNTY,AL,2000,44021
1001,ALABAMA,AUTAUGA COUNTY,AL,2001,44889
1001,ALABAMA,AUTAUGA COUNTY,AL,2002,45909
1001,ALABAMA,AUTAUGA COUNTY,AL,2003,46800
1001,ALABAMA,AUTAUGA COUNTY,AL,2004,48366
1001,ALABAMA,AUTAUGA COUNTY,AL,2005,49676
1001,ALABAMA,AUTAUGA COUNTY,AL,2006,51328
1001,ALABAMA,AUTAUGA COUNTY,AL,2007,52405
1001,ALABAMA,AUTAUGA COUNTY,AL,2008,53277
1001,ALABAMA,AUTAUGA COUNTY,AL,2009,54135
1001,ALABAMA,AUTAUGA COUNTY,AL,2010,54761
1001,ALABAMA,AUTAUGA COUNTY,AL,2011,55229
1001,ALABAMA,AUTAUGA COUNTY,AL,2012,55229
1001,ALABAMA,AUTAUGA COUNTY,AL,2013,54970
1001,ALABAMA,AUTAUGA COUNTY,AL,2014,54747
1001,ALABAMA,AUTAUGA COUNTY,AL,2015,54922
1001,ALABAMA,AUTAUGA COUNTY,AL,2016,54903
1001,ALABAMA,AUTAUGA COUNTY,AL,2017,55302
1001,ALABAMA,AUTAUGA COUNTY,AL,2018,55448
1001,ALABAMA,AUTAUGA COUNTY,AL,2019,55533
1001,ALABAMA,AUTAUGA COUNTY,AL,2020,55769
1003,ALABAMA,BALDWIN COUNTY,AL,2000,141342
1003,ALABAMA,BALDWIN COUNTY,AL,2001,144875
1003,ALABAMA,BALDWIN COUNTY,AL,2002,147957
1003,ALABAMA,BALDWIN COUNTY,AL,2003,151509
1003,ALABAMA,BALDWIN COUNTY,AL,2004,156266
1003,ALABAMA,BALDWIN COUNTY,AL,2005,162183
1003,ALABAMA,BALDWIN COUNTY,AL,2006,168121
1003,ALABAMA,BALDWIN COUNTY,AL,2007,172404
1003,ALABAMA,BALDWIN COUNTY,AL,2008,175827
1003,ALABAMA,BALDWIN COUNTY,AL,2009,179406
1003,ALABAMA,BALDWIN COUNTY,AL,2010,183121
1003,ALABAMA,BALDWIN COUNTY,AL,2011,186579
1003,ALABAMA,BALDWIN COUNTY,AL,2012,186579
1003,ALABAMA,BALDWIN COUNTY,AL,2013,190203
1003,ALABAMA,BALDWIN COUNTY,AL,2014,194978
1003,ALABAMA,BALDWIN COUNTY,AL,2015,199306
1003,ALABAMA,BALDWIN COUNTY,AL,2016,203101
1003,ALABAMA,BALDWIN COUNTY,AL,2017,207787
1003,ALABAMA,BALDWIN COUNTY,AL,2018,212737
1003,ALABAMA,BALDWIN COUNTY,AL,2019,218071
1003,ALABAMA,BALDWIN COUNTY,AL,2020,223565
1005,ALABAMA,BARBOUR COUNTY,AL,2000,29015
1005,ALABAMA,BARBOUR COUNTY,AL,2001,28863
1005,ALABAMA,BARBOUR COUNTY,AL,2002,28653
1005,ALABAMA,BARBOUR COUNTY,AL,2003,28594
1005,ALABAMA,BARBOUR COUNTY,AL,2004,28287
1005,ALABAMA,BARBOUR COUNTY,AL,2005,28027
1005,ALABAMA,BARBOUR COUNTY,AL,2006,27861
1005,ALABAMA,BARBOUR COUNTY,AL,2007,27757
1005,ALABAMA,BARBOUR COUNTY,AL,2008,27808
1005,ALABAMA,BARBOUR COUNTY,AL,2009,27657
1005,ALABAMA,BARBOUR COUNTY,AL,2010,27325
1005,ALABAMA,BARBOUR COUNTY,AL,2011,27344
1005,ALABAMA,BARBOUR COUNTY,AL,2012,27344
1005,ALABAMA,BARBOUR COUNTY,AL,2013,27172
1005,ALABAMA,BARBOUR COUNTY,AL,2014,26946
1005,ALABAMA,BARBOUR COUNTY,AL,2015,26768
1005,ALABAMA,BARBOUR COUNTY,AL,2016,26300
1005,ALABAMA,BARBOUR COUNTY,AL,2017,25828
1005,ALABAMA,BARBOUR COUNTY,AL,2018,25169
1005,ALABAMA,BARBOUR COUNTY,AL,2019,24887
1005,ALABAMA,BARBOUR COUNTY,AL,2020,24657
1007,ALABAMA,BIBB COUNTY,AL,2000,19913
1007,ALABAMA,BIBB COUNTY,AL,2001,21028
1007,ALABAMA,BIBB COUNTY,AL,2002,21199
1007,ALABAMA,BIBB COUNTY,AL,2003,21399
1007,ALABAMA,BIBB COUNTY,AL,2004,21721
1007,ALABAMA,BIBB COUNTY,AL,2005,22042
1007,ALABAMA,BIBB COUNTY,AL,2006,22099
1007,ALABAMA,BIBB COUNTY,AL,2007,22438
1007,ALABAMA,BIBB COUNTY,AL,2008,22705
1007,ALABAMA,BIBB COUNTY,AL,2009,22941
1007,ALABAMA,BIBB COUNTY,AL,2010,22858
1007,ALABAMA,BIBB COUNTY,AL,2011,22736
1007,ALABAMA,BIBB COUNTY,AL,2012,22736
1007,ALABAMA,BIBB COUNTY,AL,2013,22657
1007,ALABAMA,BIBB COUNTY,AL,2014,22510
1007,ALABAMA,BIBB COUNTY,AL,2015,22541
1007,ALABAMA,BIBB COUNTY,AL,2016,22553
1007,ALABAMA,BIBB COUNTY,AL,2017,22590
1007,ALABAMA,BIBB COUNTY,AL,2018,22532
1007,ALABAMA,BIBB COUNTY,AL,2019,22300
1007,ALABAMA,BIBB COUNTY,AL,2020,22313
1009,ALABAMA,BLOUNT COUNTY,AL,2000,51107
1009,ALABAMA,BLOUNT COUNTY,AL,2001,51845
1009,ALABAMA,BLOUNT COUNTY,AL,2002,52551
1009,ALABAMA,BLOUNT COUNTY,AL,2003,53457
