State,County,County Code,Year,Deaths
CO,Adams County,8001,2003,42.0
CO,Adams County,8001,2004,46.0
CO,Adams County,8001,2005,63.0
CO,Adams County,8001,2006,62.0
CO,Adams County,8001,2007,70.0
CO,Adams County,8001,2008,50.0
CO,Adams County,8001,2009,67.0
CO,Adams County,8001,2010,53.0
CO,Adams County,8001,2011,88.0
CO,Adams County,8001,2012,91.0
CO,Adams County,8001,2013,78.0
CO,Adams County,8001,2014,88.0
CO,Adams County,8001,2015,84.0
CO,Arapahoe County,8005,2003,45.0
CO,Arapahoe County,8005,2004,65.0
CO,Arapahoe County,8005,2005,54.0
CO,Arapahoe County,8005,2006,66.0
CO,Arapahoe County,8005,2007,88.0
CO,Arapahoe County,8005,2008,90.0
CO,Arapahoe County,8005,2009,90.0
CO,Arapahoe County,8005,2010,78.0
CO,Arapahoe County,8005,2011,72.0
CO,Arapahoe County,8005,2012,78.0
CO,Arapahoe County,8005,2013,97.0
CO,Arapahoe County,8005,2014,99.0
CO,Arapahoe County,8005,2015,98.0
CO,Boulder County,8013,2003,20.0
CO,Boulder County,8013,2004,20.0
CO,Boulder County,8013,2005,26.0
CO,Boulder County,8013,2006,40.0
CO,Boulder County,8013,2007,33.0
CO,Boulder County,8013,2008,33.0
CO,Boulder County,8013,2009,44.0
CO,Boulder County,8013,2010,16.0
CO,Boulder County,8013,2011,38.0
CO,Boulder County,8013,2012,34.0
CO,Boulder County,8013,2013,54.0
CO,Boulder County,8013,2014,33.0
CO,Boulder County,8013,2015,32.0
CO,Denver County,8031,2003,107.0
CO,Denver County,8031,2004,111.0
CO,Denver County,8031,2005,140.0
CO,Denver County,8031,2006,144.0
CO,Denver County,8031,2007,148.0
CO,Denver County,8031,2008,170.0
CO,Denver County,8031,2009,160.0
CO,Denver County,8031,2010,121.0
CO,Denver County,8031,2011,163.0
CO,Denver County,8031,2012,120.0
CO,Denver County,8031,2013,116.0
CO,Denver County,8031,2014,130.0
CO,Denver County,8031,2015,107.0
CO,Douglas County,8035,2005,11.0
CO,Douglas County,8035,2006,19.0
CO,Douglas County,8035,2007,11.0
CO,Douglas County,8035,2009,20.0
CO,Douglas County,8035,2010,14.0
CO,Douglas County,8035,2011,28.0
CO,Douglas County,8035,2012,20.0
CO,Douglas County,8035,2013,27.0
CO,Douglas County,8035,2014,15.0
