STATE_NAME,STATE,COUNTY,COUNTY_CODE,YEAR,POPULATION,DEATHS
COLORADO,CO,ADAMS COUNTY,8001,2003,377464,42
COLORADO,CO,ADAMS COUNTY,8001,2004,384809,46
COLORADO,CO,ADAMS COUNTY,8001,2005,395146,63
COLORADO,CO,ADAMS COUNTY,8001,2006,406575,62
COLORADO,CO,ADAMS COUNTY,8001,2007,415746,70
COLORADO,CO,ADAMS COUNTY,8001,2008,424913,50
COLORADO,CO,ADAMS COUNTY,8001,2009,435700,67
COLORADO,CO,ADAMS COUNTY,8001,2010,443692,53
COLORADO,CO,ADAMS COUNTY,8001,2011,452209,88
COLORADO,CO,ADAMS COUNTY,8001,2012,452209,91
COLORADO,CO,ADAMS COUNTY,8001,2013,460568,78
COLORADO,CO,ADAMS COUNTY,8001,2014,469995,88
COLORADO,CO,ADAMS COUNTY,8001,2015,479954,84
COLORADO,CO,ARAPAHOE COUNTY,8005,2003,513690,45
COLORADO,CO,ARAPAHOE COUNTY,8005,2004,518971,65
COLORADO,CO,ARAPAHOE COUNTY,8005,2005,524466,54
COLORADO,CO,ARAPAHOE COUNTY,8005,2006,531619,66
COLORADO,CO,ARAPAHOE COUNTY,8005,2007,542039,88
COLORADO,CO,ARAPAHOE COUNTY,8005,2008,552461,90
COLORADO,CO,ARAPAHOE COUNTY,8005,2009,563161,90
COLORADO,CO,ARAPAHOE COUNTY,8005,2010,575124,78
COLORADO,CO,ARAPAHOE COUNTY,8005,2011,586433,72
COLORADO,CO,ARAPAHOE COUNTY,8005,2012,586433,78
COLORADO,CO,ARAPAHOE COUNTY,8005,2013,597052,97
COLORADO,CO,ARAPAHOE COUNTY,8005,2014,609089,99
COLORADO,CO,ARAPAHOE COUNTY,8005,2015,619681,98
COLORADO,CO,BOULDER COUNTY,8013,2003,278768,20
COLORADO,CO,BOULDER COUNTY,8013,2004,279728,20
COLORADO,CO,BOULDER COUNTY,8013,2005,280241,26
COLORADO,CO,BOULDER COUNTY,8013,2006,284243,40
COLORADO,CO,BOULDER COUNTY,8013,2007,287428,33
COLORADO,CO,BOULDER COUNTY,8013,2008,290859,33
COLORADO,CO,BOULDER COUNTY,8013,2009,293190,44
COLORADO,CO,BOULDER COUNTY,8013,2010,295056,16
COLORADO,CO,BOULDER COUNTY,8013,2011,300045,38
COLORADO,CO,BOULDER COUNTY,8013,2012,300045,34
COLORADO,CO,BOULDER COUNTY,8013,2013,304717,54
COLORADO,CO,BOULDER COUNTY,8013,2014,309538,33
COLORADO,CO,BOULDER COUNTY,8013,2015,312525,32
COLORADO,CO,DENVER COUNTY,8031,2003,552588,107
COLORADO,CO,DENVER COUNTY,8031,2004,550756,111
COLORADO,CO,DENVER COUNTY,8031,2005,551691,140
COLORADO,CO,DENVER COUNTY,8031,2006,556895,144
COLORADO,CO,DENVER COUNTY,8031,2007,564395,148
COLORADO,CO,DENVER COUNTY,8031,2008,575721,170
COLORADO,CO,DENVER COUNTY,8031,2009,589011,160
COLORADO,CO,DENVER COUNTY,8031,2010,603012,121
COLORADO,CO,DENVER COUNTY,8031,2011,620250,163
COLORADO,CO,DENVER COUNTY,8031,2012,620250,120
COLORADO,CO,DENVER COUNTY,8031,2013,634965,116
COLORADO,CO,DENVER COUNTY,8031,2014,649270,130
COLORADO,CO,DENVER COUNTY,8031,2015,664540,107
COLORADO,CO,DOUGLAS COUNTY,8035,2005,243112,11
COLORADO,CO,DOUGLAS COUNTY,8035,2006,256136,19
COLORADO,CO,DOUGLAS COUNTY,8035,2007,267177,11
COLORADO,CO,DOUGLAS COUNTY,8035,2009,281386,20
COLORADO,CO,DOUGLAS COUNTY,8035,2010,287011,14
COLORADO,CO,DOUGLAS COUNTY,8035,2011,292626,28
COLORADO,CO,DOUGLAS COUNTY,8035,2012,292626,20
COLORADO,CO,DOUGLAS COUNTY,8035,2013,298826,27
COLORADO,CO,DOUGLAS COUNTY,8035,2014,306407,15
COLORADO,CO,DOUGLAS COUNTY,8035,2015,314783,18
COLORADO,CO,EL PASO COUNTY,8041,2003,547549,53
COLORADO,CO,EL PASO COUNTY,8041,2004,556667,60
COLORADO,CO,EL PASO COUNTY,8041,2005,565800,83
COLORADO,CO,EL PASO COUNTY,8041,2006,580251,68
COLORADO,CO,EL PASO COUNTY,8041,2007,586783,74
COLORADO,CO,EL PASO COUNTY,8041,2008,597919,88
COLORADO,CO,EL PASO COUNTY,8041,2009,608061,80
COLORADO,CO,EL PASO COUNTY,8041,2010,627088,77
COLORADO,CO,EL PASO COUNTY,8041,2011,637376,94
COLORADO,CO,EL PASO COUNTY,8041,2012,637376,96
COLORADO,CO,EL PASO COUNTY,8041,2013,645900,107
COLORADO,CO,EL PASO COUNTY,8041,2014,655178,132
COLORADO,CO,EL PASO COUNTY,8041,2015,662968,143
COLORADO,CO,JEFFERSON COUNTY,8059,2003,524940,50
COLORADO,CO,JEFFERSON COUNTY,8059,2004,520900,40
COLORADO,CO,JEFFERSON COUNTY,8059,2005,519675,28
COLORADO,CO,JEFFERSON COUNTY,8059,2006,521662,22
