year,BUYER_COUNTY,BUYER_STATE,strength
2006,ALEUTIANS EAST,AK,0.9081
2006,ALEUTIANS WEST,AK,79.9128
2006,ANCHORAGE,AK,48145.103342751
2006,BETHEL,AK,559.65458716
2006,DENALI,AK,11.35125
2006,DILLINGHAM,AK,111.86759052000001
2006,FAIRBANKS NORTH STAR,AK,4425.3225674370005
2006,HAINES,AK,150.487055717
2006,JUNEAU,AK,1556.678017603
2006,KENAI PENINSULA,AK,5374.142087442
2006,KETCHIKAN GATEWAY,AK,1478.981041534
2006,KODIAK ISLAND,AK,622.228544995
2006,MATANUSKA SUSITNA,AK,8491.770461886
2006,NOME,AK,343.311235638
2006,NORTH SLOPE,AK,88.6147048
2006,NORTHWEST ARCTIC,AK,109.92440104
2006,PETERSBURG,AK,284.47304416000003
2006,PRINCE OF WALES HYDER,AK,411.190671388
2006,SITKA,AK,896.1318474
2006,SKAGWAY,AK,6.84593448
2006,SOUTHEAST FAIRBANKS,AK,96.41965420400001
2006,VALDEZ CORDOVA,AK,566.2060420280001
2006,WRANGELL,AK,89.8813164
2006,YAKUTAT,AK,0.12108
2006,YUKON KOYUKUK,AK,0.133188
2007,ALEUTIANS EAST,AK,0.3027
2007,ALEUTIANS WEST,AK,105.378951
2007,ANCHORAGE,AK,52180.481375702
2007,BETHEL,AK,585.906296654
2007,DENALI,AK,16.19445
2007,DILLINGHAM,AK,123.88492504
2007,FAIRBANKS NORTH STAR,AK,4919.627688268
2007,HAINES,AK,143.02575
2007,JUNEAU,AK,1720.4028370610001
2007,KENAI PENINSULA,AK,6411.0682033
2007,KETCHIKAN GATEWAY,AK,1456.551609764
2007,KODIAK ISLAND,AK,646.043093872
2007,MATANUSKA SUSITNA,AK,9357.74898813
2007,NOME,AK,422.12544180000003
2007,NORTH SLOPE,AK,93.939348225
2007,NORTHWEST ARCTIC,AK,126.314502081
2007,PETERSBURG,AK,273.40163144
2007,PRINCE OF WALES HYDER,AK,456.722751974
2007,SITKA,AK,921.17755701
2007,SKAGWAY,AK,8.53614
2007,SOUTHEAST FAIRBANKS,AK,192.48408105000001
2007,VALDEZ CORDOVA,AK,657.4539712220001
2007,WRANGELL,AK,89.2638084
