year,BUYER_COUNTY,BUYER_STATE,strength
2006,AUTAUGA,AL,10551.861301497
2006,BALDWIN,AL,31699.627376671
2006,BARBOUR,AL,4020.328793266
2006,BIBB,AL,3481.676969209
2006,BLOUNT,AL,6031.475658963
2006,BULLOCK,AL,1056.574324398
2006,BUTLER,AL,3624.195761533
2006,CALHOUN,AL,26776.202165275
2006,CHAMBERS,AL,6815.896034825
2006,CHEROKEE,AL,5473.350222569
2006,CHILTON,AL,7036.898809091
2006,CHOCTAW,AL,2849.786638226
2006,CLARKE,AL,4255.690138363
2006,CLAY,AL,2396.018069737
2006,CLEBURNE,AL,1359.975729077
2006,COFFEE,AL,8272.079290818
2006,COLBERT,AL,18405.430122617
2006,CONECUH,AL,2997.760124646
2006,COOSA,AL,555.173496439
2006,COVINGTON,AL,10874.514736226
2006,CRENSHAW,AL,1511.817907134
2006,CULLMAN,AL,18169.080790664
2006,DALE,AL,6744.691877877
2006,DALLAS,AL,4578.285450967
2006,DE KALB,AL,10640.54174039
2006,ELMORE,AL,10599.937237496
2006,ESCAMBIA,AL,7728.284952267
2006,ETOWAH,AL,26878.895479693
2006,FAYETTE,AL,2296.616833362
2006,FRANKLIN,AL,10511.417929303
2006,GENEVA,AL,4673.686774468
2006,GREENE,AL,241.571078311
2006,HALE,AL,1336.385031115
2006,HENRY,AL,2621.904576382
2006,HOUSTON,AL,19011.510946346
2006,JACKSON,AL,152299.7390088
2006,JEFFERSON,AL,1251323.330937048
2006,LAMAR,AL,2559.975098193
2006,LAUDERDALE,AL,21201.229798087
2006,LAWRENCE,AL,6605.213294777
2006,LEE,AL,8920.311904101
2006,LIMESTONE,AL,17089.085930367
2006,LOWNDES,AL,226.60392878
2006,MACON,AL,1754.213687017
2006,MADISON,AL,62296381.22608117
2006,MARENGO,AL,2827.21513404
2006,MARION,AL,9801.098494622
2006,MARSHALL,AL,22355.113462909
2006,MOBILE,AL,80889.706180901
2006,MONROE,AL,3194.479049723
2006,MONTGOMERY,AL,31863.452351161
2006,MORGAN,AL,28177.688572653
2006,PERRY,AL,564.762889836
2006,PICKENS,AL,1930.266397315
2006,PIKE,AL,3724.142480267
2006,RANDOLPH,AL,3129.953409091
2006,RUSSELL,AL,8433.606207956
2006,SAINT CLAIR,AL,10068.91799596
2006,SHELBY,AL,276253.296671579
2006,SUMTER,AL,749.771458286
2006,TALLADEGA,AL,14145.429897709
2006,TALLAPOOSA,AL,5075.455731119
2006,TUSCALOOSA,AL,160011.87149177399
2006,WALKER,AL,45853.407438963
2006,WASHINGTON,AL,1570.397105519
2006,WILCOX,AL,400.388310221
2006,WINSTON,AL,7600.7519411700005
2007,AUTAUGA,AL,12008.513933953
2007,BALDWIN,AL,37168.76298313
2007,BARBOUR,AL,4436.919989219
2007,BIBB,AL,4119.918823313
2007,BLOUNT,AL,6383.688330315
2007,BULLOCK,AL,1258.951169318
2007,BUTLER,AL,4309.743248719
2007,CALHOUN,AL,30153.36397374
2007,CHAMBERS,AL,6943.90391006
2007,CHEROKEE,AL,6556.819120292
2007,CHILTON,AL,8060.744840405
2007,CHOCTAW,AL,2990.663222034
2007,CLARKE,AL,5515.262364606
2007,CLAY,AL,2867.647849452
2007,CLEBURNE,AL,1377.526822025
2007,COFFEE,AL,8622.501896749
2007,COLBERT,AL,19875.285967705
2007,CONECUH,AL,3894.281960786
2007,COOSA,AL,801.0030465780001
2007,COVINGTON,AL,13186.940689698
2007,CRENSHAW,AL,1870.867882712
2007,CULLMAN,AL,20911.779204614
2007,DALE,AL,7091.305331552
2007,DALLAS,AL,5877.459333938
2007,DE KALB,AL,12347.933352417
2007,ELMORE,AL,12978.901845266
2007,ESCAMBIA,AL,7970.421809497
2007,ETOWAH,AL,37149.029738457
2007,FAYETTE,AL,2732.634954056
2007,FRANKLIN,AL,11074.99254977
2007,GENEVA,AL,4430.5456142640005
2007,GREENE,AL,396.050396563
2007,HALE,AL,1759.232025459
2007,HENRY,AL,2658.926080995
2007,HOUSTON,AL,21792.203907816
2007,JACKSON,AL,167382.67928799
2007,JEFFERSON,AL,1043503.64775788
2007,LAMAR,AL,2340.527066784
2007,LAUDERDALE,AL,20106.298011391
2007,LAWRENCE,AL,6458.327287628
2007,LEE,AL,10531.319546914001
2007,LIMESTONE,AL,17140.386451947
2007,LOWNDES,AL,213.977705942
2007,MACON,AL,2367.512404986
2007,MADISON,AL,20986666.66880974
2007,MARENGO,AL,3390.053031237
2007,MARION,AL,11561.651066335
2007,MARSHALL,AL,24100.182265865
2007,MOBILE,AL,91395.16568375
2007,MONROE,AL,3326.795713806
2007,MONTGOMERY,AL,37353.993583545
2007,MORGAN,AL,29749.957450396
2007,PERRY,AL,655.350067311
2007,PICKENS,AL,2709.537883205
2007,PIKE,AL,4810.235800765
2007,RANDOLPH,AL,3700.786239255
2007,RUSSELL,AL,9978.560431906
2007,SAINT CLAIR,AL,11453.814707574
2007,SHELBY,AL,249975.878495484
2007,SUMTER,AL,888.740840721
2007,TALLADEGA,AL,17953.516733461
2007,TALLAPOOSA,AL,5988.955317906
2007,TUSCALOOSA,AL,169547.260548119
2007,WALKER,AL,36138.661091937
2007,WASHINGTON,AL,1607.25080456
2007,WILCOX,AL,560.458518608
2007,WINSTON,AL,8933.69308054
2008,AUTAUGA,AL,13051.493500934
2008,BALDWIN,AL,40249.161940176
2008,BARBOUR,AL,4511.862501883
2008,BIBB,AL,4855.062741497
2008,BLOUNT,AL,6762.366459917
2008,BULLOCK,AL,1387.2442484
2008,BUTLER,AL,4756.822979734
2008,CALHOUN,AL,31000.721587485
2008,CHAMBERS,AL,8009.033615417
2008,CHEROKEE,AL,6777.652046957
2008,CHILTON,AL,8714.177966886
2008,CHOCTAW,AL,3254.479652056
2008,CLARKE,AL,5313.357870172
2008,CLAY,AL,3274.75083889
2008,CLEBURNE,AL,1366.501971407
2008,COFFEE,AL,9363.278688857
2008,COLBERT,AL,21342.033190798
2008,CONECUH,AL,4338.195977226
2008,COOSA,AL,737.528051992
2008,COVINGTON,AL,14118.537330338
2008,CRENSHAW,AL,2155.0582454660002
2008,CULLMAN,AL,21594.692424353
2008,DALE,AL,7863.698414021
2008,DALLAS,AL,7500.478932512
2008,DE KALB,AL,13581.712182332
2008,ELMORE,AL,14312.830993796
2008,ESCAMBIA,AL,9425.091742017
2008,ETOWAH,AL,34574.331785174996
2008,FAYETTE,AL,3079.325443809
2008,FRANKLIN,AL,12435.92488784
2008,GENEVA,AL,4610.130606387
2008,GREENE,AL,476.600996994
2008,HALE,AL,1909.268849116
2008,HENRY,AL,2321.005193165
2008,HOUSTON,AL,21673.202764131
2008,JACKSON,AL,164853.398023921
2008,JEFFERSON,AL,1313503.844091639
2008,LAMAR,AL,3037.754672272
