year,BUYER_COUNTY,BUYER_STATE,strength
2006,ARKANSAS,AR,3841.67258527
2006,ASHLEY,AR,3583.4200843950002
2006,BAXTER,AR,5751.085956753001
2006,BENTON,AR,616573.5692159
2006,BOONE,AR,5141.643473454
2006,BRADLEY,AR,1125.77334083
2006,CALHOUN,AR,733.860204457
2006,CARROLL,AR,3912.751745218
2006,CHICOT,AR,2784.987315599
2006,CLARK,AR,3111.113118988
2006,CLAY,AR,1677.502840716
2006,CLEBURNE,AR,3473.540379551
2006,CLEVELAND,AR,82.11583860100001
2006,COLUMBIA,AR,3208.36028886
2006,CONWAY,AR,3955.743557353
2006,CRAIGHEAD,AR,17623.048974209
2006,CRAWFORD,AR,11312.359079068001
2006,CRITTENDEN,AR,7859.087356161
2006,CROSS,AR,1661.225440356
2006,DALLAS,AR,1213.823397079
2006,DESHA,AR,1779.569129862
2006,DREW,AR,2019.5000358280001
2006,FAULKNER,AR,8820.172645153
2006,FRANKLIN,AR,2436.482487293
2006,FULTON,AR,1965.768118964
2006,GARLAND,AR,25913.343718011
2006,GRANT,AR,1397.64224125
2006,GREENE,AR,117542.688014505
2006,HEMPSTEAD,AR,3492.554241661
2006,HOT SPRING,AR,3116.133593673
2006,HOWARD,AR,2597.950135558
2006,INDEPENDENCE,AR,6532.198103947
2006,IZARD,AR,2573.1206131540002
2006,JACKSON,AR,2276.567323483
2006,JEFFERSON,AR,161927.157513644
2006,JOHNSON,AR,4092.693032061
2006,LAFAYETTE,AR,1228.471437172
2006,LAWRENCE,AR,2258.173066767
2006,LEE,AR,737.315270938
2006,LINCOLN,AR,631.45259134
2006,LITTLE RIVER,AR,2401.667735552
2006,LOGAN,AR,2993.90507754
2006,LONOKE,AR,5147.2460487240005
2006,MADISON,AR,933.95273057
2006,MARION,AR,1926.526387606
2006,MILLER,AR,6234.013162066
2006,MISSISSIPPI,AR,8298.486509135
2006,MONROE,AR,738.810819095
2006,MONTGOMERY,AR,893.038624737
2006,NEVADA,AR,726.118696706
2006,NEWTON,AR,243.584840681
2006,OUACHITA,AR,4083.586258465
2006,PERRY,AR,856.563850049
2006,PHILLIPS,AR,5647.215344672
2006,PIKE,AR,3231.769557583
2006,POINSETT,AR,5179.995935954
2006,POLK,AR,4209.673414385
2006,POPE,AR,7772.639941839
2006,PRAIRIE,AR,571.693166174
2006,PULASKI,AR,63861.048824194004
2006,RANDOLPH,AR,1750.9082275140001
2006,SAINT FRANCIS,AR,1978.438242656
2006,SALINE,AR,12804.148426595
2006,SCOTT,AR,3237.850631692
2006,SEARCY,AR,798.556142532
2006,SEBASTIAN,AR,29660.032422044
2006,SEVIER,AR,2487.373991583
2006,SHARP,AR,3091.703978863
2006,STONE,AR,1789.884378365
2006,UNION,AR,8128.732139927
2006,VAN BUREN,AR,2103.69506459
2006,WASHINGTON,AR,18407.295662867
2006,WHITE,AR,7877.558589173
2006,WOODRUFF,AR,1890.563722017
2006,YELL,AR,3738.2683288020003
2007,ARKANSAS,AR,4140.332805835
2007,ASHLEY,AR,4047.3951337070002
2007,BAXTER,AR,6310.7132598670005
2007,BENTON,AR,814671.469075781
2007,BOONE,AR,5719.349134491
2007,BRADLEY,AR,1433.42344738
2007,CALHOUN,AR,918.582456789
2007,CARROLL,AR,4446.844598025
2007,CHICOT,AR,3042.6058329410002
2007,CLARK,AR,3611.649616132
2007,CLAY,AR,2012.880363556
2007,CLEBURNE,AR,4249.963618896
2007,CLEVELAND,AR,99.803117927
2007,COLUMBIA,AR,3296.816911134
2007,CONWAY,AR,3694.276327734
2007,CRAIGHEAD,AR,19649.304575478
2007,CRAWFORD,AR,12310.753865833
2007,CRITTENDEN,AR,8860.417846038
2007,CROSS,AR,1886.751787548
2007,DALLAS,AR,1362.585755391
2007,DESHA,AR,2046.483362655
2007,DREW,AR,2530.9084867680003
2007,FAULKNER,AR,10244.589907344
2007,FRANKLIN,AR,3121.515580415
2007,FULTON,AR,2623.692611879
2007,GARLAND,AR,24989.025101231
2007,GRANT,AR,1616.608352618
2007,GREENE,AR,146200.274595405
2007,HEMPSTEAD,AR,4103.201804698
2007,HOT SPRING,AR,3783.940240669
2007,HOWARD,AR,2823.328692348
2007,INDEPENDENCE,AR,7319.093977444
2007,IZARD,AR,2881.694645247
2007,JACKSON,AR,3219.61773105
2007,JEFFERSON,AR,150379.619169577
2007,JOHNSON,AR,4629.613050234
2007,LAFAYETTE,AR,1193.3328632760001
2007,LAWRENCE,AR,2543.471577228
2007,LEE,AR,900.552584935
2007,LINCOLN,AR,732.040278097
2007,LITTLE RIVER,AR,2757.3418870660003
2007,LOGAN,AR,3925.685179382
2007,LONOKE,AR,6176.085358643
2007,MADISON,AR,1123.6456024450001
2007,MARION,AR,2370.31748754
2007,MILLER,AR,7744.088356367
2007,MISSISSIPPI,AR,9213.365602928001
2007,MONROE,AR,841.382291777
2007,MONTGOMERY,AR,1255.317221113
2007,NEVADA,AR,816.847827371
2007,NEWTON,AR,274.471750682
2007,OUACHITA,AR,4906.097799716
2007,PERRY,AR,916.401875552
2007,PHILLIPS,AR,6574.728493121
2007,PIKE,AR,3834.312855905
2007,POINSETT,AR,5855.979659474
2007,POLK,AR,4575.596211829
2007,POPE,AR,8000.9863326780005
2007,PRAIRIE,AR,737.099839603
2007,PULASKI,AR,59559.265035081
2007,RANDOLPH,AR,1626.969122756
2007,SAINT FRANCIS,AR,2309.81316602
2007,SALINE,AR,15184.189339965
2007,SCOTT,AR,3340.465105843
2007,SEARCY,AR,898.802477875
2007,SEBASTIAN,AR,27775.016233776
2007,SEVIER,AR,2832.6725211880002
2007,SHARP,AR,3040.6777586480002
2007,STONE,AR,2109.754779471
2007,UNION,AR,9428.05229247
2007,VAN BUREN,AR,2435.022110836
2007,WASHINGTON,AR,21596.698567735002
2007,WHITE,AR,9457.599729426
2007,WOODRUFF,AR,1916.414733993
2007,YELL,AR,3738.096615581
2008,ARKANSAS,AR,4400.107636814
2008,ASHLEY,AR,3597.045625092
2008,BAXTER,AR,7104.700679139
2008,BENTON,AR,1033406.980981434
2008,BOONE,AR,5837.736361201
2008,BRADLEY,AR,1630.57860302
2008,CALHOUN,AR,948.975087511
2008,CARROLL,AR,5351.362135385
2008,CHICOT,AR,3060.201450387
2008,CLARK,AR,3882.406440471
2008,CLAY,AR,2614.5848814270003
2008,CLEBURNE,AR,4255.738066361
2008,CLEVELAND,AR,77.767784782
2008,COLUMBIA,AR,4125.731679379
2008,CONWAY,AR,4171.5781359150005
2008,CRAIGHEAD,AR,21367.904687503
2008,CRAWFORD,AR,14077.485887714
2008,CRITTENDEN,AR,8813.066814974
2008,CROSS,AR,2364.117617991
2008,DALLAS,AR,1298.364152032
2008,DESHA,AR,2251.961644442
2008,DREW,AR,2764.819088017
2008,FAULKNER,AR,11739.223872655
2008,FRANKLIN,AR,3538.8024282760002
2008,FULTON,AR,2980.622803374
2008,GARLAND,AR,27203.29343687
2008,GRANT,AR,1762.363885562
2008,GREENE,AR,174804.29581341
2008,HEMPSTEAD,AR,4647.396093995
2008,HOT SPRING,AR,4313.446718291
2008,HOWARD,AR,4274.263541586
2008,INDEPENDENCE,AR,7765.848642424
2008,IZARD,AR,3433.606193812
2008,JACKSON,AR,3520.627999749
2008,JEFFERSON,AR,218486.803058021
2008,JOHNSON,AR,5044.193793670001
2008,LAFAYETTE,AR,1199.093428184
2008,LAWRENCE,AR,3128.829001042
2008,LEE,AR,849.857799709
2008,LINCOLN,AR,789.0701786320001
2008,LITTLE RIVER,AR,3170.030791816
2008,LOGAN,AR,4946.549540471
2008,LONOKE,AR,7162.904130595
2008,MADISON,AR,1300.71528371
2008,MARION,AR,2553.439157074
2008,MILLER,AR,9538.518937048
2008,MISSISSIPPI,AR,10538.376168846
2008,MONROE,AR,892.059448276
2008,MONTGOMERY,AR,1222.880074287
2008,NEVADA,AR,819.532547621
2008,NEWTON,AR,354.791443591
2008,OUACHITA,AR,5242.332532226
2008,PERRY,AR,914.333930762
2008,PHILLIPS,AR,7240.217634031
2008,PIKE,AR,5040.855724407
2008,POINSETT,AR,6086.4201579030005
2008,POLK,AR,4951.727075824
2008,POPE,AR,9159.206474501
2008,PRAIRIE,AR,732.917787894
2008,PULASKI,AR,62714.806531187
2008,RANDOLPH,AR,1755.758525804
2008,SAINT FRANCIS,AR,2644.54333514
2008,SALINE,AR,15533.081389555
2008,SCOTT,AR,3492.918321582
2008,SEARCY,AR,757.989745028
2008,SEBASTIAN,AR,29002.728013675
2008,SEVIER,AR,3514.841392062
2008,SHARP,AR,2653.259429
2008,STONE,AR,2413.295790689
2008,UNION,AR,10381.163273558
2008,VAN BUREN,AR,2558.107094091
2008,WASHINGTON,AR,26141.240066621
2008,WHITE,AR,10578.12628328
2008,WOODRUFF,AR,1948.277811134
2008,YELL,AR,4360.20702837
2009,ARKANSAS,AR,4675.215482482
2009,ASHLEY,AR,3562.2861716390003
2009,BAXTER,AR,8499.787629119
2009,BENTON,AR,973141.467683928
2009,BOONE,AR,7656.609030959
2009,BRADLEY,AR,1793.642707075
2009,CALHOUN,AR,1189.874483165
2009,CARROLL,AR,6128.189400077
2009,CHICOT,AR,2773.453341358
2009,CLARK,AR,4330.314759985
2009,CLAY,AR,2604.851006926
2009,CLEBURNE,AR,4321.025920716
2009,COLUMBIA,AR,4515.935255634
2009,CONWAY,AR,4828.074297282
2009,CRAIGHEAD,AR,22504.625152525
2009,CRAWFORD,AR,15401.436620755001
2009,CRITTENDEN,AR,7960.874844725
2009,CROSS,AR,2213.0503145010002
2009,DALLAS,AR,1319.853109343
2009,DESHA,AR,2224.325114035
2009,DREW,AR,2628.784918552
2009,FAULKNER,AR,13259.448953552
2009,FRANKLIN,AR,4025.8591556750002
2009,FULTON,AR,2770.8891137220003
2009,GARLAND,AR,29192.917966692
2009,GRANT,AR,2071.035194763
2009,GREENE,AR,198059.148333079
2009,HEMPSTEAD,AR,4805.2917581
2009,HOT SPRING,AR,4532.434004346
2009,HOWARD,AR,3951.267659781
2009,INDEPENDENCE,AR,8789.744527593
2009,IZARD,AR,4090.953998194
2009,JACKSON,AR,4355.9333151050005
2009,JEFFERSON,AR,222314.133362273
2009,JOHNSON,AR,5507.862700765
2009,LAFAYETTE,AR,1221.669494059
2009,LAWRENCE,AR,3621.707318373
2009,LEE,AR,819.835920986
2009,LINCOLN,AR,905.057924974
2009,LITTLE RIVER,AR,3389.399440854
2009,LOGAN,AR,4950.563490358
2009,LONOKE,AR,8148.136909044
2009,MADISON,AR,1659.924077562
2009,MARION,AR,2845.02968981
2009,MILLER,AR,11143.565813269
2009,MISSISSIPPI,AR,10873.082133275
2009,MONROE,AR,799.526646202
2009,MONTGOMERY,AR,1146.431454915
2009,NEVADA,AR,943.7124312440001
2009,NEWTON,AR,407.954203
2009,OUACHITA,AR,6159.350288631
2009,PERRY,AR,1066.129373775
2009,PHILLIPS,AR,6665.405961053
2009,PIKE,AR,4826.066601538
2009,POINSETT,AR,6334.707780162
2009,POLK,AR,5128.044674488
2009,POPE,AR,10175.185914989
2009,PRAIRIE,AR,1134.265389037
2009,PULASKI,AR,69146.554114968
2009,RANDOLPH,AR,1950.144028056
2009,SAINT FRANCIS,AR,2814.029525521
2009,SALINE,AR,17867.201988643
2009,SCOTT,AR,3704.255321554
2009,SEARCY,AR,902.401678202
2009,SEBASTIAN,AR,37534.004887764
2009,SEVIER,AR,3537.31627183
2009,SHARP,AR,2925.853311769
2009,STONE,AR,2243.601792635
2009,UNION,AR,11330.953068024
2009,VAN BUREN,AR,2556.271199912
2009,WASHINGTON,AR,29283.178397853
2009,WHITE,AR,12122.410038982
2009,WOODRUFF,AR,1904.501192832
2009,YELL,AR,4013.29161119
2010,ARKANSAS,AR,4998.105123501
2010,ASHLEY,AR,3890.627448571
2010,BAXTER,AR,9424.23676347
2010,BENTON,AR,1118678.667618553
2010,BOONE,AR,7386.925326188
2010,BRADLEY,AR,1824.884728485
2010,CALHOUN,AR,1295.9237109
2010,CARROLL,AR,6110.068267324
2010,CHICOT,AR,3744.350532511
2010,CLARK,AR,5354.261453754
2010,CLAY,AR,3026.907102553
2010,CLEBURNE,AR,4721.1891189
2010,COLUMBIA,AR,4751.081593214
2010,CONWAY,AR,4289.911429288
2010,CRAIGHEAD,AR,22292.13623173
2010,CRAWFORD,AR,16710.320235332
2010,CRITTENDEN,AR,8392.240574014
2010,CROSS,AR,2068.023822236
2010,DALLAS,AR,1424.062833674
2010,DESHA,AR,2414.390443822
2010,DREW,AR,2745.540775386
2010,FAULKNER,AR,13831.913760651001
2010,FRANKLIN,AR,4532.665285372
2010,FULTON,AR,3266.024698684
2010,GARLAND,AR,32063.988052676
2010,GRANT,AR,2430.7310914570003
2010,GREENE,AR,174799.128361321
2010,HEMPSTEAD,AR,5595.935653304
2010,HOT SPRING,AR,5100.620778521
2010,HOWARD,AR,3724.844374741
2010,INDEPENDENCE,AR,9812.423365249
2010,IZARD,AR,4723.2787976340005
2010,JACKSON,AR,4919.0092145260005
