year,BUYER_COUNTY,BUYER_STATE,strength
2006,APACHE,AZ,2871.909574647
2006,COCHISE,AZ,9720.968524445
2006,COCONINO,AZ,177938.664966064
2006,GILA,AZ,5714.0784653870005
2006,GRAHAM,AZ,3473.753931198
2006,GREENLEE,AZ,229.27566356
2006,LA PAZ,AZ,1509.955815412
2006,MARICOPA,AZ,757149.941326349
2006,MOHAVE,AZ,33849.532590179
2006,NAVAJO,AZ,9399.03742192
2006,PIMA,AZ,72828.575168664
2006,PINAL,AZ,20551.229139661
2006,SANTA CRUZ,AZ,1750.655868998
2006,YAVAPAI,AZ,26462.753258218
2006,YUMA,AZ,9100.30148549
2007,APACHE,AZ,2971.191365017
2007,COCHISE,AZ,10510.474345649
2007,COCONINO,AZ,171641.308399963
2007,GILA,AZ,5767.359081771
2007,GRAHAM,AZ,3701.545332737
2007,GREENLEE,AZ,204.87626299500002
2007,LA PAZ,AZ,1667.78091557
2007,MARICOPA,AZ,832375.9462940079
2007,MOHAVE,AZ,36924.624843355
2007,NAVAJO,AZ,10507.296205609
2007,PIMA,AZ,79080.79560922801
2007,PINAL,AZ,23389.185221596
2007,SANTA CRUZ,AZ,1725.154932901
2007,YAVAPAI,AZ,28611.078101465002
2007,YUMA,AZ,10528.12180309
2008,APACHE,AZ,2752.840647486
2008,COCHISE,AZ,11589.959434639
2008,COCONINO,AZ,251384.006175751
2008,GILA,AZ,7038.900245939
2008,GRAHAM,AZ,4401.119439213
2008,GREENLEE,AZ,228.124833787
2008,LA PAZ,AZ,1771.73479781
2008,MARICOPA,AZ,993617.249312794
2008,MOHAVE,AZ,41609.010065858
2008,NAVAJO,AZ,11134.756410454
2008,PIMA,AZ,82888.13454588
2008,PINAL,AZ,24196.270930582
2008,SANTA CRUZ,AZ,1914.209600778
2008,YAVAPAI,AZ,28856.414359541
2008,YUMA,AZ,11498.821818998
2009,APACHE,AZ,3886.651986702
2009,COCHISE,AZ,12014.710037461
2009,COCONINO,AZ,289081.103550717
2009,GILA,AZ,6923.865485144001
2009,GRAHAM,AZ,4793.825201785
2009,GREENLEE,AZ,226.75860265100002
2009,LA PAZ,AZ,2167.182878742
2009,MARICOPA,AZ,1104780.462373546
2009,MOHAVE,AZ,42973.759362206
2009,NAVAJO,AZ,11215.370951951
2009,PIMA,AZ,81669.223480855
2009,PINAL,AZ,24801.750904875
2009,SANTA CRUZ,AZ,1859.036426544
2009,YAVAPAI,AZ,30699.903310068
2009,YUMA,AZ,12230.516685371
2010,APACHE,AZ,4303.185838859
2010,COCHISE,AZ,11975.625313941
2010,COCONINO,AZ,309380.565422975
