year,BUYER_COUNTY,BUYER_STATE,strength
2006,ALAMEDA,CA,988659.521943009
2006,ALPINE,CA,0.45405
2006,AMADOR,CA,6536.394070491
2006,BUTTE,CA,44311.475475761
2006,CALAVERAS,CA,7155.011948408
2006,COLUSA,CA,1845.834969137
2006,CONTRA COSTA,CA,79518.379646214
2006,DEL NORTE,CA,5433.848335044
2006,EL DORADO,CA,21754.505149404
2006,FRESNO,CA,76943.723908792
2006,GLENN,CA,4219.058858371
2006,HUMBOLDT,CA,22661.7612202
2006,IMPERIAL,CA,6622.142184489
2006,INYO,CA,2261.565976593
2006,KERN,CA,64051.523949272
2006,KINGS,CA,274788.160875933
2006,LAKE,CA,11186.066176277
2006,LASSEN,CA,6677.281554993
2006,LOS ANGELES,CA,1412388.893903092
2006,MADERA,CA,10157.764108901
2006,MARIN,CA,17812.811604888
2006,MARIPOSA,CA,985.654606724
2006,MENDOCINO,CA,12490.633334706
2006,MERCED,CA,17766.533063898
2006,MODOC,CA,1438.982325966
2006,MONO,CA,506.825396957
2006,MONTEREY,CA,30991.455111829
2006,NAPA,CA,10090.709909688001
2006,NEVADA,CA,13728.925459611
2006,ORANGE,CA,687633.313774281
2006,PLACER,CA,49048.416103673
2006,PLUMAS,CA,3767.69207298
2006,RIVERSIDE,CA,322355970.2638832
2006,SACRAMENTO,CA,659296.815116544
2006,SAN BENITO,CA,2483.874107154
2006,SAN BERNARDINO,CA,171563.633325728
2006,SAN DIEGO,CA,208592.663711333
2006,SAN FRANCISCO,CA,38570.91780958
2006,SAN JOAQUIN,CA,136872.745838712
2006,SAN LUIS OBISPO,CA,39486.319140311
2006,SAN MATEO,CA,34312.888087481
2006,SANTA BARBARA,CA,35786.171419342
2006,SANTA CLARA,CA,85435.270073482
2006,SANTA CRUZ,CA,22906.587998693
2006,SHASTA,CA,49311.521329524
2006,SIERRA,CA,274.270107081
2006,SISKIYOU,CA,6415.504767355
2006,SOLANO,CA,136465.45601785
2006,SONOMA,CA,45301.629439462
2006,STANISLAUS,CA,91440.866067929
2006,SUTTER,CA,13611.379382692001
2006,TEHAMA,CA,10648.945440018
2006,TRINITY,CA,3128.685841296
2006,TULARE,CA,45203.038555725
2006,TUOLUMNE,CA,13796.762002766
2006,VENTURA,CA,62410.261904689
2006,YOLO,CA,905351.994334058
2006,YUBA,CA,10544.664654469
2007,ALAMEDA,CA,1117083.578602897
2007,AMADOR,CA,7460.364374628
2007,BUTTE,CA,50155.150777953
2007,CALAVERAS,CA,8175.855078707
2007,COLUSA,CA,2073.687768616
2007,CONTRA COSTA,CA,86348.54727157
2007,DEL NORTE,CA,5777.760753457
2007,EL DORADO,CA,22714.488538303
2007,FRESNO,CA,83801.025444893
2007,GLENN,CA,4556.429316723
2007,HUMBOLDT,CA,25372.528696779
2007,IMPERIAL,CA,7054.333377597
2007,INYO,CA,2272.671748926
2007,KERN,CA,75202.558730757
2007,KINGS,CA,326974.603289996
2007,LAKE,CA,12057.279950667
2007,LASSEN,CA,6953.429889441
2007,LOS ANGELES,CA,1414338.158030702
2007,MADERA,CA,11267.862794648001
2007,MARIN,CA,18305.686324745002
2007,MARIPOSA,CA,940.9345449690001
2007,MENDOCINO,CA,12440.49235247
2007,MERCED,CA,21626.313350013
2007,MODOC,CA,1796.216082503
2007,MONO,CA,443.520978856
2007,MONTEREY,CA,33017.279151262
2007,NAPA,CA,11044.871462383
2007,NEVADA,CA,16206.475963703
2007,ORANGE,CA,534634.2632752589
2007,PLACER,CA,54761.088420196
2007,PLUMAS,CA,4100.024916343
2007,RIVERSIDE,CA,202741205.15318495
2007,SACRAMENTO,CA,685492.190276695
2007,SAN BENITO,CA,2686.521770135
2007,SAN BERNARDINO,CA,184651.092596093
2007,SAN DIEGO,CA,229266.513930022
2007,SAN FRANCISCO,CA,40725.467130808
2007,SAN JOAQUIN,CA,158948.526809544
2007,SAN LUIS OBISPO,CA,61801.710830922
2007,SAN MATEO,CA,35252.043549256
2007,SANTA BARBARA,CA,36640.082559256
2007,SANTA CLARA,CA,77909.239029106
2007,SANTA CRUZ,CA,24328.328599922
2007,SHASTA,CA,52451.065653895
2007,SIERRA,CA,310.37344512000004
2007,SISKIYOU,CA,7693.974904225
2007,SOLANO,CA,222455.064542114
2007,SONOMA,CA,47000.147660522
2007,STANISLAUS,CA,100373.574026875
2007,SUTTER,CA,16486.702106987
2007,TEHAMA,CA,12709.793843832
2007,TRINITY,CA,3154.643101763
2007,TULARE,CA,49963.334629949
2007,TUOLUMNE,CA,15007.712176994
2007,VENTURA,CA,65523.437038965
2007,YOLO,CA,934365.313834819
2007,YUBA,CA,11243.88351201
2008,ALAMEDA,CA,1431747.762060729
2008,AMADOR,CA,7573.553961791
2008,BUTTE,CA,56102.913615542
2008,CALAVERAS,CA,9181.796211885001
2008,COLUSA,CA,2321.288730446
2008,CONTRA COSTA,CA,91212.06992157901
2008,DEL NORTE,CA,6046.302788961
2008,EL DORADO,CA,24307.077209843
2008,FRESNO,CA,91278.979937823
2008,GLENN,CA,5068.584585431
2008,HUMBOLDT,CA,28382.809996456
2008,IMPERIAL,CA,7814.968492955
2008,INYO,CA,2335.122941954
2008,KERN,CA,79744.713336531
2008,KINGS,CA,409426.579126551
2008,LAKE,CA,13869.908613882
2008,LASSEN,CA,7452.664902464
2008,LOS ANGELES,CA,1527442.755557579
2008,MADERA,CA,12560.936299678
2008,MARIN,CA,18476.124213627
2008,MARIPOSA,CA,1081.639394882
2008,MENDOCINO,CA,13364.863907207
2008,MERCED,CA,22772.606735964
2008,MODOC,CA,2077.622439212
2008,MONO,CA,479.877839235
2008,MONTEREY,CA,35377.15695386
2008,NAPA,CA,11451.945274544
2008,NEVADA,CA,15881.435778607
2008,ORANGE,CA,571469.104298178
2008,PLACER,CA,58161.001680687
2008,PLUMAS,CA,4481.232871741
2008,RIVERSIDE,CA,137817986.41704363
2008,SACRAMENTO,CA,851057.292487993
2008,SAN BENITO,CA,3029.6461809400002
2008,SAN BERNARDINO,CA,198187.601268819
2008,SAN DIEGO,CA,221896.20467833
2008,SAN FRANCISCO,CA,43296.90784169
2008,SAN JOAQUIN,CA,170471.115327519
2008,SAN LUIS OBISPO,CA,62956.84929454
2008,SAN MATEO,CA,38001.209840954
2008,SANTA BARBARA,CA,39668.842376295
2008,SANTA CLARA,CA,84666.04171356201
2008,SANTA CRUZ,CA,27875.998931261
2008,SHASTA,CA,58758.815986831
2008,SIERRA,CA,311.427641556
2008,SISKIYOU,CA,9070.729127693001
2008,SOLANO,CA,1541905.510265749
2008,SONOMA,CA,51278.914598577
2008,STANISLAUS,CA,97093.630562888
2008,SUTTER,CA,19414.09872805
2008,TEHAMA,CA,13832.001483017
2008,TRINITY,CA,3286.068964471
2008,TULARE,CA,53861.960674031
2008,TUOLUMNE,CA,17105.132698704
2008,VENTURA,CA,69983.134222111
2008,YOLO,CA,1113293.191038385
2008,YUBA,CA,12265.976238777
2009,ALAMEDA,CA,1616771.495562879
2009,ALPINE,CA,11.35125
2009,AMADOR,CA,8162.604615927
2009,BUTTE,CA,61985.655512418
2009,CALAVERAS,CA,10382.310235392
2009,COLUSA,CA,2405.443725874
2009,CONTRA COSTA,CA,101187.690535248
2009,DEL NORTE,CA,6332.14676834
2009,EL DORADO,CA,26992.243144819
2009,FRESNO,CA,99786.031242263
2009,GLENN,CA,5433.371866583
2009,HUMBOLDT,CA,28822.957667768
2009,IMPERIAL,CA,8357.292450167
2009,INYO,CA,2354.355719113
2009,KERN,CA,84209.841304419
2009,KINGS,CA,388482.633614547
2009,LAKE,CA,16789.761692101998
2009,LASSEN,CA,7572.874431039
2009,LOS ANGELES,CA,1541717.541473718
2009,MADERA,CA,14178.63022925
2009,MARIN,CA,18627.957181922
2009,MARIPOSA,CA,1719.356856578
2009,MENDOCINO,CA,14530.882899985
2009,MERCED,CA,25841.288874346
2009,MODOC,CA,1908.306723523
2009,MONO,CA,448.76022850100003
2009,MONTEREY,CA,38925.771385183
2009,NAPA,CA,12348.282178102
2009,NEVADA,CA,17183.932858248
2009,ORANGE,CA,699255.073514021
2009,PLACER,CA,66750.717020661
2009,PLUMAS,CA,4826.314953155
2009,RIVERSIDE,CA,69890274.36416046
2009,SACRAMENTO,CA,890496.307492557
2009,SAN BENITO,CA,3325.521853548
2009,SAN BERNARDINO,CA,203141.785099108
2009,SAN DIEGO,CA,225888.547177856
2009,SAN FRANCISCO,CA,44138.283737382
2009,SAN JOAQUIN,CA,189543.547249242
2009,SAN LUIS OBISPO,CA,52650.104531763
2009,SAN MATEO,CA,42339.849766921
2009,SANTA BARBARA,CA,44490.987096437
2009,SANTA CLARA,CA,86565.624775952
2009,SANTA CRUZ,CA,30211.899845157
2009,SHASTA,CA,61336.630926577
2009,SIERRA,CA,288.84225156
2009,SISKIYOU,CA,9625.518582298
2009,SOLANO,CA,240892.34347566
2009,SONOMA,CA,54271.824972247
2009,STANISLAUS,CA,107481.253875935
2009,SUTTER,CA,22017.659483529
2009,TEHAMA,CA,14106.448061867
2009,TRINITY,CA,3970.112418747
2009,TULARE,CA,57054.560320024
2009,TUOLUMNE,CA,17227.804795704
2009,VENTURA,CA,151037.051501062
2009,YOLO,CA,1104363.140361761
2009,YUBA,CA,14329.822510893
2010,ALAMEDA,CA,1112294.622787326
2010,ALPINE,CA,9.570768600000001
2010,AMADOR,CA,8287.086490065
2010,BUTTE,CA,66118.396993634
2010,CALAVERAS,CA,11401.776726826
2010,COLUSA,CA,2645.579312282
2010,CONTRA COSTA,CA,106518.418452493
2010,DEL NORTE,CA,6890.892960916
2010,EL DORADO,CA,26962.593339595
2010,FRESNO,CA,103597.028351974
2010,GLENN,CA,5534.335676464
2010,HUMBOLDT,CA,30639.994981272
2010,IMPERIAL,CA,8650.144882786
2010,INYO,CA,2302.887187219
2010,KERN,CA,89245.494777608
2010,KINGS,CA,407354.614715709
2010,LAKE,CA,17949.576813712
2010,LASSEN,CA,7638.172888676
2010,LOS ANGELES,CA,1594459.827340078
2010,MADERA,CA,15330.276863013
2010,MARIN,CA,18896.405851172
2010,MARIPOSA,CA,1879.501200805
2010,MENDOCINO,CA,14185.129700729
2010,MERCED,CA,27999.437427055
2010,MODOC,CA,1917.19281535
2010,MONO,CA,447.431231568
2010,MONTEREY,CA,40917.622623821
2010,NAPA,CA,12272.078764928001
2010,NEVADA,CA,19081.893050387
2010,ORANGE,CA,622427.466985559
2010,PLACER,CA,70170.404615375
2010,PLUMAS,CA,5062.344533303
2010,RIVERSIDE,CA,45983087.59886536
2010,SACRAMENTO,CA,800953.294277313
2010,SAN BENITO,CA,3453.967597599
2010,SAN BERNARDINO,CA,207975.952247614
2010,SAN DIEGO,CA,230375.685764874
2010,SAN FRANCISCO,CA,43523.375378188
2010,SAN JOAQUIN,CA,178993.541622327
2010,SAN LUIS OBISPO,CA,50369.568803876
2010,SAN MATEO,CA,44035.079269425
2010,SANTA BARBARA,CA,47160.712971137
2010,SANTA CLARA,CA,88075.917397609
2010,SANTA CRUZ,CA,30941.934393276
2010,SHASTA,CA,65550.986748443
2010,SIERRA,CA,356.076771881
2010,SISKIYOU,CA,9854.223524718
2010,SOLANO,CA,45743.79242072
2010,SONOMA,CA,55618.123258776
2010,STANISLAUS,CA,335988.712237438
2010,SUTTER,CA,23129.393029077
2010,TEHAMA,CA,16060.771803701
2010,TRINITY,CA,4107.437582794
2010,TULARE,CA,62077.010164332
2010,TUOLUMNE,CA,17388.645977519
2010,VENTURA,CA,739724.844489348
2010,YOLO,CA,1173957.775150602
2010,YUBA,CA,15171.928252277
2011,ALAMEDA,CA,1169388.019693703
2011,ALPINE,CA,1.8876372000000001
2011,AMADOR,CA,8667.969834112
2011,BUTTE,CA,69055.921735686
2011,CALAVERAS,CA,12132.134937759
2011,COLUSA,CA,2802.459180983
2011,CONTRA COSTA,CA,110739.125515129
2011,DEL NORTE,CA,7652.043682602
2011,EL DORADO,CA,27183.985818567002
2011,FRESNO,CA,117211.301522243
2011,GLENN,CA,5704.570442898
2011,HUMBOLDT,CA,33037.565617556
2011,IMPERIAL,CA,9497.718625284
2011,INYO,CA,2325.369414201
2011,KERN,CA,98962.846848165
2011,KINGS,CA,460177.898858423
2011,LAKE,CA,18076.479932074
2011,LASSEN,CA,8341.181006855
2011,LOS ANGELES,CA,1660153.211865306
2011,MADERA,CA,16141.651755673
2011,MARIN,CA,19237.126789410002
2011,MARIPOSA,CA,2162.0939976610002
2011,MENDOCINO,CA,14846.041207421
2011,MERCED,CA,32180.536859939
2011,MODOC,CA,2458.487556201
2011,MONO,CA,509.259252799
2011,MONTEREY,CA,44097.012390168
2011,NAPA,CA,13321.435564635
2011,NEVADA,CA,19535.095129144
2011,ORANGE,CA,727921.233004115
2011,PLACER,CA,76735.924656344
2011,PLUMAS,CA,5471.011267794
2011,RIVERSIDE,CA,50107482.370202094
2011,SACRAMENTO,CA,844443.9092346079
2011,SAN BENITO,CA,3909.827451813
2011,SAN BERNARDINO,CA,240020.157512632
2011,SAN DIEGO,CA,246913.417557498
2011,SAN FRANCISCO,CA,46492.949949461
2011,SAN JOAQUIN,CA,210054.093944784
2011,SAN LUIS OBISPO,CA,50922.255226658
2011,SAN MATEO,CA,47547.789066914
2011,SANTA BARBARA,CA,49780.838566419
2011,SANTA CLARA,CA,92282.059542136
2011,SANTA CRUZ,CA,32371.475506001
2011,SHASTA,CA,74145.663148627
2011,SIERRA,CA,266.40274444
2011,SISKIYOU,CA,10708.698990002
2011,SOLANO,CA,51171.971267258
2011,SONOMA,CA,59945.726692726
2011,STANISLAUS,CA,258663.251957311
2011,SUTTER,CA,24376.731668758
2011,TEHAMA,CA,17979.049402933
2011,TRINITY,CA,4496.725883302
2011,TULARE,CA,69936.399437469
2011,TUOLUMNE,CA,18487.229048639
