year,BUYER_COUNTY,BUYER_STATE,strength
2006,ADAMS,CO,153404.315285949
2006,ALAMOSA,CO,1943.532885136
2006,ARAPAHOE,CO,132518.330621925
2006,ARCHULETA,CO,500.382158481
2006,BACA,CO,120.62010766600001
2006,BENT,CO,215.592406122
2006,BOULDER,CO,15779.187793939
2006,BROOMFIELD,CO,10589.782186026001
2006,CHAFFEE,CO,1338.130212381
2006,CHEYENNE,CO,77.83969676
2006,CLEAR CREEK,CO,353.357116562
2006,CONEJOS,CO,779.355636005
2006,CROWLEY,CO,356.215731968
2006,CUSTER,CO,2.7243
2006,DELTA,CO,2622.439475659
2006,DENVER,CO,103250.60339596099
2006,DOLORES,CO,55.388259745
2006,DOUGLAS,CO,10751.599110549001
2006,EAGLE,CO,2170.198451504
2006,EL PASO,CO,46080.473614217
2006,ELBERT,CO,575.058576164
2006,FREMONT,CO,4439.724313883
2006,GARFIELD,CO,3836.38015433
2006,GILPIN,CO,81.605092451
2006,GRAND,CO,581.861406502
2006,GUNNISON,CO,562.968059661
2006,HINSDALE,CO,1.3621500000000002
2006,HUERFANO,CO,1127.397602367
2006,JACKSON,CO,1.93728
2006,JEFFERSON,CO,39512.094988794
2006,KIOWA,CO,73.72055516
2006,KIT CARSON,CO,260.893996274
2006,LA PLATA,CO,3370.904968997
2006,LAKE,CO,373.822534475
2006,LARIMER,CO,18287.675809362
2006,LAS ANIMAS,CO,3442.7758358280003
2006,LINCOLN,CO,308.582955791
2006,LOGAN,CO,1637.3189432030001
2006,MESA,CO,12524.782423058
2006,MOFFAT,CO,950.762567846
2006,MONTEZUMA,CO,2744.197387885
2006,MONTROSE,CO,2443.633246873
2006,MORGAN,CO,1547.0617747620001
2006,OTERO,CO,2224.0212258320003
2006,OURAY,CO,263.77983116
2006,PARK,CO,222.11036184
2006,PHILLIPS,CO,137.154931861
2006,PITKIN,CO,588.307854488
2006,PROWERS,CO,1023.7053865490001
2006,PUEBLO,CO,20145.05990457
2006,RIO BLANCO,CO,414.116369854
2006,RIO GRANDE,CO,680.147990377
2006,ROUTT,CO,2102.678654135
2006,SAGUACHE,CO,1.8162000000000003
2006,SAN JUAN,CO,0.24216
2006,SAN MIGUEL,CO,174.96113262400002
2006,SEDGWICK,CO,168.587519009
2006,SUMMIT,CO,1255.5168523070001
2006,TELLER,CO,1717.45921272
2006,WASHINGTON,CO,102.389148305
2006,WELD,CO,13757.408788967
