year,BUYER_COUNTY,BUYER_STATE,strength
2006,FAIRFIELD,CT,25551.316876786
2006,HARTFORD,CT,142095.708608273
2006,LITCHFIELD,CT,10913.420824324001
2006,MIDDLESEX,CT,6608.586166446
2006,NEW HAVEN,CT,35426.102230374
2006,NEW LONDON,CT,15130.932831943
2006,TOLLAND,CT,4340.253569722
2006,WINDHAM,CT,94388.49297807
2007,ANDERSON,CT,0.217944
2007,FAIRFIELD,CT,28976.849274399
2007,HARTFORD,CT,143374.06694269
2007,LITCHFIELD,CT,12235.025292695
2007,MIDDLESEX,CT,6650.331471112
2007,NEW HAVEN,CT,40681.695564095004
2007,NEW LONDON,CT,15565.586099999
2007,TOLLAND,CT,5414.286455331
2007,WINDHAM,CT,86741.620134042
2008,FAIRFIELD,CT,31106.141297208
2008,HARTFORD,CT,148006.785294192
2008,LITCHFIELD,CT,12779.479556995
2008,MIDDLESEX,CT,7447.269113679
2008,NEW HAVEN,CT,43536.36751776
2008,NEW LONDON,CT,17703.442968005
2008,TOLLAND,CT,5702.845018292
2008,WINDHAM,CT,81189.846597887
2009,FAIRFIELD,CT,30452.071262865
2009,HARTFORD,CT,215655.791762224
2009,LITCHFIELD,CT,12693.968093323
2009,MIDDLESEX,CT,7951.396276425
2009,NEW HAVEN,CT,42568.046055695
2009,NEW LONDON,CT,18443.392055407
2009,TOLLAND,CT,5740.185458272
2009,WINDHAM,CT,72902.195271189
2010,FAIRFIELD,CT,29344.193287596
2010,HARTFORD,CT,276137.185283249
2010,LITCHFIELD,CT,12333.622951083
2010,MIDDLESEX,CT,7782.723911448
2010,NEW HAVEN,CT,40951.167446278
2010,NEW LONDON,CT,17845.155064703
2010,TOLLAND,CT,5755.800425837
2010,WINDHAM,CT,7763.925285682
2011,ANDERSON,CT,0.105945
2011,FAIRFIELD,CT,31612.37813647
2011,HARTFORD,CT,314362.634142108
2011,LITCHFIELD,CT,13202.959033882
2011,MIDDLESEX,CT,8533.718221962
2011,NEW HAVEN,CT,43747.279964374
2011,NEW LONDON,CT,19208.731369636
2011,TOLLAND,CT,6235.3483871280005
2011,WINDHAM,CT,7601.203494093
2012,FAIRFIELD,CT,29116.27147141
2012,HARTFORD,CT,281529.21802282
2012,LITCHFIELD,CT,13080.964974122
2012,MIDDLESEX,CT,7975.337906038
2012,NEW HAVEN,CT,42281.477168636
2012,NEW LONDON,CT,18517.962811185
2012,TOLLAND,CT,6034.754545057
2012,WINDHAM,CT,7303.6084303650005
2013,FAIRFIELD,CT,26986.766064775
2013,HARTFORD,CT,253169.834906825
2013,LITCHFIELD,CT,13118.058093025
2013,MIDDLESEX,CT,7911.35584481
2013,NEW HAVEN,CT,38494.333965436
2013,NEW LONDON,CT,17416.881456444
2013,TOLLAND,CT,5764.154665887
2013,WINDHAM,CT,6918.600408323
2014,FAIRFIELD,CT,24049.246834219
2014,HARTFORD,CT,168859.884055325
2014,LITCHFIELD,CT,11798.268201621
2014,MIDDLESEX,CT,7228.49727824
2014,NEW HAVEN,CT,35760.49560757
2014,NEW LONDON,CT,16161.034377526
2014,TOLLAND,CT,5288.2569484000005
2014,WINDHAM,CT,6226.467239668
2015,FAIRFIELD,CT,18275.616507697
2015,HARTFORD,CT,204643.392937934
2015,LITCHFIELD,CT,9370.870773037
2015,MIDDLESEX,CT,6157.582036845
2015,NEW HAVEN,CT,29008.094391803003
2015,NEW LONDON,CT,13711.930367091001
2015,TOLLAND,CT,4296.625325416
2015,WINDHAM,CT,5535.851513167
2016,FAIRFIELD,CT,15503.103393574
2016,HARTFORD,CT,163519.115539491
2016,LITCHFIELD,CT,7897.948536146
2016,MIDDLESEX,CT,5187.696507961
2016,NEW HAVEN,CT,25012.063069277
2016,NEW LONDON,CT,11201.154973653
2016,TOLLAND,CT,3700.3181083520003
2016,WINDHAM,CT,4747.739809260001
2017,FAIRFIELD,CT,12985.999803393
2017,HARTFORD,CT,138969.75642747502
2017,LITCHFIELD,CT,6607.7095145270005
2017,MIDDLESEX,CT,5928.32944895
2017,NEW HAVEN,CT,20845.692976882
2017,NEW LONDON,CT,9126.210517040001
2017,TOLLAND,CT,3176.3422190290003
2017,WINDHAM,CT,3662.335695218
2018,FAIRFIELD,CT,10871.532904159001
2018,HARTFORD,CT,39485.985368899004
2018,LITCHFIELD,CT,5734.936560965
2018,MIDDLESEX,CT,3922.722934313
2018,NEW HAVEN,CT,17839.599678401002
2018,NEW LONDON,CT,7317.165806494
2018,TOLLAND,CT,2812.4295002920003
2018,WINDHAM,CT,3172.136427069
2019,FAIRFIELD,CT,9382.790546489001
2019,HARTFORD,CT,14509.061563971001
2019,LITCHFIELD,CT,5006.848040803
2019,MIDDLESEX,CT,3303.140772838
2019,NEW HAVEN,CT,15990.773413289
2019,NEW LONDON,CT,6401.3218691170005
2019,TOLLAND,CT,2498.776434923
2019,WINDHAM,CT,2838.651446939
