year,BUYER_COUNTY,BUYER_STATE,strength
2006,DISTRICT OF COLUMBIA,DC,13716.339807811
2007,DISTRICT OF COLUMBIA,DC,25208.708738259
2008,DISTRICT OF COLUMBIA,DC,11312.685784569001
2009,DISTRICT OF COLUMBIA,DC,11680.211861452
2010,DISTRICT OF COLUMBIA,DC,11524.391040716
2011,DISTRICT OF COLUMBIA,DC,12002.717529082
2012,DISTRICT OF COLUMBIA,DC,11896.354734912
2013,DISTRICT OF COLUMBIA,DC,11644.302050966
2014,DISTRICT OF COLUMBIA,DC,10107.225775117
2015,DISTRICT OF COLUMBIA,DC,7950.2605557120005
2016,DISTRICT OF COLUMBIA,DC,7137.245673140001
2017,DISTRICT OF COLUMBIA,DC,5961.994867813
2018,DISTRICT OF COLUMBIA,DC,4762.093402466
2019,DISTRICT OF COLUMBIA,DC,4040.175481102
