year,BUYER_COUNTY,BUYER_STATE,strength
2006,KENT,DE,6992.032678047
2006,NEW CASTLE,DE,539891157.9194632
2006,SUSSEX,DE,9979.000231819
2007,KENT,DE,7642.784422955
2007,NEW CASTLE,DE,13991731.496583542
2007,SUSSEX,DE,11505.606290254
2008,KENT,DE,8672.859080162
2008,NEW CASTLE,DE,14201917.077223605
2008,SUSSEX,DE,12616.893548575
2009,KENT,DE,8571.911929175
2009,NEW CASTLE,DE,18839476.30902638
2009,SUSSEX,DE,13780.180845709001
2010,KENT,DE,8874.095920537
2010,NEW CASTLE,DE,18119271.991264056
2010,SUSSEX,DE,13416.361030491
2011,KENT,DE,9728.202866617
2011,NEW CASTLE,DE,34655222.66988522
2011,SUSSEX,DE,14497.132396088
2012,KENT,DE,8408.779540884001
2012,NEW CASTLE,DE,39692736.69438323
2012,SUSSEX,DE,13257.797719414
2013,KENT,DE,7214.196116059
2013,NEW CASTLE,DE,33416041.526605014
2013,SUSSEX,DE,12111.654424376
2014,KENT,DE,6577.657845314
2014,NEW CASTLE,DE,450028767.05601054
2014,SUSSEX,DE,11831.630825849
2015,KENT,DE,5538.302377739
2015,NEW CASTLE,DE,34441476.62357445
2015,SUSSEX,DE,10330.204996178
2016,KENT,DE,4902.426111409
2016,NEW CASTLE,DE,26822342.121865295
2016,SUSSEX,DE,9610.218939449
2017,KENT,DE,4111.482160484
2017,NEW CASTLE,DE,16262546.587996293
2017,SUSSEX,DE,8511.329439918
2018,KENT,DE,3446.163118241
2018,NEW CASTLE,DE,13589880.574988993
2018,SUSSEX,DE,7345.258675616
2019,KENT,DE,3051.23404672
2019,NEW CASTLE,DE,6495749.837913027
2019,SUSSEX,DE,6669.442692185
