year,BUYER_COUNTY,BUYER_STATE,strength
2006,ALACHUA,FL,22884.604156997
2006,BAKER,FL,5742.817951031
2006,BAY,FL,40971.755253348
2006,BRADFORD,FL,4097.690644266
2006,BREVARD,FL,72515.760325389
2006,BROWARD,FL,1166948.238474232
2006,CALHOUN,FL,1199.342409344
2006,CHARLOTTE,FL,16758.665397846
2006,CITRUS,FL,19307.818806411
2006,CLAY,FL,27519.144562444002
2006,COLLIER,FL,18553.431880408
2006,COLUMBIA,FL,14163.169645004
2006,DE SOTO,FL,2458.529810045
2006,DIXIE,FL,1196.458623516
2006,DUVAL,FL,143857.217911768
2006,ESCAMBIA,FL,53779.524085147
2006,FLAGLER,FL,10132.938943408
2006,FRANKLIN,FL,1926.022887463
2006,GADSDEN,FL,2890.1204343140002
2006,GILCHRIST,FL,1151.164090818
2006,GULF,FL,2777.817175905
2006,HAMILTON,FL,883.0078720610001
2006,HARDEE,FL,1598.114144458
2006,HENDRY,FL,3289.894128778
2006,HERNANDO,FL,21330.7615506
2006,HIGHLANDS,FL,8074.075746283
2006,HILLSBOROUGH,FL,263115530.3572921
2006,HOLMES,FL,3062.137253191
2006,INDIAN RIVER,FL,36691.734079012
2006,JACKSON,FL,5880.890886253
2006,JEFFERSON,FL,847.487862233
2006,LAFAYETTE,FL,704.677667191
2006,LAKE,FL,26435.908967333
2006,LEE,FL,57079.946567901
2006,LEON,FL,18971.601641758
2006,LEVY,FL,5316.795056411
2006,LIBERTY,FL,343.259589511
2006,MADISON,FL,1474.769247826
2006,MANATEE,FL,46071.414865568004
2006,MARION,FL,39109.478361964
2006,MARTIN,FL,10258.299536424
2006,MIAMI-DADE,FL,98790.636057447
2006,MONROE,FL,11133.649396369
2006,NASSAU,FL,11920.694742504
2006,OKALOOSA,FL,27689.10246841
2006,OKEECHOBEE,FL,4950.616897899
2006,ORANGE,FL,804833.580906162
2006,OSCEOLA,FL,15645.364113990001
2006,PALM BEACH,FL,464321.9788869
2006,PASCO,FL,83611.370083957
2006,PINELLAS,FL,254302.022221604
2006,POLK,FL,958100.93451717
2006,PUTNAM,FL,16406.887196752
2006,SAINT JOHNS,FL,17447.334959774
2006,SAINT LUCIE,FL,17218.466845395
2006,SANTA ROSA,FL,24388.113560002
2006,SARASOTA,FL,41079.852627393004
2006,SEMINOLE,FL,35698.716872736004
2006,SUMTER,FL,5228.334948618
2006,SUWANNEE,FL,4104.8861237930005
2006,TAYLOR,FL,2990.00140968
2006,UNION,FL,1132.9469197610001
2006,VOLUSIA,FL,126256.257557837
2006,WAKULLA,FL,2683.623038308
2006,WALTON,FL,14006.232203255
2006,WASHINGTON,FL,4787.2048397300005
2007,ALACHUA,FL,26234.770857716
2007,BAKER,FL,6955.150586034
2007,BAY,FL,41482.056414499
2007,BRADFORD,FL,4512.295056689
2007,BREVARD,FL,68183.135010697
2007,BROWARD,FL,1014312.526200598
2007,CALHOUN,FL,1320.929185683
2007,CHARLOTTE,FL,16376.599526838001
2007,CITRUS,FL,21062.581000694
2007,CLAY,FL,33375.036896499
2007,COLLIER,FL,18482.260493013
2007,COLUMBIA,FL,15449.387221513
2007,DE SOTO,FL,2776.68192788
2007,DIXIE,FL,1084.900206969
2007,DUVAL,FL,162015.29587931
2007,ESCAMBIA,FL,62427.244615496
2007,FLAGLER,FL,12202.482719459
2007,FRANKLIN,FL,1807.936373934
2007,GADSDEN,FL,3296.357785748
2007,GILCHRIST,FL,1352.034845441
2007,GULF,FL,3046.719076771
2007,HAMILTON,FL,989.538758069
2007,HARDEE,FL,1529.488446634
2007,HENDRY,FL,3457.647441726
2007,HERNANDO,FL,27913.714427859
2007,HIGHLANDS,FL,7893.941553113
2007,HILLSBOROUGH,FL,160616915.55619422
2007,HOLMES,FL,3343.078103152
2007,INDIAN RIVER,FL,87358.706870772
2007,JACKSON,FL,7043.921984435
2007,JEFFERSON,FL,1020.473697752
2007,LAFAYETTE,FL,823.227036767
2007,LAKE,FL,31579.780681018
2007,LEE,FL,51883.844479793
2007,LEON,FL,20829.385219649
2007,LEVY,FL,6102.038904834
2007,LIBERTY,FL,416.667902554
2007,MADISON,FL,1496.731744264
2007,MANATEE,FL,49257.430041164
2007,MARION,FL,49906.389159802
2007,MARTIN,FL,10881.159760639
2007,MIAMI-DADE,FL,68153.196250422
2007,MONROE,FL,11972.964150629
2007,NASSAU,FL,13700.995022579
2007,OKALOOSA,FL,30819.388794511
2007,OKEECHOBEE,FL,5166.892686188
2007,ORANGE,FL,760241.005047877
2007,OSCEOLA,FL,16540.04370369
2007,PALM BEACH,FL,422442.096930373
2007,PASCO,FL,81041.207033833
2007,PINELLAS,FL,159934.902838141
2007,POLK,FL,791076.66108769
2007,PUTNAM,FL,16991.930679154
2007,SAINT JOHNS,FL,19137.054894188
