year,BUYER_COUNTY,BUYER_STATE,strength
2006,APPLING,GA,2354.017230367
2006,ATKINSON,GA,1159.853783772
2006,BACON,GA,2966.682957047
2006,BAKER,GA,9.658628246000001
2006,BALDWIN,GA,4222.73820104
2006,BANKS,GA,1246.118062838
2006,BARROW,GA,9482.70853902
2006,BARTOW,GA,12649.7749937
2006,BEN HILL,GA,2256.03612446
2006,BERRIEN,GA,2394.718059789
2006,BIBB,GA,36433.091983292
2006,BLECKLEY,GA,1686.395929216
2006,BRANTLEY,GA,1792.058308912
2006,BROOKS,GA,2248.014466273
2006,BRYAN,GA,4167.435064436
2006,BULLOCH,GA,5104.647429185
2006,BURKE,GA,1186.0809492380001
2006,BUTTS,GA,2683.243242212
2006,CALHOUN,GA,262.728255095
2006,CAMDEN,GA,9114.90430008
2006,CANDLER,GA,1300.350906776
2006,CARROLL,GA,24658.132770182
2006,CATOOSA,GA,8837.779300477
2006,CHARLTON,GA,1180.792235721
2006,CHATHAM,GA,64694.836739672
2006,CHATTOOGA,GA,5100.7510105540005
2006,CHEROKEE,GA,14238.138044723
2006,CLARKE,GA,706395695.076754
2006,CLAY,GA,470.939302633
2006,CLAYTON,GA,14845.173712798
2006,CLINCH,GA,1559.516188349
2006,COBB,GA,47211.297731459
2006,COFFEE,GA,11999.518685535
2006,COLQUITT,GA,3343.587032863
2006,COLUMBIA,GA,6975.536244533
2006,COOK,GA,1803.891749792
2006,COWETA,GA,104633.16520306
2006,CRAWFORD,GA,251.08881470400001
2006,CRISP,GA,2927.707640737
2006,DADE,GA,2260.924285475
2006,DAWSON,GA,3044.103802316
2006,DECATUR,GA,3606.212183537
2006,DEKALB,GA,137677.071251453
2006,DODGE,GA,3822.195816934
2006,DOOLY,GA,592.834783687
2006,DOUGHERTY,GA,8736.597977068
2006,DOUGLAS,GA,11912.840840375
2006,EARLY,GA,813.591660043
2006,EFFINGHAM,GA,4193.268483249
2006,ELBERT,GA,4926.022533556
2006,EMANUEL,GA,3386.139369758
2006,EVANS,GA,2817.751778606
2006,FANNIN,GA,3969.680095882
2006,FAYETTE,GA,7954.41887957
2006,FLOYD,GA,22819.550886871
2006,FORSYTH,GA,8680.961253626
2006,FRANKLIN,GA,8438.036838626
2006,FULTON,GA,2356547.95433976
2006,GILMER,GA,4215.312535855
2006,GLASCOCK,GA,0.3027
2006,GLYNN,GA,11496.028713504
2006,GORDON,GA,6421.772633532
2006,GRADY,GA,1766.912096337
2006,GREENE,GA,2245.141544358
2006,GWINNETT,GA,10107886.328161646
2006,HABERSHAM,GA,5630.179236344
2006,HALL,GA,21216.651586858
2006,HANCOCK,GA,458.852118348
2006,HARALSON,GA,10458.296406883
2006,HARRIS,GA,429.42181354900003
2006,HART,GA,5078.77151855
2006,HEARD,GA,439.514737291
2006,HENRY,GA,183403.100703331
2006,HOUSTON,GA,15375.521113568
2006,IRWIN,GA,588.799389621
2006,JACKSON,GA,7138.557101436
2006,JASPER,GA,860.75523563
2006,JEFF DAVIS,GA,2140.490067177
2006,JEFFERSON,GA,2356.280376414
2006,JENKINS,GA,942.79655793
2006,JOHNSON,GA,721.500840236
2006,JONES,GA,1370.721126061
2006,LAMAR,GA,1402.968120842
2006,LANIER,GA,910.118818462
2006,LAURENS,GA,10521.99579411
2006,LEE,GA,637.365813517
2006,LIBERTY,GA,3014.056973625
2006,LINCOLN,GA,912.489330215
2006,LONG,GA,247.11348383
2006,LOWNDES,GA,14094.871294102
2006,LUMPKIN,GA,1789.16670062
2006,MACON,GA,2007.2972789159999
2006,MADISON,GA,4078.274708877
2006,MARION,GA,305.632053753
2006,MCDUFFIE,GA,2854.284705689
2006,MCINTOSH,GA,2699.6391198300003
2006,MERIWETHER,GA,2130.774606083
2006,MILLER,GA,650.282401799
2006,MITCHELL,GA,2248.204793686
2006,MONROE,GA,1630.539080476
2006,MONTGOMERY,GA,268.365023464
2006,MORGAN,GA,1777.6710589670001
2006,MURRAY,GA,4891.080095483
2006,MUSCOGEE,GA,24287.323206412002
2006,NEWTON,GA,7867.763839923
2006,OCONEE,GA,1791.539355191
2006,OGLETHORPE,GA,759.350445338
2006,PAULDING,GA,9309.962305889
2006,PEACH,GA,2688.081748704
2006,PICKENS,GA,4250.570607521
2006,PIERCE,GA,2893.291437232
2006,PIKE,GA,774.963234927
2006,POLK,GA,11526.408987612
2006,PULASKI,GA,2356.16296086
2006,PUTNAM,GA,1183.153813461
2006,RABUN,GA,2920.150160149
2006,RANDOLPH,GA,420.515497271
2006,RICHMOND,GA,18060.444617033
2006,ROCKDALE,GA,57228.996916563
2006,SCHLEY,GA,230.540212414
2006,SCREVEN,GA,660.858791067
2006,SEMINOLE,GA,1729.862710644
2006,SPALDING,GA,11027.786204918
2006,STEPHENS,GA,9192.708117632
2006,STEWART,GA,472.859958368
2006,SUMTER,GA,2752.346527476
2006,TALBOT,GA,71.012251949
2006,TATTNALL,GA,3729.429297964
2006,TAYLOR,GA,1231.543268478
2006,TELFAIR,GA,3700.973974137
2006,TERRELL,GA,422.847896687
2006,THOMAS,GA,5074.161777343
2006,TIFT,GA,581444.180909625
2006,TOOMBS,GA,7119.9607399920005
2006,TOWNS,GA,1416.934437348
2006,TREUTLEN,GA,1001.1490062080001
2006,TROUP,GA,6605.122116414
2006,TURNER,GA,1296.800675462
2006,TWIGGS,GA,457.574735268
2006,UNION,GA,2600.918912554
2006,UPSON,GA,4120.017585717
2006,WALKER,GA,7931.945455022
2006,WALTON,GA,26732.820283301
2006,WARE,GA,12411.629752686
2006,WARREN,GA,137.410571691
