year,BUYER_COUNTY,BUYER_STATE,strength
2006,HAWAII,HI,21166.411561069
2006,HONOLULU,HI,96198.151539373
2006,KAUAI,HI,5837.806480623
2006,MAUI,HI,13718.30187675
2007,HAWAII,HI,22482.928048236
2007,HONOLULU,HI,103010.46469989
2007,KAUAI,HI,6541.329949071
2007,MAUI,HI,15117.683892555
2008,HAWAII,HI,23368.364455056002
2008,HONOLULU,HI,119008.016415001
2008,KAUAI,HI,6585.929194726
2008,MAUI,HI,15703.877762703
2009,HAWAII,HI,24899.070140211
2009,HONOLULU,HI,126674.225556707
2009,KAUAI,HI,7120.900680733
2009,MAUI,HI,17128.576691645
2010,HAWAII,HI,26515.254445872
2010,HONOLULU,HI,121339.82779321
2010,KAUAI,HI,7008.61599145
2010,MAUI,HI,17509.422270136
2011,HAWAII,HI,26518.970139171
2011,HONOLULU,HI,123345.22246735
2011,KAUAI,HI,6568.14022882
2011,MAUI,HI,17343.661632264
2012,HAWAII,HI,26660.019078776
2012,HONOLULU,HI,104476.597548147
2012,KAUAI,HI,6141.956581062
2012,MAUI,HI,17042.792430689
2013,HAWAII,HI,26595.465350367
2013,HONOLULU,HI,98820.179159789
2013,KAUAI,HI,6316.927087163
2013,MAUI,HI,16359.304279156
2014,HAWAII,HI,25574.292457782
2014,HONOLULU,HI,111294.141997
2014,KAUAI,HI,5808.812005972
2014,MAUI,HI,15136.861969475
2015,HAWAII,HI,21882.177881557
2015,HONOLULU,HI,117878.007873116
2015,KAUAI,HI,5077.2606691070005
2015,MAUI,HI,13439.011523542
2016,HAWAII,HI,19627.548354193
2016,HONOLULU,HI,103206.37244591801
2016,KAUAI,HI,4718.036135916
2016,MAUI,HI,12235.941376346
2017,HAWAII,HI,17764.508239482002
2017,HONOLULU,HI,97015.552280057
2017,KAUAI,HI,4070.60827385
2017,MAUI,HI,11063.696166571
2018,HAWAII,HI,15679.372863231001
2018,HONOLULU,HI,88105.545192668
2018,KAUAI,HI,3267.915600543
2018,MAUI,HI,9367.239708584
2019,HAWAII,HI,13000.282151831001
2019,HONOLULU,HI,77963.748538621
2019,KAUAI,HI,3100.699908501
2019,MAUI,HI,8230.653978279
