year,BUYER_COUNTY,BUYER_STATE,strength
2006,ADAIR,IA,469.070715124
2006,ADAMS,IA,208.238578388
2006,ALLAMAKEE,IA,414.42816195300003
2006,APPANOOSE,IA,1518.075638852
2006,AUDUBON,IA,268.930641243
2006,BENTON,IA,983.065055811
2006,BLACK HAWK,IA,8194.483952123
2006,BOONE,IA,1818.938460743
2006,BREMER,IA,1428.795666753
2006,BUCHANAN,IA,576.8646723530001
2006,BUENA VISTA,IA,536.442998179
2006,BUTLER,IA,430.950701465
2006,CALHOUN,IA,400.868338944
2006,CARROLL,IA,1414.988477656
2006,CASS,IA,909.8498734110001
2006,CEDAR,IA,404.131004007
2006,CERRO GORDO,IA,5165.253632683
2006,CHEROKEE,IA,418.241460996
2006,CHICKASAW,IA,442.213236694
2006,CLARKE,IA,812.94216656
2006,CLAY,IA,737.759415662
2006,CLAYTON,IA,655.507531727
2006,CLINTON,IA,3151.321799293
2006,CRAWFORD,IA,714.063543468
2006,DALLAS,IA,1765.178816296
2006,DAVIS,IA,269.915880832
2006,DECATUR,IA,537.524676383
2006,DELAWARE,IA,392.865601909
2006,DES MOINES,IA,3252.0803492190003
2006,DICKINSON,IA,923.506348405
2006,DUBUQUE,IA,4913.907752621
2006,EMMET,IA,359.155493574
2006,FAYETTE,IA,1310.231372921
2006,FLOYD,IA,691.096584321
2006,FRANKLIN,IA,3180.76324216
2006,FREMONT,IA,397.406124804
2006,GREENE,IA,457.118440822
2006,GRUNDY,IA,914.364248376
2006,GUTHRIE,IA,476.066587224
2006,HAMILTON,IA,790.178714711
2006,HANCOCK,IA,351.302020912
2006,HARDIN,IA,1152.884913726
2006,HARRISON,IA,1492.81211614
2006,HENRY,IA,1171.9215245990001
2006,HOWARD,IA,571.305132035
2006,HUMBOLDT,IA,429.861820637
2006,IDA,IA,535.845888685
2006,IOWA,IA,615.2930888010001
2006,JACKSON,IA,1054.99646641
2006,JASPER,IA,3292.872336841
2006,JEFFERSON,IA,1477.565060808
2006,JOHNSON,IA,4632.751666864
2006,JONES,IA,866.749085609
2006,KEOKUK,IA,204.736335551
2006,KOSSUTH,IA,793.947606544
2006,LEE,IA,2950.389356707
2006,LINN,IA,12636.379277514001
2006,LOUISA,IA,232.92240847000002
2006,LUCAS,IA,33746.748385828
2006,LYON,IA,401.68093131
2006,MADISON,IA,1120.614885841
2006,MAHASKA,IA,2473.352152758
2006,MARION,IA,3028.709433269
2006,MARSHALL,IA,3215.465482554
2006,MILLS,IA,618.973021915
2006,MITCHELL,IA,302.444378919
2006,MONONA,IA,628.903240428
2006,MONROE,IA,766.971226393
2006,MONTGOMERY,IA,904.910781109
2006,MUSCATINE,IA,2557.367417319
2006,OBRIEN,IA,404.08440077200004
2006,OSCEOLA,IA,424.01692508
2006,PAGE,IA,1276.309890356
2006,PALO ALTO,IA,345.357125037
2006,PLYMOUTH,IA,684.956820392
2006,POCAHONTAS,IA,190.521420245
2006,POLK,IA,45345.211767216
2006,POTTAWATTAMIE,IA,8772.228886078
2006,POWESHIEK,IA,1330.9865858140001
2006,RINGGOLD,IA,367.810599332
2006,SAC,IA,183.831747868
2006,SCOTT,IA,12702.747212732
2006,SHELBY,IA,541.217820523
2006,SIOUX,IA,846.310506977
2006,STORY,IA,3119.871293099
2006,TAMA,IA,754.901538989
2006,TAYLOR,IA,311.576170064
2006,UNION,IA,1248.628965487
2006,VAN BUREN,IA,270.890328692
2006,WAPELLO,IA,3282.371133785
2006,WARREN,IA,2492.2093640870003
2006,WASHINGTON,IA,885.0592644010001
2006,WAYNE,IA,390.213540802
2006,WEBSTER,IA,3052.08041912
2006,WINNEBAGO,IA,1029.700838384
2006,WINNESHIEK,IA,466.497127797
2006,WOODBURY,IA,5459.699687349
2006,WORTH,IA,124.01383336800001
2006,WRIGHT,IA,839.596616993
2007,ADAIR,IA,524.514892311
2007,ADAMS,IA,255.943118555
2007,ALLAMAKEE,IA,553.834933453
2007,APPANOOSE,IA,1560.7809887990002
2007,AUDUBON,IA,277.491008191
2007,BENTON,IA,1171.808797877
2007,BLACK HAWK,IA,8966.403308626
2007,BOONE,IA,2097.640394808
2007,BREMER,IA,1684.135178173
2007,BUCHANAN,IA,669.1188012490001
2007,BUENA VISTA,IA,678.317751162
2007,BUTLER,IA,413.623671737
2007,CALHOUN,IA,437.615684987
2007,CARROLL,IA,1622.0999871430001
2007,CASS,IA,994.42498662
2007,CEDAR,IA,463.93101392
2007,CERRO GORDO,IA,5703.806845899
2007,CHEROKEE,IA,468.122061854
2007,CHICKASAW,IA,358.416735653
2007,CLARKE,IA,900.993497818
2007,CLAY,IA,903.291387953
2007,CLAYTON,IA,814.678341025
2007,CLINTON,IA,3309.196458519
2007,CRAWFORD,IA,810.314890383
2007,DALLAS,IA,2023.3227734480001
2007,DAVIS,IA,325.347388616
2007,DECATUR,IA,599.076201018
2007,DELAWARE,IA,488.705159652
2007,DES MOINES,IA,3678.0514086880003
2007,DICKINSON,IA,1155.1369847390001
2007,DUBUQUE,IA,5347.694156808
2007,EMMET,IA,435.461865713
2007,FAYETTE,IA,1569.989031311
2007,FLOYD,IA,711.053347075
2007,FRANKLIN,IA,592.060218504
2007,FREMONT,IA,652.9503910450001
2007,GREENE,IA,574.865874752
2007,GRUNDY,IA,1022.962778123
2007,GUTHRIE,IA,676.2160483920001
2007,HAMILTON,IA,979.6052762620001
2007,HANCOCK,IA,417.837144756
2007,HARDIN,IA,1305.836670442
2007,HARRISON,IA,1530.9177975970001
2007,HENRY,IA,1336.47749353
2007,HOWARD,IA,608.493052052
2007,HUMBOLDT,IA,466.77284253100004
2007,IDA,IA,594.672710781
2007,IOWA,IA,710.050597867
2007,JACKSON,IA,1004.453160697
2007,JASPER,IA,3777.061308231
2007,JEFFERSON,IA,1782.012986794
2007,JOHNSON,IA,6055.736480513
2007,JONES,IA,912.223598466
2007,KEOKUK,IA,221.171705855
2007,KOSSUTH,IA,913.810937608
2007,LEE,IA,3385.441765956
2007,LINN,IA,14491.200967715
2007,LOUISA,IA,245.666229915
2007,LUCAS,IA,48756.759832097
2007,LYON,IA,485.869315421
2007,MADISON,IA,1190.327683823
2007,MAHASKA,IA,2569.485208977
2007,MARION,IA,3263.24149797
2007,MARSHALL,IA,3587.843886211
2007,MILLS,IA,622.8877172580001
2007,MITCHELL,IA,315.894315749
2007,MONONA,IA,766.145018077
2007,MONROE,IA,825.786480458
2007,MONTGOMERY,IA,900.70193162
2007,MUSCATINE,IA,2601.847468166
2007,OBRIEN,IA,500.568953839
2007,OSCEOLA,IA,371.007673762
2007,PAGE,IA,1424.013506583
2007,PALO ALTO,IA,354.17362736300004
2007,PLYMOUTH,IA,722.903993645
2007,POCAHONTAS,IA,244.662199496
2007,POLK,IA,52100.716439437
2007,POTTAWATTAMIE,IA,8425.117608693
2007,POWESHIEK,IA,1501.052457753
2007,RINGGOLD,IA,364.894419758
2007,SAC,IA,215.95490952900002
2007,SCOTT,IA,14155.082321136
2007,SHELBY,IA,711.327899719
2007,SIOUX,IA,912.733426774
2007,STORY,IA,3739.6234170750004
2007,TAMA,IA,684.837675733
2007,TAYLOR,IA,368.657413414
2007,UNION,IA,1539.236866385
2007,VAN BUREN,IA,329.031440364
2007,WAPELLO,IA,3649.066347739
2007,WARREN,IA,3097.619915378
2007,WASHINGTON,IA,936.8842362380001
