year,BUYER_COUNTY,BUYER_STATE,strength
2006,ADAMS,IN,1677.995933934
2006,ALLEN,IN,23814.034117406
2006,BARTHOLOMEW,IN,15016.138440208
2006,BENTON,IN,388.724156619
2006,BLACKFORD,IN,2793.838240198
2006,BOONE,IN,5034.535000149
2006,BROWN,IN,997.99325972
2006,CARROLL,IN,1128.355263976
2006,CASS,IN,2809.760998378
2006,CLARK,IN,22564.466883887
2006,CLAY,IN,3203.349447363
2006,CLINTON,IN,3687.973193313
2006,CRAWFORD,IN,939.104756801
2006,DAVIESS,IN,7220.935229045
2006,DE KALB,IN,2101.259608106
2006,DEARBORN,IN,7117.543029055
2006,DECATUR,IN,3575.012097189
2006,DELAWARE,IN,22624.999450296
2006,DUBOIS,IN,7194.808263297
2006,ELKHART,IN,12156.890462577
2006,FAYETTE,IN,8264.009166757
2006,FLOYD,IN,20734.20034486
2006,FOUNTAIN,IN,2815.6902039
2006,FRANKLIN,IN,1161.7830516450001
2006,FULTON,IN,2715.538429876
2006,GIBSON,IN,4371.951214086
2006,GRANT,IN,13614.898973497
2006,GREENE,IN,4138.206977394
2006,HAMILTON,IN,33819.593001809
2006,HANCOCK,IN,6451.376511275
2006,HARRISON,IN,6125.316822584
2006,HENDRICKS,IN,12222.445367006001
2006,HENRY,IN,9932.317410469
2006,HOWARD,IN,18214.574067464
2006,HUNTINGTON,IN,3014.292167265
2006,JACKSON,IN,6504.387016323
2006,JASPER,IN,4710.154784409
2006,JAY,IN,2509.035131168
2006,JEFFERSON,IN,4518.20390564
2006,JENNINGS,IN,4304.936700804
2006,JOHNSON,IN,20009.569876766
2006,KNOX,IN,10375.268164145
2006,KOSCIUSKO,IN,5646.608962337
2006,LA PORTE,IN,12143.707509565
2006,LAGRANGE,IN,884.233203091
2006,LAKE,IN,57953.971432666
2006,LAWRENCE,IN,11171.098500306
2006,MADISON,IN,33797.604386134
2006,MARION,IN,1100025.665051312
2006,MARSHALL,IN,4891.603624348
2006,MARTIN,IN,1924.818411378
2006,MIAMI,IN,2534.196466833
2006,MONROE,IN,19773.043198768
2006,MONTGOMERY,IN,278615.064175629
2006,MORGAN,IN,12417.627172879
2006,NEWTON,IN,755.872649655
2006,NOBLE,IN,2547.049022231
2006,OHIO,IN,670.017852625
2006,ORANGE,IN,2638.3827141790002
2006,OWEN,IN,1957.119135093
2006,PARKE,IN,1082.278984488
2006,PERRY,IN,2033.259089036
2006,PIKE,IN,1711.650884603
2006,PORTER,IN,21348.76481292
2006,POSEY,IN,2966.110187323
2006,PULASKI,IN,1231.417585087
2006,PUTNAM,IN,3523.978618987
2006,RANDOLPH,IN,2549.410462543
2006,RIPLEY,IN,3587.561941334
2006,RUSH,IN,2287.217137605
2006,SCOTT,IN,7852.030750739
2006,SHELBY,IN,4274.504231085
2006,SPENCER,IN,2213.520390112
2006,ST JOSEPH,IN,21386.801006412
2006,STARKE,IN,3762.447425188
2006,STEUBEN,IN,1791.460319551
2006,SULLIVAN,IN,3325.985275953
2006,SWITZERLAND,IN,766.711129945
2006,TIPPECANOE,IN,15112.941283461
2006,TIPTON,IN,1351.249812211
2006,UNION,IN,565.276690583
2006,VANDERBURGH,IN,36448.282013775
2006,VERMILLION,IN,1941.693149796
2006,VIGO,IN,17416.715001077
2006,WABASH,IN,5397.37029767
2006,WARREN,IN,14.981300135
2006,WARRICK,IN,5579.492899719
2006,WASHINGTON,IN,3517.795576292
2006,WAYNE,IN,11766.123064348
2006,WELLS,IN,412259.338905618
2006,WHITE,IN,2373.095686945
2006,WHITLEY,IN,2644.867997075
2007,ADAMS,IN,2021.630124551
2007,ALLEN,IN,29251.900205141
2007,BARTHOLOMEW,IN,17724.132200996
2007,BENTON,IN,343.943921734
2007,BLACKFORD,IN,3133.2720286979998
2007,BOONE,IN,6240.88061597
2007,BROWN,IN,1392.008678713
2007,CARROLL,IN,1361.433060756
2007,CASS,IN,3462.099015713
2007,CLARK,IN,26552.519996547002
2007,CLAY,IN,4176.502764486
2007,CLINTON,IN,5051.852659169
2007,CRAWFORD,IN,1427.593745726
2007,DAVIESS,IN,8511.26959725
2007,DE KALB,IN,2570.921859445
2007,DEARBORN,IN,9404.261437793
2007,DECATUR,IN,4041.90615965
2007,DELAWARE,IN,25588.966434091002
2007,DUBOIS,IN,8419.3174256
2007,ELKHART,IN,14955.367273445
2007,FAYETTE,IN,8511.42272381
2007,FLOYD,IN,24371.067480649
2007,FOUNTAIN,IN,4252.972861611
2007,FRANKLIN,IN,1543.615947056
2007,FULTON,IN,3187.179502563
2007,GIBSON,IN,5625.130261972
2007,GRANT,IN,16588.929540579
2007,GREENE,IN,5140.14687693
2007,HAMILTON,IN,25589.531889542
2007,HANCOCK,IN,8019.989945322
2007,HARRISON,IN,6565.735662156
2007,HENDRICKS,IN,15954.217014447
2007,HENRY,IN,11693.989608567
2007,HOWARD,IN,21165.65804893
2007,HUNTINGTON,IN,3842.284475499
2007,JACKSON,IN,7750.669260998
2007,JASPER,IN,5930.030988967
2007,JAY,IN,3358.949531612
2007,JEFFERSON,IN,6190.673592162
2007,JENNINGS,IN,5273.262357296
2007,JOHNSON,IN,24552.409064531
2007,KNOX,IN,11709.322293336
2007,KOSCIUSKO,IN,7419.428219118
2007,LA PORTE,IN,14913.708773709
2007,LAGRANGE,IN,1059.572501353
2007,LAKE,IN,66068.021332434
2007,LAWRENCE,IN,13884.689087083
2007,MADISON,IN,42027.589373452
2007,MARION,IN,1178318.785563677
2007,MARSHALL,IN,9185.994318319
2007,MARTIN,IN,1956.656543873
2007,MIAMI,IN,3269.778302391
2007,MONROE,IN,22634.642949577
