year,BUYER_COUNTY,BUYER_STATE,strength
2006,ADAIR,KY,2983.123494963
2006,ALLEN,KY,4564.881313009
2006,ANDERSON,KY,3453.605501776
2006,BALLARD,KY,740.861110991
2006,BARREN,KY,327661.185472509
2006,BATH,KY,1016.883993973
2006,BELL,KY,16719.924677782
2006,BOONE,KY,14739.359634691
2006,BOURBON,KY,3561.254145573
2006,BOYD,KY,15702.889522602
2006,BOYLE,KY,6675.715094761
2006,BRACKEN,KY,969.038419887
2006,BREATHITT,KY,6038.979532332
2006,BRECKINRIDGE,KY,2749.651956281
2006,BULLITT,KY,75736.563521014
2006,BUTLER,KY,3166.866438393
2006,CALDWELL,KY,4729.681991919
2006,CALLOWAY,KY,80532.617295203
2006,CAMPBELL,KY,9898.65459983
2006,CARLISLE,KY,455.570514526
2006,CARROLL,KY,1725.112915788
2006,CARTER,KY,4291.407068695
2006,CASEY,KY,1393.470008933
2006,CHRISTIAN,KY,13039.812179452
2006,CLARK,KY,10674.373559511001
2006,CLAY,KY,11346.102049438
2006,CLINTON,KY,4942.410088407
2006,CRITTENDEN,KY,5017.748705303
2006,CUMBERLAND,KY,2025.088349002
2006,DAVIESS,KY,16478.421787623
2006,EDMONSON,KY,1745.162690072
2006,ELLIOTT,KY,712.48816771
2006,ESTILL,KY,1835.520329191
2006,FAYETTE,KY,43422.060071775
2006,FLEMING,KY,2021.298434671
2006,FLOYD,KY,17653.160730138
2006,FRANKLIN,KY,6650.502906168
2006,FULTON,KY,2650.860936075
2006,GALLATIN,KY,680.772674865
2006,GARRARD,KY,2660.461150584
2006,GRANT,KY,5737.907768742
2006,GRAVES,KY,6956.663469613
2006,GRAYSON,KY,7644.59952545
2006,GREEN,KY,1840.387235226
2006,GREENUP,KY,7336.606139216
2006,HANCOCK,KY,340.53692384100003
2006,HARDIN,KY,10247.122472087
2006,HARLAN,KY,9398.645757057
2006,HARRISON,KY,2184.962092519
2006,HART,KY,1809.931070295
2006,HENDERSON,KY,11961.109272984
2006,HENRY,KY,1391.110437845
2006,HICKMAN,KY,537.757149891
2006,HOPKINS,KY,13513.085338217
2006,JACKSON,KY,2039.9507657660001
2006,JEFFERSON,KY,140585.06335378
2006,JESSAMINE,KY,6574.625684453
2006,JOHNSON,KY,16659.943068153
2006,KENTON,KY,17804.039069019
2006,KNOTT,KY,1431.316897184
2006,KNOX,KY,7403.734305576
2006,LARUE,KY,1763.181074183
2006,LAUREL,KY,14413.121635072
2006,LAWRENCE,KY,7487.689368399
2006,LEE,KY,3632.823287711
2006,LESLIE,KY,3590.996066358
2006,LETCHER,KY,7184.860076915
2006,LEWIS,KY,2298.3056628120003
2006,LINCOLN,KY,3200.380272499
2006,LIVINGSTON,KY,2754.614515114
2006,LOGAN,KY,3528.374018271
2006,LYON,KY,2300.76779193
2006,MADISON,KY,11028.289984335
2006,MAGOFFIN,KY,1694.639460316
2006,MARION,KY,2650.4172971030002
2006,MARSHALL,KY,6620.894788183
2006,MARTIN,KY,2549.473865738
2006,MASON,KY,2467.045682779
2006,MCCRACKEN,KY,201142.944524255
2006,MCCREARY,KY,3174.697730458
2006,MCLEAN,KY,531.773113232
2006,MEADE,KY,2187.86947671
2006,MENIFEE,KY,709.730683477
2006,MERCER,KY,2544.33529992
2006,METCALFE,KY,973.713519281
2006,MONROE,KY,6445.876512786
2006,MONTGOMERY,KY,6004.561474702
2006,MORGAN,KY,1749.447886663
2006,MUHLENBERG,KY,9224.38074907
2006,NELSON,KY,5063.277196104
2006,NICHOLAS,KY,792.315627264
2006,OHIO,KY,5508.16076203
2006,OLDHAM,KY,5287.181718331
2006,OWEN,KY,972.584797903
2006,OWSLEY,KY,1463.235787347
2006,PENDLETON,KY,842.532904978
2006,PERRY,KY,15770.660541969999
2006,PIKE,KY,46492.986951813
2006,POWELL,KY,2638.581813442
2006,PULASKI,KY,13596.812451911
2006,ROCKCASTLE,KY,4617.012141859
2006,ROWAN,KY,3928.209887666
2006,RUSSELL,KY,5238.371186933
2006,SCOTT,KY,5985.577876471
2006,SHELBY,KY,102036.136308378
2006,SIMPSON,KY,4515.513435963
2006,SPENCER,KY,1363.477537465
2006,TAYLOR,KY,4025.298326978
2006,TODD,KY,1386.405575972
2006,TRIGG,KY,2124.380315721
2006,TRIMBLE,KY,395.435353517
2006,UNION,KY,4212.506392437
2006,WARREN,KY,17047.914523018
2006,WASHINGTON,KY,768.19448487
2006,WAYNE,KY,4459.555032837
2006,WEBSTER,KY,3051.394105977
2006,WHITLEY,KY,22554.209054558
2006,WOLFE,KY,1849.706854342
2006,WOODFORD,KY,2144.244568072
2007,ADAIR,KY,2999.869394811
2007,ALLEN,KY,6009.794952035
2007,ANDERSON,KY,4248.247610259
2007,BALLARD,KY,943.019098363
2007,BARREN,KY,307110.697322393
2007,BATH,KY,1150.384263827
2007,BELL,KY,18884.616909674998
2007,BOONE,KY,17486.177078156
2007,BOURBON,KY,3169.207192842
2007,BOYD,KY,13852.563130126
2007,BOYLE,KY,8084.846285932
2007,BRACKEN,KY,780.03534784
2007,BREATHITT,KY,6335.8276712530005
2007,BRECKINRIDGE,KY,2911.1003461
2007,BULLITT,KY,157403.958973796
2007,BUTLER,KY,3796.527600288
2007,CALDWELL,KY,4557.769743396
2007,CALLOWAY,KY,81079.80086847
2007,CAMPBELL,KY,11539.896383239
2007,CARLISLE,KY,633.619174902
2007,CARROLL,KY,2468.417369294
2007,CARTER,KY,3649.828458969
2007,CASEY,KY,1835.169926822
2007,CHRISTIAN,KY,15364.074383748999
2007,CLARK,KY,9253.897167171
2007,CLAY,KY,11857.0903205
2007,CLINTON,KY,5126.518987624
2007,CRITTENDEN,KY,4844.218398018
2007,CUMBERLAND,KY,2062.337607211
2007,DAVIESS,KY,19096.347440091
2007,EDMONSON,KY,1536.429333044
2007,ELLIOTT,KY,674.244718643
2007,ESTILL,KY,2500.312081362
2007,FAYETTE,KY,44364.384001644
2007,FLEMING,KY,2414.862913515
2007,FLOYD,KY,20769.990949842
2007,FRANKLIN,KY,7839.893876716
2007,FULTON,KY,3093.542180967
2007,GALLATIN,KY,764.26200445
2007,GARRARD,KY,2199.235924597
2007,GRANT,KY,6287.262923599
2007,GRAVES,KY,8034.241375388
2007,GRAYSON,KY,7901.87939014
2007,GREEN,KY,1739.843641159
2007,GREENUP,KY,7308.663427875
2007,HANCOCK,KY,486.178605138
2007,HARDIN,KY,11763.426184822
2007,HARLAN,KY,11834.918359185
2007,HARRISON,KY,2371.585922692
2007,HART,KY,2074.166988469
2007,HENDERSON,KY,12079.816184199
2007,HENRY,KY,2178.595488471
2007,HICKMAN,KY,486.149927752
2007,HOPKINS,KY,15616.121638315
2007,JACKSON,KY,2205.724307996
2007,JEFFERSON,KY,319630.081833799
2007,JESSAMINE,KY,8093.819318399
2007,JOHNSON,KY,15794.925577229
2007,KENTON,KY,19142.399527236
2007,KNOTT,KY,1928.675556418
2007,KNOX,KY,7928.833643266
2007,LARUE,KY,1790.316774169
2007,LAUREL,KY,14913.060631994
2007,LAWRENCE,KY,7130.475520138
2007,LEE,KY,3854.737466025
2007,LESLIE,KY,4302.549190742
2007,LETCHER,KY,7525.326646453
2007,LEWIS,KY,2152.417267195
2007,LINCOLN,KY,3549.808043831
2007,LIVINGSTON,KY,3324.702365752
2007,LOGAN,KY,4063.365989536
2007,LYON,KY,2321.421065216
2007,MADISON,KY,12326.338062035
2007,MAGOFFIN,KY,2046.329847048
2007,MARION,KY,3331.267493188
2007,MARSHALL,KY,7444.726436919
2007,MARTIN,KY,2680.30522858
2007,MASON,KY,2669.589164653
2007,MCCRACKEN,KY,267684.404019022
2007,MCCREARY,KY,3704.888670361
2007,MCLEAN,KY,741.074729875
2007,MEADE,KY,2533.952069028
2007,MENIFEE,KY,864.065725574
2007,MERCER,KY,3254.521477828
