year,BUYER_COUNTY,BUYER_STATE,strength
2006,ACADIA,LA,9470.066054999
2006,ALLEN,LA,4818.384371274
2006,ASCENSION,LA,54520.943459409
2006,ASSUMPTION,LA,904.235777628
2006,AVOYELLES,LA,6575.0978820850005
2006,BEAUREGARD,LA,3242.94805548
2006,BIENVILLE,LA,1230.609596212
2006,BOSSIER,LA,13603.153974584
2006,CADDO,LA,584995.69987717
2006,CALCASIEU,LA,30982.406129887
2006,CALDWELL,LA,2176.776912685
2006,CAMERON,LA,0.1215432
2006,CATAHOULA,LA,1898.052975636
2006,CLAIBORNE,LA,3257.622885923
2006,CONCORDIA,LA,2612.337692657
2006,DE SOTO,LA,2173.826702683
2006,EAST BATON ROUGE,LA,75672.694549338
2006,EAST CARROLL,LA,617.714493104
2006,EAST FELICIANA,LA,1841.566667779
2006,EVANGELINE,LA,9579.797192383001
2006,FRANKLIN,LA,2575.558133802
2006,GRANT,LA,782.072253659
2006,IBERIA,LA,11469.290704436
2006,IBERVILLE,LA,5055.211212028
2006,JACKSON,LA,1913.1704502950001
2006,JEFFERSON,LA,177309.23533824598
2006,JEFFERSON DAVIS,LA,7673.76403334
2006,LA SALLE,LA,2222.336606788
2006,LAFAYETTE,LA,63493.84990976
2006,LAFOURCHE,LA,16320.178589451
2006,LINCOLN,LA,4507.396513255
2006,LIVINGSTON,LA,23955.206589598
2006,MADISON,LA,1045.186931395
2006,MOREHOUSE,LA,3408.796162646
2006,NATCHITOCHES,LA,3876.214772494
2006,ORLEANS,LA,15873.578489
2006,OUACHITA,LA,35504.002161795
2006,PLAQUEMINES,LA,481.989971754
2006,POINTE COUPEE,LA,2535.025528868
2006,RAPIDES,LA,23669.796804012
2006,RED RIVER,LA,1456.34965837
2006,RICHLAND,LA,2927.925690827
2006,SABINE,LA,3429.623352832
2006,SAINT BERNARD,LA,4648.059030383
2006,SAINT CHARLES,LA,53938.505393144
2006,SAINT HELENA,LA,507.522233387
2006,SAINT JAMES,LA,1521.426260658
2006,SAINT LANDRY,LA,92824.048908948
2006,SAINT MARTIN,LA,6471.917137754001
2006,SAINT MARY,LA,9485.35034087
2006,SAINT TAMMANY,LA,74407.656287623
2006,ST JOHN THE BAPTIST,LA,4719.764859489
2006,TANGIPAHOA,LA,26064.062106096
2006,TENSAS,LA,259.455344065
2006,TERREBONNE,LA,15467.337268929
2006,UNION,LA,1649.630697281
2006,VERMILION,LA,7739.705221262
2006,VERNON,LA,4422.685248851
2006,WASHINGTON,LA,10165.304812456001
2006,WEBSTER,LA,6534.269486809
2006,WEST BATON ROUGE,LA,3718.663976012
2006,WEST CARROLL,LA,1113.3186278990001
2006,WEST FELICIANA,LA,775.847437413
2006,WINN,LA,2455.78341081
2007,ACADIA,LA,10495.951220424
2007,ALLEN,LA,5336.352632444
2007,ASCENSION,LA,24325.404196015
2007,ASSUMPTION,LA,1099.850677043
2007,AVOYELLES,LA,7327.820534705
2007,BEAUREGARD,LA,3607.428164546
2007,BIENVILLE,LA,1331.420516695
2007,BOSSIER,LA,14689.747719498
2007,CADDO,LA,552334.845905288
2007,CALCASIEU,LA,31182.295427519002
2007,CALDWELL,LA,2232.825726362
2007,CAMERON,LA,0.17551283
2007,CATAHOULA,LA,1957.4200459850001
2007,CLAIBORNE,LA,3634.058463266
2007,CONCORDIA,LA,3231.842441024
2007,DE SOTO,LA,2483.9180739880003
2007,EAST BATON ROUGE,LA,85523.816822387
2007,EAST CARROLL,LA,683.145558284
2007,EAST FELICIANA,LA,1925.922529098
2007,EVANGELINE,LA,10738.926505633
2007,FRANKLIN,LA,2818.668715791
2007,GRANT,LA,1026.32462129
2007,IBERIA,LA,13829.449936159
2007,IBERVILLE,LA,5954.223639611
2007,JACKSON,LA,2128.047582251
2007,JEFFERSON,LA,130836.382206904
2007,JEFFERSON DAVIS,LA,8560.942024378
2007,LA SALLE,LA,2844.180755538
2007,LAFAYETTE,LA,69270.150487379
2007,LAFOURCHE,LA,18417.018842214
2007,LINCOLN,LA,5130.112094338
2007,LIVINGSTON,LA,27325.829681839
2007,MADISON,LA,1252.771080683
2007,MOREHOUSE,LA,3722.439428368
2007,NATCHITOCHES,LA,3694.985438696
2007,ORLEANS,LA,32516.947853198
2007,OUACHITA,LA,45429.005943347
2007,PLAQUEMINES,LA,721.162074745
2007,POINTE COUPEE,LA,3001.942268448
2007,RAPIDES,LA,26291.806203247
2007,RED RIVER,LA,1600.979790284
2007,RICHLAND,LA,3406.4926080610003
2007,SABINE,LA,3474.036953241
2007,SAINT BERNARD,LA,8804.91914551
2007,SAINT CHARLES,LA,8192.939585531
2007,SAINT HELENA,LA,638.694625741
2007,SAINT JAMES,LA,1620.388062788
2007,SAINT LANDRY,LA,96503.170191257
2007,SAINT MARTIN,LA,7638.325257821
2007,SAINT MARY,LA,10183.421092532
2007,SAINT TAMMANY,LA,70925.663373546
2007,ST JOHN THE BAPTIST,LA,5139.54798873
2007,TANGIPAHOA,LA,28439.457700707
2007,TENSAS,LA,313.597057832
2007,TERREBONNE,LA,17946.132207479
2007,UNION,LA,2029.987721516
2007,VERMILION,LA,8199.813647951
2007,VERNON,LA,5225.486802883001
2007,WASHINGTON,LA,10448.547806809
2007,WEBSTER,LA,7102.062248092
2007,WEST BATON ROUGE,LA,4649.197578741
2007,WEST CARROLL,LA,1099.6405864800001
2007,WEST FELICIANA,LA,903.699636259
2007,WINN,LA,2195.518776296
2008,ACADIA,LA,10303.137463982
2008,ALLEN,LA,5313.808699107
2008,ASCENSION,LA,22709.934231346
2008,ASSUMPTION,LA,1173.075011254
2008,AVOYELLES,LA,8399.49846309
2008,BEAUREGARD,LA,4081.455620786
2008,BIENVILLE,LA,1324.131826215
2008,BOSSIER,LA,15861.470421279
2008,CADDO,LA,711369.931625623
2008,CALCASIEU,LA,32687.056775304
2008,CALDWELL,LA,2481.221926707
2008,CATAHOULA,LA,2105.999223526
2008,CLAIBORNE,LA,3810.4900097950003
2008,CONCORDIA,LA,3484.19371074
2008,DE SOTO,LA,3218.380737338
2008,EAST BATON ROUGE,LA,89310.76035142501
2008,EAST CARROLL,LA,677.919040261
2008,EAST FELICIANA,LA,2021.486847948
2008,EVANGELINE,LA,12016.931485739
2008,FRANKLIN,LA,2957.419978491
2008,GRANT,LA,925.899217622
2008,IBERIA,LA,15166.313200859
2008,IBERVILLE,LA,6889.227684793
2008,JACKSON,LA,2266.6237543390002
2008,JEFFERSON,LA,112973.720390282
2008,JEFFERSON DAVIS,LA,9747.979558726
2008,LA SALLE,LA,2903.051773154
2008,LAFAYETTE,LA,56932.248698976
2008,LAFOURCHE,LA,18706.701635547
2008,LINCOLN,LA,5642.561344127
2008,LIVINGSTON,LA,31106.104224804
2008,MADISON,LA,1400.314287709
2008,MOREHOUSE,LA,3972.305852652
2008,NATCHITOCHES,LA,3882.5326872160003
2008,ORLEANS,LA,24680.239193287
2008,OUACHITA,LA,53404.378709362
2008,PLAQUEMINES,LA,737.187298328
2008,POINTE COUPEE,LA,3273.087455088
2008,RAPIDES,LA,30066.249869716
2008,RED RIVER,LA,1640.449806369
2008,RICHLAND,LA,3750.246606338
2008,SABINE,LA,10140.427293614
2008,SAINT BERNARD,LA,9157.4379727
2008,SAINT CHARLES,LA,7772.837953233
2008,SAINT HELENA,LA,845.86793258
2008,SAINT JAMES,LA,1605.458763289
2008,SAINT LANDRY,LA,117513.850173478
2008,SAINT MARTIN,LA,9081.186078894
2008,SAINT MARY,LA,11238.120868851
2008,SAINT TAMMANY,LA,64505.754466719
2008,ST JOHN THE BAPTIST,LA,5190.205938258
2008,TANGIPAHOA,LA,28353.959431322
2008,TENSAS,LA,657.4110622950001
2008,TERREBONNE,LA,19611.990742798
2008,UNION,LA,2315.484750946
2008,VERMILION,LA,8675.154154367001
2008,VERNON,LA,6013.656859203
2008,WASHINGTON,LA,9947.751787558
2008,WEBSTER,LA,8696.007928151
2008,WEST BATON ROUGE,LA,4990.665254552
2008,WEST CARROLL,LA,1159.04924102
2008,WEST FELICIANA,LA,940.103306584
2008,WINN,LA,2729.208327996
2009,ACADIA,LA,11733.584837555
2009,ALLEN,LA,5320.606783214
2009,ASCENSION,LA,21330.591889768002
2009,ASSUMPTION,LA,1138.789323521
2009,AVOYELLES,LA,8649.736465509
2009,BEAUREGARD,LA,5434.917114362
2009,BIENVILLE,LA,1302.742049225
2009,BOSSIER,LA,15607.426018729
2009,CADDO,LA,683724.063296075
2009,CALCASIEU,LA,33098.732801276004
2009,CALDWELL,LA,2353.454346204
2009,CAMERON,LA,0.205622474
2009,CATAHOULA,LA,2171.358312886
2009,CLAIBORNE,LA,4283.009388354
2009,CONCORDIA,LA,3391.625990254
2009,DE SOTO,LA,2531.475518235
2009,EAST BATON ROUGE,LA,86615.190516115
2009,EAST CARROLL,LA,887.90328135
2009,EAST FELICIANA,LA,1953.079562203
2009,EVANGELINE,LA,12594.599503944
2009,FRANKLIN,LA,3069.397014831
2009,GRANT,LA,1211.386397436
2009,IBERIA,LA,15354.141928165
2009,IBERVILLE,LA,7098.667371054
2009,JACKSON,LA,2264.62953937
2009,JEFFERSON,LA,97630.780800245
2009,JEFFERSON DAVIS,LA,9430.155270439
2009,LA SALLE,LA,3395.82880878
2009,LAFAYETTE,LA,63828.130765361
2009,LAFOURCHE,LA,18081.69396466
2009,LINCOLN,LA,6660.960157487
2009,LIVINGSTON,LA,31239.64435015
2009,MADISON,LA,1646.605184247
2009,MOREHOUSE,LA,4107.891064177
2009,NATCHITOCHES,LA,4145.075166964
2009,ORLEANS,LA,28781.346714547
2009,OUACHITA,LA,32967.777247933
2009,PLAQUEMINES,LA,807.22281544
2009,POINTE COUPEE,LA,3406.505699255
2009,RAPIDES,LA,31375.807338719
2009,RED RIVER,LA,1863.8558513320002
2009,RICHLAND,LA,3735.980976848
2009,SABINE,LA,4122.721821828
2009,SAINT BERNARD,LA,8538.39962091
2009,SAINT CHARLES,LA,7726.250551463
2009,SAINT HELENA,LA,741.694988622
