year,BUYER_COUNTY,BUYER_STATE,strength
2006,BARNSTABLE,MA,9072.126500466
2006,BERKSHIRE,MA,7033.207569918
2006,BRISTOL,MA,64956.027718317
2006,DUKES,MA,533.219613646
2006,ESSEX,MA,152781.73705296
2006,FRANKLIN,MA,1465.507230835
2006,HAMPDEN,MA,13956.506404470001
2006,HAMPSHIRE,MA,4882.6399715590005
2006,MIDDLESEX,MA,43625.514108046
2006,NANTUCKET,MA,264.572500671
2006,NORFOLK,MA,19484.760497215
2006,PLYMOUTH,MA,16431.530258222
2006,SUFFOLK,MA,16343.442628211
2006,WORCESTER,MA,33157.011707207
2007,BARNSTABLE,MA,10110.709077215
2007,BERKSHIRE,MA,6850.489034438
2007,BRISTOL,MA,60380.198237469
2007,DUKES,MA,539.697910482
2007,ESSEX,MA,162250.705503634
2007,FRANKLIN,MA,1667.159622069
2007,HAMPDEN,MA,16065.211212532
2007,HAMPSHIRE,MA,6015.053079393
2007,MIDDLESEX,MA,46464.85089237
2007,NANTUCKET,MA,301.143070455
2007,NORFOLK,MA,20410.697933368
2007,PLYMOUTH,MA,19337.958835566
2007,SUFFOLK,MA,18170.934168997
2007,WORCESTER,MA,39381.813880141
2008,BARNSTABLE,MA,11019.957481731
2008,BERKSHIRE,MA,7237.104555054
2008,BRISTOL,MA,62570.908832834
2008,DUKES,MA,648.579240281
2008,ESSEX,MA,171618.42487226
2008,FRANKLIN,MA,1906.565442277
2008,HAMPDEN,MA,16436.120098293
2008,HAMPSHIRE,MA,6525.75411198
2008,MIDDLESEX,MA,47086.181565401
2008,NANTUCKET,MA,261.526941868
2008,NORFOLK,MA,21024.247550218
2008,PLYMOUTH,MA,20887.65947548
2008,SUFFOLK,MA,18734.712457379
2008,WORCESTER,MA,44724.80150333
2009,BARNSTABLE,MA,11326.368730765
2009,BERKSHIRE,MA,7087.73929697
2009,BRISTOL,MA,71310.033872878
2009,DUKES,MA,1123.609250168
2009,ESSEX,MA,188007.842522184
2009,FRANKLIN,MA,1984.255911476
2009,HAMPDEN,MA,18063.472205864
2009,HAMPSHIRE,MA,6587.170367249
2009,MIDDLESEX,MA,48697.39984852
2009,NANTUCKET,MA,263.621679314
2009,NORFOLK,MA,21543.053502101
2009,PLYMOUTH,MA,22201.647546419
2009,SUFFOLK,MA,19073.653669127
2009,WORCESTER,MA,44680.307613073
2010,BARNSTABLE,MA,10437.713087878
2010,BERKSHIRE,MA,6268.065181074
2010,BRISTOL,MA,62812.478051656
2010,DUKES,MA,774.031356615
2010,ESSEX,MA,178863.536622792
2010,FRANKLIN,MA,1722.9025628230002
2010,HAMPDEN,MA,17255.3741015
2010,HAMPSHIRE,MA,6098.750910338
2010,MIDDLESEX,MA,45273.333791231
2010,NANTUCKET,MA,240.13524170000002
2010,NORFOLK,MA,19943.655315906
2010,PLYMOUTH,MA,20901.065973947
2010,SUFFOLK,MA,16357.655753518
2010,WORCESTER,MA,41073.290255891
2011,BARNSTABLE,MA,10472.706154699
2011,BERKSHIRE,MA,6273.868152397
2011,BRISTOL,MA,64733.437918606
2011,DUKES,MA,803.87164725
2011,ESSEX,MA,206461.32293922998
2011,FRANKLIN,MA,1794.6408408260002
2011,HAMPDEN,MA,17783.294708881
2011,HAMPSHIRE,MA,5978.090488519
2011,MIDDLESEX,MA,46967.631134724
2011,NANTUCKET,MA,236.175784827
2011,NORFOLK,MA,20914.037637451
2011,PLYMOUTH,MA,21134.347744705
2011,SUFFOLK,MA,15503.477290338
2011,WORCESTER,MA,41025.940583565
2012,BARNSTABLE,MA,9854.008300072
2012,BERKSHIRE,MA,5704.142033794
2012,BRISTOL,MA,60126.970075992
2012,DUKES,MA,719.875283078
2012,ESSEX,MA,202751.127395649
2012,FRANKLIN,MA,1819.051391792
2012,HAMPDEN,MA,17833.603721633
2012,HAMPSHIRE,MA,5499.351344258
2012,MIDDLESEX,MA,43680.810906253
2012,NANTUCKET,MA,235.410915488
2012,NORFOLK,MA,19920.38259002
2012,PLYMOUTH,MA,19992.298095672
2012,SUFFOLK,MA,14317.274728225
2012,WORCESTER,MA,38627.625983307
2013,BARNSTABLE,MA,9245.84060678
2013,BERKSHIRE,MA,5237.436793144
2013,BRISTOL,MA,58458.077919742
2013,DUKES,MA,615.0891440180001
2013,ESSEX,MA,193967.624377366
2013,FRANKLIN,MA,1636.693103225
2013,HAMPDEN,MA,15450.007729265
2013,HAMPSHIRE,MA,5527.721906728
2013,MIDDLESEX,MA,40027.27687695
2013,NANTUCKET,MA,255.911100162
2013,NORFOLK,MA,18482.225595295
2013,PLYMOUTH,MA,18942.243544475
2013,SUFFOLK,MA,13461.792170294
2013,WORCESTER,MA,36396.082634173
2014,BARNSTABLE,MA,8683.932040027
2014,BERKSHIRE,MA,4483.218864024
2014,BRISTOL,MA,185439.864385661
2014,DUKES,MA,485.30137318500005
2014,ESSEX,MA,246871.699545014
2014,FRANKLIN,MA,1418.346448175
2014,HAMPDEN,MA,13819.99786614
2014,HAMPSHIRE,MA,5217.998990533
2014,MIDDLESEX,MA,35506.621897958
2014,NANTUCKET,MA,183.277513984
2014,NORFOLK,MA,16673.230258177
2014,PLYMOUTH,MA,22044.758230776002
2014,SUFFOLK,MA,11801.522002925
2014,WORCESTER,MA,33529.868561084004
2015,BARNSTABLE,MA,6737.047813604
2015,BERKSHIRE,MA,3694.054048197
2015,BRISTOL,MA,161983.673286905
2015,DUKES,MA,295.41974479500004
2015,ESSEX,MA,351878.140768928
2015,FRANKLIN,MA,1170.125122203
2015,HAMPDEN,MA,11139.681701787
2015,HAMPSHIRE,MA,4842.270371552
2015,MIDDLESEX,MA,28458.5590582
2015,NANTUCKET,MA,178.68952569500001
2015,NORFOLK,MA,14076.192026985
2015,PLYMOUTH,MA,13137.824182417
2015,SUFFOLK,MA,8801.460038506
2015,WORCESTER,MA,27408.230033272
2016,BARNSTABLE,MA,5528.460771701
