year,BUYER_COUNTY,BUYER_STATE,strength
2006,ALLEGANY,MD,8321.418617021
2006,ANNE ARUNDEL,MD,25227.046379538002
2006,BALTIMORE,MD,232990.485200241
2006,BALTIMORE CITY,MD,52844.449677296
2006,CALVERT,MD,4072.850050326
2006,CAROLINE,MD,1085.105557092
2006,CARROLL,MD,13074.28853197
2006,CECIL,MD,5917.716848591001
2006,CHARLES,MD,7612.296319219
2006,DORCHESTER,MD,1065.024315655
2006,FREDERICK,MD,9404.236762457
2006,GARRETT,MD,1723.7189435750001
2006,HARFORD,MD,753969.71454225
2006,HOWARD,MD,188520.401587245
2006,KENT,MD,1376.456805481
2006,MONTGOMERY,MD,22145.570448733
2006,PRINCE GEORGES,MD,129104.17048817
2006,QUEEN ANNES,MD,2104.146985542
2006,SAINT MARYS,MD,5573.413341918
2006,SOMERSET,MD,692.453703487
2006,TALBOT,MD,2040.188212013
2006,WASHINGTON,MD,243269.626080557
2006,WICOMICO,MD,4993.030263372
2006,WORCESTER,MD,3375.347203369
2007,ALLEGANY,MD,9370.950703591001
2007,ANNE ARUNDEL,MD,26453.443474641
2007,BALTIMORE,MD,326324.18601545
2007,BALTIMORE CITY,MD,17809.318356941
2007,CALVERT,MD,4787.431152465
2007,CAROLINE,MD,1244.175268976
2007,CARROLL,MD,7890.785623624
2007,CECIL,MD,5745.32949291
2007,CHARLES,MD,8143.944648145
2007,DORCHESTER,MD,1122.819112514
2007,FREDERICK,MD,10316.271660742
2007,GARRETT,MD,2105.332256243
2007,HARFORD,MD,820923.148640547
2007,HOWARD,MD,100242.640112137
2007,KENT,MD,1476.5004878940001
2007,MONTGOMERY,MD,52758.457268392
2007,PRINCE GEORGES,MD,137877.935829439
2007,QUEEN ANNES,MD,2416.580055663
2007,SAINT MARYS,MD,6361.449889783
2007,SOMERSET,MD,733.169389259
2007,TALBOT,MD,1987.673636247
2007,WASHINGTON,MD,251444.312860101
2007,WICOMICO,MD,5584.775994784
2007,WORCESTER,MD,3857.0977199500003
2008,ALLEGANY,MD,10086.850218619
2008,ANNE ARUNDEL,MD,26970.351730143
2008,BALTIMORE,MD,413800.626019024
2008,BALTIMORE CITY,MD,18551.768198976
2008,CALVERT,MD,5174.048763015
2008,CAROLINE,MD,1174.009821495
2008,CARROLL,MD,8515.889058325
2008,CECIL,MD,7356.367080786
2008,CHARLES,MD,8299.508431101
2008,DORCHESTER,MD,1238.8639839
2008,FREDERICK,MD,11184.410398136
2008,GARRETT,MD,2284.840530882
2008,HARFORD,MD,839280.907751387
2008,HOWARD,MD,14607.68197368
2008,KENT,MD,1572.707866896
2008,MONTGOMERY,MD,25135.308108295
2008,PRINCE GEORGES,MD,145164.72862689898
2008,QUEEN ANNES,MD,2716.2432169500003
2008,SAINT MARYS,MD,6292.3300189560005
2008,SOMERSET,MD,745.999187798
2008,TALBOT,MD,2176.586936094
2008,WASHINGTON,MD,371580.024224883
2008,WICOMICO,MD,5854.14082087
2008,WORCESTER,MD,4342.96832953
2009,ALLEGANY,MD,10803.542220399
2009,ANNE ARUNDEL,MD,28072.902647447
2009,BALTIMORE,MD,144584.178338809
2009,BALTIMORE CITY,MD,111328312.99254556
2009,CALVERT,MD,5493.476369429
2009,CAROLINE,MD,1268.480461055
2009,CARROLL,MD,8321.754553722
2009,CECIL,MD,6182.684226877001
2009,CHARLES,MD,8224.45429308
2009,DORCHESTER,MD,1159.9317641760001
2009,FREDERICK,MD,13576.799106247001
2009,GARRETT,MD,2554.84686716
2009,HARFORD,MD,766615.878634803
2009,HOWARD,MD,12192.760458733
2009,KENT,MD,1724.339843002
2009,MONTGOMERY,MD,25274.191382585
2009,PRINCE GEORGES,MD,153820.55494239
2009,QUEEN ANNES,MD,2747.069488231
2009,SAINT MARYS,MD,5811.835753422
2009,SOMERSET,MD,762.495952944
2009,TALBOT,MD,2065.183664901
2009,WASHINGTON,MD,335042.635657838
2009,WICOMICO,MD,6043.063147214
2009,WORCESTER,MD,4418.625278795
2010,ALLEGANY,MD,10807.196470941
2010,ANNE ARUNDEL,MD,27400.778878823
2010,BALTIMORE,MD,141820.124887681
2010,BALTIMORE CITY,MD,16286.049639406001
2010,CALVERT,MD,5435.380616733
2010,CAROLINE,MD,1160.2216162270001
2010,CARROLL,MD,8289.613239999
2010,CECIL,MD,5072.504656661
2010,CHARLES,MD,7960.790908171
2010,DORCHESTER,MD,1088.495771741
2010,FREDERICK,MD,11431.127206599
2010,GARRETT,MD,2886.125620285
2010,HARFORD,MD,689418.963772704
2010,HOWARD,MD,10161.290650803001
2010,KENT,MD,1659.76101595
2010,MONTGOMERY,MD,25022.953977723002
2010,PRINCE GEORGES,MD,144227.208913746
2010,QUEEN ANNES,MD,2567.0176424260003
2010,SAINT MARYS,MD,5378.804513377
2010,SOMERSET,MD,798.9568944050001
2010,TALBOT,MD,2109.9837823880002
2010,WASHINGTON,MD,373860.075798107
2010,WICOMICO,MD,7890.846067986
2010,WORCESTER,MD,4378.026434614
2011,ALLEGANY,MD,11898.243426615001
2011,ANNE ARUNDEL,MD,29045.646408014
2011,BALTIMORE,MD,145528.77121884
2011,BALTIMORE CITY,MD,17313.396893197
2011,CALVERT,MD,5338.482822828
2011,CAROLINE,MD,1258.8062764200001
2011,CARROLL,MD,8788.180870315
2011,CECIL,MD,4880.358266494
2011,CHARLES,MD,8074.625232034
2011,DORCHESTER,MD,1304.3171311170001
2011,FREDERICK,MD,12290.201111909
2011,GARRETT,MD,3567.649074087
2011,HARFORD,MD,871131.359098947
2011,HOWARD,MD,10379.636351125
2011,KENT,MD,1881.98229754
2011,MONTGOMERY,MD,25252.793516413
2011,PRINCE GEORGES,MD,159858.844237434
2011,QUEEN ANNES,MD,2713.060562508
2011,SAINT MARYS,MD,5365.402110361
2011,SOMERSET,MD,940.864992209
2011,TALBOT,MD,2675.719557343
2011,WASHINGTON,MD,442396.661242904
2011,WICOMICO,MD,6505.296125203
2011,WORCESTER,MD,4561.347583993
2012,ALLEGANY,MD,11723.451103903
2012,ANNE ARUNDEL,MD,26649.218343956
2012,BALTIMORE,MD,120337.078894469
2012,BALTIMORE CITY,MD,15308.927740029001
2012,CALVERT,MD,5072.365927186001
2012,CAROLINE,MD,1312.37101131
2012,CARROLL,MD,8297.370789665
2012,CECIL,MD,4250.559940465
2012,CHARLES,MD,7806.064532634
2012,DORCHESTER,MD,1271.163455656
2012,FREDERICK,MD,12031.11824122
2012,GARRETT,MD,3590.705535845
2012,HARFORD,MD,962161.002054731
2012,HOWARD,MD,9903.872244191
2012,KENT,MD,1824.955769294
2012,MONTGOMERY,MD,24042.781890667
2012,PRINCE GEORGES,MD,45371.821595327
2012,QUEEN ANNES,MD,2621.557593784
2012,SAINT MARYS,MD,5424.660454029
2012,SOMERSET,MD,881.874970897
2012,TALBOT,MD,2396.333913191
2012,WASHINGTON,MD,360474.568049776
2012,WICOMICO,MD,5903.612979925
2012,WORCESTER,MD,3999.5675978550003
2013,ALLEGANY,MD,10906.402594276
2013,ANNE ARUNDEL,MD,26108.723070888
2013,BALTIMORE,MD,122982.955587842
2013,BALTIMORE CITY,MD,14723.132965718001
2013,CALVERT,MD,4748.485869256
2013,CAROLINE,MD,1130.838776331
2013,CARROLL,MD,10133.266622944
2013,CECIL,MD,3813.4198270790002
2013,CHARLES,MD,7449.669183849001
2013,DORCHESTER,MD,1269.097197447
2013,FREDERICK,MD,12892.681689813
2013,GARRETT,MD,3079.844992532
2013,HARFORD,MD,963868.310647841
2013,HOWARD,MD,15191.043608562
2013,KENT,MD,1782.362031113
2013,MONTGOMERY,MD,22805.241176147
2013,PRINCE GEORGES,MD,21362.354390665
2013,QUEEN ANNES,MD,2277.099111315
2013,SAINT MARYS,MD,5137.152187821001
2013,SOMERSET,MD,733.558448094
2013,TALBOT,MD,2147.20715453
2013,WASHINGTON,MD,369422.238384008
2013,WICOMICO,MD,5559.827537401
2013,WORCESTER,MD,3892.9870636
2014,ALLEGANY,MD,10677.766536587
2014,ANNE ARUNDEL,MD,23678.035418995
2014,BALTIMORE,MD,92161.012154339
2014,BALTIMORE CITY,MD,13422.437744422
2014,CALVERT,MD,4408.794627663
2014,CAROLINE,MD,1010.401510687
2014,CARROLL,MD,19062.154107422
2014,CECIL,MD,3753.9063890760003
2014,CHARLES,MD,7112.943057777
2014,DORCHESTER,MD,1115.923276025
2014,FREDERICK,MD,12501.101528467001
2014,GARRETT,MD,3075.474169084
