year,BUYER_COUNTY,BUYER_STATE,strength
2006,ANDROSCOGGIN,ME,7235.606889215001
2006,AROOSTOOK,ME,7332.329192979
2006,CUMBERLAND,ME,16417.310113706
2006,FRANKLIN,ME,1966.896250733
2006,HANCOCK,ME,4361.142878074
2006,KENNEBEC,ME,14980.613612177
2006,KNOX,ME,3954.524857513
2006,LINCOLN,ME,2789.143875196
2006,OXFORD,ME,3301.308104261
2006,PENOBSCOT,ME,19435.294325883002
2006,PISCATAQUIS,ME,1419.60582434
2006,SAGADAHOC,ME,2070.196592801
2006,SOMERSET,ME,5432.716084979
2006,WALDO,ME,2861.48412362
2006,WASHINGTON,ME,3086.2105153830003
2006,YORK,ME,10950.540557383
2007,ANDROSCOGGIN,ME,8589.303386948
2007,AROOSTOOK,ME,8433.558653712
2007,CUMBERLAND,ME,19612.037911145002
2007,FRANKLIN,ME,2198.4426117400003
2007,HANCOCK,ME,4717.593037142
2007,KENNEBEC,ME,16994.19796898
2007,KNOX,ME,4305.108532403
2007,LINCOLN,ME,3046.183364653
2007,OXFORD,ME,3774.8333768380003
2007,PENOBSCOT,ME,15747.956309345
2007,PISCATAQUIS,ME,1511.617675877
2007,SAGADAHOC,ME,2450.393037371
2007,SOMERSET,ME,5489.535802542
2007,WALDO,ME,2871.362690988
2007,WASHINGTON,ME,3709.8258099140003
2007,YORK,ME,12117.322331884001
2008,ANDROSCOGGIN,ME,8977.004518935
2008,AROOSTOOK,ME,9349.885673307
2008,CUMBERLAND,ME,20541.543779606
2008,FRANKLIN,ME,2221.278741119
2008,HANCOCK,ME,4871.191889689
2008,KENNEBEC,ME,17042.158701469
2008,KNOX,ME,4421.529678704
2008,LINCOLN,ME,2851.696570257
2008,OXFORD,ME,3814.068713779
2008,PENOBSCOT,ME,17118.029437207002
2008,PISCATAQUIS,ME,1611.759914601
2008,SAGADAHOC,ME,2498.780184741
2008,SOMERSET,ME,5550.685652761
2008,WALDO,ME,2904.695009286
2008,WASHINGTON,ME,3828.1231020600003
2008,YORK,ME,12327.423794672
2009,ANDROSCOGGIN,ME,10397.355471453
2009,AROOSTOOK,ME,9208.166306535
2009,CUMBERLAND,ME,22356.820972941
2009,FRANKLIN,ME,2280.512086919
2009,HANCOCK,ME,5209.294809911
2009,KENNEBEC,ME,12913.711061579
2009,KNOX,ME,4275.463406333
2009,LINCOLN,ME,2778.5104198550002
2009,OXFORD,ME,4026.851805624
2009,PENOBSCOT,ME,18814.166253629
2009,PISCATAQUIS,ME,1419.141891478
2009,SAGADAHOC,ME,2872.571046337
2009,SOMERSET,ME,5640.153526976
2009,WALDO,ME,2808.943789049
2009,WASHINGTON,ME,4061.172216118
2009,YORK,ME,13579.378578483
2010,ANDROSCOGGIN,ME,11750.407098767
2010,AROOSTOOK,ME,9470.721587614
2010,CUMBERLAND,ME,22251.851255319
2010,FRANKLIN,ME,2456.208999474
2010,HANCOCK,ME,5416.413278462001
2010,KENNEBEC,ME,13716.049119777
2010,KNOX,ME,4241.959374546
2010,LINCOLN,ME,2654.04143502
2010,OXFORD,ME,4387.063906732
2010,PENOBSCOT,ME,18974.299256024
2010,PISCATAQUIS,ME,1691.239689732
2010,SAGADAHOC,ME,2643.24984954
2010,SOMERSET,ME,5762.318045845001
2010,WALDO,ME,2706.3679574450002
2010,WASHINGTON,ME,4899.615511018
2010,YORK,ME,14425.031304957
2011,ANDROSCOGGIN,ME,12938.627328492
2011,AROOSTOOK,ME,9084.288609528001
2011,CUMBERLAND,ME,23255.230738487
2011,FRANKLIN,ME,2554.097347187
2011,HANCOCK,ME,5875.067730409
2011,KENNEBEC,ME,14373.04530223
2011,KNOX,ME,4325.915993134
2011,LINCOLN,ME,2513.379425469
2011,OXFORD,ME,4993.620512772
2011,PENOBSCOT,ME,19833.66825861
