year,BUYER_COUNTY,BUYER_STATE,strength
2006,ALCONA,MI,909.8677271710001
2006,ALGER,MI,1439.260486896
2006,ALLEGAN,MI,7482.001701769
2006,ALPENA,MI,5046.293739562
2006,ANTRIM,MI,3700.521322477
2006,ARENAC,MI,2321.171879137
2006,BARAGA,MI,1308.372033639
2006,BARRY,MI,3941.9638795710002
2006,BAY,MI,15342.298807554
2006,BENZIE,MI,2038.346731047
2006,BERRIEN,MI,20269.765244539
2006,BRANCH,MI,3688.349693441
2006,CALHOUN,MI,24284.634016393
2006,CASS,MI,2404.998493919
2006,CHARLEVOIX,MI,2725.582892817
2006,CHEBOYGAN,MI,3787.946436016
2006,CHIPPEWA,MI,5166.879186428
2006,CLARE,MI,6896.856877327
2006,CLINTON,MI,6363.368663042
2006,CRAWFORD,MI,3531.555674135
2006,DELTA,MI,4975.517374656
2006,DICKINSON,MI,5099.581965264
2006,EATON,MI,12276.9284618
2006,EMMET,MI,3914.371155327
2006,GENESEE,MI,67363.112269909
2006,GLADWIN,MI,5610.362175305
2006,GOGEBIC,MI,1527.127796214
2006,GRAND TRAVERSE,MI,11696.546539764
2006,GRATIOT,MI,3057.669966889
2006,HILLSDALE,MI,3654.328511107
2006,HOUGHTON,MI,4075.130935387
2006,HURON,MI,3820.135930487
2006,INGHAM,MI,212458.987818529
2006,IONIA,MI,4455.2219506500005
2006,IOSCO,MI,5127.906052631
2006,IRON,MI,1580.210559886
2006,ISABELLA,MI,5356.363297334
2006,JACKSON,MI,18568.532507104
2006,KALAMAZOO,MI,26266.534438907
2006,KALKASKA,MI,2222.6065427060003
2006,KENT,MI,50249.402077342
2006,LAKE,MI,974.5658805649999
2006,LAPEER,MI,8394.295326738
2006,LEELANAU,MI,760.657058804
2006,LENAWEE,MI,9197.34102026
2006,LIVINGSTON,MI,13491.872938334
2006,LUCE,MI,1201.913589882
2006,MACKINAC,MI,1679.473601243
2006,MACOMB,MI,106587.350804022
2006,MANISTEE,MI,3794.1550795450003
2006,MARQUETTE,MI,8506.429745949
2006,MASON,MI,4340.25361647
2006,MECOSTA,MI,4749.445040882
2006,MENOMINEE,MI,2608.6874694480002
2006,MIDLAND,MI,13536.574413944
2006,MISSAUKEE,MI,1006.124170808
2006,MONROE,MI,21559.762226447
2006,MONTCALM,MI,7053.53485751
2006,MONTMORENCY,MI,2052.515218722
2006,MUSKEGON,MI,49799.774493496996
2006,NEWAYGO,MI,6809.358572254
2006,OAKLAND,MI,281728.561144063
2006,OCEANA,MI,3695.80735722
2006,OGEMAW,MI,8894.66384394
2006,ONTONAGON,MI,1231.001058438
2006,OSCEOLA,MI,2706.516517055
2006,OSCODA,MI,1381.2883727
2006,OTSEGO,MI,3769.546397085
2006,OTTAWA,MI,15311.114269173
2006,PRESQUE ISLE,MI,1134.412375693
2006,ROSCOMMON,MI,5715.160489126
2006,SAGINAW,MI,26611.928017101
2006,SAINT CLAIR,MI,21426.230258134
2006,SAINT JOSEPH,MI,7071.138179784
2006,SANILAC,MI,3536.275999282
2006,SCHOOLCRAFT,MI,2419.058711123
2006,SHIAWASSEE,MI,12314.201130625
2006,TUSCOLA,MI,4625.618305514
2006,VAN BUREN,MI,10771.275984282
2006,WASHTENAW,MI,34853.817815029
2006,WAYNE,MI,737481.388661813
2006,WEXFORD,MI,5906.850979804
2007,ALCONA,MI,952.144356173
2007,ALGER,MI,1454.127833642
2007,ALLEGAN,MI,8522.468301891
2007,ALPENA,MI,5121.06450777
2007,ANTRIM,MI,1957.522115771
2007,ARENAC,MI,2587.064862199
2007,BARAGA,MI,1502.49902731
2007,BARRY,MI,4340.602745514
2007,BAY,MI,17364.413596484
2007,BENZIE,MI,2373.811979059
2007,BERRIEN,MI,22166.132117611
2007,BRANCH,MI,4257.762211163
2007,CALHOUN,MI,27580.582322886
2007,CASS,MI,2575.215849453
2007,CHARLEVOIX,MI,2820.452041386
2007,CHEBOYGAN,MI,4001.7273215230002
2007,CHIPPEWA,MI,5078.046390909
2007,CLARE,MI,7385.565249937
2007,CLINTON,MI,7326.203026889
2007,CRAWFORD,MI,3868.035910199
2007,DELTA,MI,5389.894063864
2007,DICKINSON,MI,5689.061846579
2007,EATON,MI,13810.447010683
2007,EMMET,MI,3987.168856216
2007,GENESEE,MI,77093.464428929
2007,GLADWIN,MI,6120.190997214
2007,GOGEBIC,MI,1524.6952625640001
2007,GRAND TRAVERSE,MI,13520.733140925
2007,GRATIOT,MI,3646.26338503
2007,HILLSDALE,MI,4225.213193844
2007,HOUGHTON,MI,4649.359665577
2007,HURON,MI,4391.057585044
2007,INGHAM,MI,223850.32494818
2007,IONIA,MI,5128.389534193
2007,IOSCO,MI,5626.632208152
2007,IRON,MI,1509.401576353
2007,ISABELLA,MI,6689.290031218
2007,JACKSON,MI,21502.892315955
2007,KALAMAZOO,MI,29621.858737763
2007,KALKASKA,MI,2816.587184936
2007,KENT,MI,60242.222933646
2007,LAKE,MI,961.92853564
2007,LAPEER,MI,9582.171205958
2007,LEELANAU,MI,710.558175824
2007,LENAWEE,MI,10615.5540787
2007,LIVINGSTON,MI,16466.552732316
2007,LUCE,MI,1375.827847331
2007,MACKINAC,MI,1605.031476057
2007,MACOMB,MI,131058.177154787
2007,MANISTEE,MI,4416.716239051
2007,MARQUETTE,MI,9595.895897184
2007,MASON,MI,4941.9528744320005
2007,MECOSTA,MI,5311.587851082
2007,MENOMINEE,MI,1891.4106252240001
2007,MIDLAND,MI,15873.727560032
2007,MISSAUKEE,MI,1143.564193365
2007,MONROE,MI,24623.219532699
2007,MONTCALM,MI,8242.331342415
2007,MONTMORENCY,MI,2243.94301868
2007,MUSKEGON,MI,52392.359701238
2007,NEWAYGO,MI,8367.231558337
2007,OAKLAND,MI,316058.785758389
2007,OCEANA,MI,4079.442698344
2007,OGEMAW,MI,9763.600884259
2007,ONTONAGON,MI,1078.172009634
2007,OSCEOLA,MI,2956.420962368
2007,OSCODA,MI,1562.403496678
2007,OTSEGO,MI,4299.369572795
2007,OTTAWA,MI,17488.429720418
2007,PRESQUE ISLE,MI,1401.090209794
2007,ROSCOMMON,MI,6604.5429124
2007,SAGINAW,MI,31753.745217924
2007,SAINT CLAIR,MI,26189.878549673
2007,SAINT JOSEPH,MI,7913.32467524
2007,SANILAC,MI,4224.700913745
2007,SCHOOLCRAFT,MI,2367.118985817
2007,SHIAWASSEE,MI,13608.096397564
2007,TUSCOLA,MI,5215.15584835
2007,VAN BUREN,MI,12604.413572537
2007,WASHTENAW,MI,40865.939019099
2007,WAYNE,MI,767567.630978446
2007,WEXFORD,MI,6899.433110958
2008,ALCONA,MI,1036.943598431
2008,ALGER,MI,1381.700573948
2008,ALLEGAN,MI,9213.083680632
2008,ALPENA,MI,5461.155382188
2008,ANTRIM,MI,2596.879306232
2008,ARENAC,MI,2889.679426884
2008,BARAGA,MI,1636.858597375
2008,BARRY,MI,4849.8183513740005
2008,BAY,MI,19610.924365764
2008,BENZIE,MI,2658.522347012
2008,BERRIEN,MI,22520.748424145
2008,BRANCH,MI,5759.129827321
2008,CALHOUN,MI,30829.01627581
2008,CASS,MI,2921.258688495
2008,CHARLEVOIX,MI,3088.62842064
2008,CHEBOYGAN,MI,4741.840801378
2008,CHIPPEWA,MI,5811.321584518
2008,CLARE,MI,8281.623481885
2008,CLINTON,MI,8192.050086383
2008,CRAWFORD,MI,3883.312095734
2008,DELTA,MI,5786.59098695
2008,DICKINSON,MI,6621.559720915
2008,EATON,MI,15563.135071672
2008,EMMET,MI,4134.0416149620005
2008,GENESEE,MI,83652.976940202
2008,GLADWIN,MI,6743.471008152
2008,GOGEBIC,MI,1574.055847331
2008,GRAND TRAVERSE,MI,14949.893059342001
2008,GRATIOT,MI,4414.613277796
2008,HILLSDALE,MI,4516.117592298
2008,HOUGHTON,MI,5089.593328476
2008,HURON,MI,4737.5980715430005
2008,INGHAM,MI,240310.37424406
2008,IONIA,MI,5733.003454898
2008,IOSCO,MI,6404.061087521
2008,IRON,MI,1749.777915765
2008,ISABELLA,MI,7706.773614794
2008,JACKSON,MI,23085.512012415
2008,KALAMAZOO,MI,33000.387479817
2008,KALKASKA,MI,2999.608732663
2008,KENT,MI,120006.529402509
2008,LAKE,MI,859.623082985
2008,LAPEER,MI,10439.528683167
2008,LEELANAU,MI,820.453605699
2008,LENAWEE,MI,12153.982097012
2008,LIVINGSTON,MI,17952.134633162
2008,LUCE,MI,1521.098881927
2008,MACKINAC,MI,1559.777583033
2008,MACOMB,MI,146482.151259525
2008,MANISTEE,MI,5002.651372927
2008,MARQUETTE,MI,9830.510787972
2008,MASON,MI,5739.519179613
2008,MECOSTA,MI,5898.126630504
2008,MENOMINEE,MI,1919.113185418
2008,MIDLAND,MI,18061.744055381
2008,MISSAUKEE,MI,1115.815958107
2008,MONROE,MI,28397.478675765
2008,MONTCALM,MI,9778.087565314
2008,MONTMORENCY,MI,2366.663147838
2008,MUSKEGON,MI,39907.734189675
2008,NEWAYGO,MI,9469.936676518
2008,OAKLAND,MI,304643.653471094
2008,OCEANA,MI,4340.684891641
2008,OGEMAW,MI,9680.829668629
2008,ONTONAGON,MI,646.266347594
2008,OSCEOLA,MI,3254.51622263
2008,OSCODA,MI,1802.103626199
2008,OTSEGO,MI,4826.336319216
2008,OTTAWA,MI,20838.310887498
2008,PRESQUE ISLE,MI,1418.558622315
2008,ROSCOMMON,MI,7365.657218757
2008,SAGINAW,MI,37274.32371656
2008,SAINT CLAIR,MI,29467.276673592
2008,SAINT JOSEPH,MI,8548.871177328
2008,SANILAC,MI,4499.780765487
2008,SCHOOLCRAFT,MI,2316.988766762
2008,SHIAWASSEE,MI,14985.230575844
2008,TUSCOLA,MI,5924.375191619
2008,VAN BUREN,MI,12880.495830555
2008,WASHTENAW,MI,34367.365349706
2008,WAYNE,MI,986960.684541767
2008,WEXFORD,MI,7743.641966433
2009,ALCONA,MI,1218.116935801
2009,ALGER,MI,1429.751528096
2009,ALLEGAN,MI,10240.907933165001
2009,ALPENA,MI,5857.311701447
2009,ANTRIM,MI,2563.7202857800003
2009,ARENAC,MI,3385.582978536
2009,BARAGA,MI,1696.653870059
2009,BARRY,MI,5214.059735025
2009,BAY,MI,21072.954861429
2009,BENZIE,MI,2993.567817841
2009,BERRIEN,MI,24547.081030314
2009,BRANCH,MI,6059.663495459
2009,CALHOUN,MI,34871.949099163
2009,CASS,MI,3526.346711139
2009,CHARLEVOIX,MI,3136.839360986
2009,CHEBOYGAN,MI,5189.555578155
2009,CHIPPEWA,MI,6218.197464496
2009,CLARE,MI,8978.17642009
2009,CLINTON,MI,8489.759499796
2009,CRAWFORD,MI,4230.438128606
2009,DELTA,MI,6094.94618014
2009,DICKINSON,MI,7244.384943449
2009,EATON,MI,17093.084659509
2009,EMMET,MI,4217.141187349
2009,GENESEE,MI,91533.793331726
2009,GLADWIN,MI,7151.978314948
2009,GOGEBIC,MI,1777.776423036
2009,GRAND TRAVERSE,MI,16239.782507734
2009,GRATIOT,MI,5126.005386604
2009,HILLSDALE,MI,4403.539178647
2009,HOUGHTON,MI,5362.14060054
2009,HURON,MI,4688.1497253200005
2009,INGHAM,MI,290927.180918891
2009,IONIA,MI,6091.411501102
2009,IOSCO,MI,7554.770769302
2009,IRON,MI,1718.4354853950001
2009,ISABELLA,MI,8559.347881035
2009,JACKSON,MI,25858.237104755
2009,KALAMAZOO,MI,37921.763506582
2009,KALKASKA,MI,3271.799045501
2009,KENT,MI,150274.358923206
2009,LAKE,MI,997.5196812410001
2009,LAPEER,MI,11687.624691764
2009,LEELANAU,MI,810.851562125
2009,LENAWEE,MI,13131.296929498
2009,LIVINGSTON,MI,18952.463034975
2009,LUCE,MI,1816.278738778
2009,MACKINAC,MI,1590.13579729
2009,MACOMB,MI,162592.816237378
2009,MANISTEE,MI,5092.532337978
2009,MARQUETTE,MI,10492.297431609
2009,MASON,MI,6966.751965029
2009,MECOSTA,MI,6901.719459984
2009,MENOMINEE,MI,2152.4259171100002
2009,MIDLAND,MI,20110.751651336
2009,MISSAUKEE,MI,1111.358974341
2009,MONROE,MI,31176.684549618
2009,MONTCALM,MI,11509.749526657
2009,MONTMORENCY,MI,2656.75331421
2009,MUSKEGON,MI,43046.80917298
2009,NEWAYGO,MI,10531.320992296
2009,OAKLAND,MI,538053.5521990911
2009,OCEANA,MI,4750.506342907
2009,OGEMAW,MI,11092.979154257
2009,ONTONAGON,MI,640.169207745
2009,OSCEOLA,MI,3510.5347731800002
2009,OSCODA,MI,2370.836177298
2009,OTSEGO,MI,5584.107991609
2009,OTTAWA,MI,21364.872685770002
2009,PRESQUE ISLE,MI,1065.880804879
2009,ROSCOMMON,MI,7722.662162509
2009,SAGINAW,MI,38216.203778177
2009,SAINT CLAIR,MI,31414.586092083002
2009,SAINT JOSEPH,MI,8951.471442613
2009,SANILAC,MI,4838.9424104810005
2009,SCHOOLCRAFT,MI,2448.2954692480002
2009,SHIAWASSEE,MI,14699.985789782
2009,TUSCOLA,MI,6593.196267363
2009,VAN BUREN,MI,14547.537858232
2009,WASHTENAW,MI,38378.456093006
2009,WAYNE,MI,1255928.195269412
2009,WEXFORD,MI,8220.485569315
2010,ALCONA,MI,1184.560062066
2010,ALGER,MI,1600.02063421
2010,ALLEGAN,MI,11224.365103796
2010,ALPENA,MI,6401.602064294
2010,ANTRIM,MI,2855.867256072
2010,ARENAC,MI,3744.684823402
2010,BARAGA,MI,1696.155682872
2010,BARRY,MI,5570.1079267000005
2010,BAY,MI,22979.844233939
2010,BENZIE,MI,3205.393520764
2010,BERRIEN,MI,27137.49031183
2010,BRANCH,MI,5933.640567925
2010,CALHOUN,MI,37461.22265454
2010,CASS,MI,3823.20998671
2010,CHARLEVOIX,MI,3570.511507769
2010,CHEBOYGAN,MI,4965.8982922370005
2010,CHIPPEWA,MI,6722.63371721
2010,CLARE,MI,9383.447736891
2010,CLINTON,MI,8845.587860382
2010,CRAWFORD,MI,4052.9842375
2010,DELTA,MI,7883.454195961001
2010,DICKINSON,MI,7266.239178269
2010,EATON,MI,17487.586602606
2010,EMMET,MI,5051.453625532
2010,GENESEE,MI,97781.479861465
2010,GLADWIN,MI,6595.419139062
2010,GOGEBIC,MI,2222.146178227
2010,GRAND TRAVERSE,MI,18276.037395114
2010,GRATIOT,MI,5944.212509354
2010,HILLSDALE,MI,4826.986494771
2010,HOUGHTON,MI,5879.027464019
2010,HURON,MI,4925.576552012
2010,INGHAM,MI,316126.022606561
2010,IONIA,MI,6830.2175249540005
2010,IOSCO,MI,8748.860862465
2010,IRON,MI,1785.4484389030001
2010,ISABELLA,MI,9293.935083294
2010,JACKSON,MI,28325.790654933
2010,KALAMAZOO,MI,40061.992957251
2010,KALKASKA,MI,3564.79612167
2010,KENT,MI,147561.778406663
2010,LAKE,MI,1126.06444124
2010,LAPEER,MI,13441.627366492
2010,LEELANAU,MI,865.004422999
2010,LENAWEE,MI,14077.271287965
2010,LIVINGSTON,MI,19267.520478301
2010,LUCE,MI,1819.147405382
2010,MACKINAC,MI,1883.97510973
2010,MACOMB,MI,182324.465057883
2010,MANISTEE,MI,5686.03882516
2010,MARQUETTE,MI,10617.768593139
2010,MASON,MI,8333.183704895
2010,MECOSTA,MI,7608.493234705
2010,MENOMINEE,MI,2247.789580221
2010,MIDLAND,MI,21673.12679275
2010,MISSAUKEE,MI,1246.385083938
2010,MONROE,MI,30425.550133463
2010,MONTCALM,MI,13241.1388947
2010,MONTMORENCY,MI,2697.530707823
2010,MUSKEGON,MI,49184.773863061
2010,NEWAYGO,MI,12366.891759606
2010,OAKLAND,MI,375855.865970872
2010,OCEANA,MI,5263.069219563
2010,OGEMAW,MI,11615.476339815
2010,ONTONAGON,MI,674.960175114
2010,OSCEOLA,MI,3962.8806318770003
2010,OSCODA,MI,2486.925580188
2010,OTSEGO,MI,5463.682215956
2010,OTTAWA,MI,23928.593319301
2010,PRESQUE ISLE,MI,1346.069661141
2010,ROSCOMMON,MI,8288.436439519
2010,SAGINAW,MI,42228.805962631
2010,SAINT CLAIR,MI,34234.529578645
2010,SAINT JOSEPH,MI,9935.193914997
2010,SANILAC,MI,5505.987816849
2010,SCHOOLCRAFT,MI,2289.142432952
2010,SHIAWASSEE,MI,12434.173106154
2010,TUSCOLA,MI,7526.597236382
2010,VAN BUREN,MI,15588.720517169
2010,WASHTENAW,MI,35418.307333582
2010,WAYNE,MI,1158690.051285698
2010,WEXFORD,MI,8826.566107311
2011,ALCONA,MI,1509.124738676
2011,ALGER,MI,1712.718760709
2011,ALLEGAN,MI,12975.907638028
2011,ALPENA,MI,7105.455648236
2011,ANTRIM,MI,3298.695808779
2011,ARENAC,MI,4418.1703684780005
2011,BARAGA,MI,1812.215560048
2011,BARRY,MI,6786.496863214
2011,BAY,MI,24808.560884561
2011,BENZIE,MI,3577.124273605
2011,BERRIEN,MI,31133.173834901
2011,BRANCH,MI,6670.846136748
2011,CALHOUN,MI,40011.294202209
2011,CASS,MI,4289.090458446
2011,CHARLEVOIX,MI,4140.335323174
2011,CHEBOYGAN,MI,5300.883765489
2011,CHIPPEWA,MI,6902.469744068
2011,CLARE,MI,9524.658367885
2011,CLINTON,MI,9575.857141096
2011,CRAWFORD,MI,4294.292716561
2011,DELTA,MI,8740.154798091
2011,DICKINSON,MI,7956.612863589
2011,EATON,MI,19981.521344568002
2011,EMMET,MI,5663.52712737
2011,GENESEE,MI,108843.2785366
2011,GLADWIN,MI,7057.410120647
2011,GOGEBIC,MI,2310.828801163
2011,GRAND TRAVERSE,MI,21145.026982497002
2011,GRATIOT,MI,6489.167872897
2011,HILLSDALE,MI,5498.753312651
2011,HOUGHTON,MI,6377.279583396
2011,HURON,MI,5872.158686879
2011,INGHAM,MI,370833.712423147
2011,IONIA,MI,7799.863092565
2011,IOSCO,MI,9793.540778743
2011,IRON,MI,2231.41631581
2011,ISABELLA,MI,10828.525450667
