year,BUYER_COUNTY,BUYER_STATE,strength
2006,ADAIR,MO,5035.390602909
2006,ANDREW,MO,818.148841926
2006,ATCHISON,MO,374.928084066
2006,AUDRAIN,MO,1465.941184602
2006,BARRY,MO,7582.630515791
2006,BARTON,MO,1726.881690831
2006,BATES,MO,1928.3396976860001
2006,BENTON,MO,2457.117737657
2006,BOLLINGER,MO,1216.423972374
2006,BOONE,MO,9140.477323448
2006,BUCHANAN,MO,16888.664564336
2006,BUTLER,MO,14623.588440041
2006,CALDWELL,MO,241.25995589000001
2006,CALLAWAY,MO,1903.947530396
2006,CAMDEN,MO,5323.843349424
2006,CAPE GIRARDEAU,MO,103310.325762637
2006,CARROLL,MO,858.221571521
2006,CARTER,MO,803.561451038
2006,CASS,MO,8314.544563109
2006,CEDAR,MO,1524.920887496
2006,CHARITON,MO,242.807906312
2006,CHRISTIAN,MO,7773.136397487
2006,CLARK,MO,655.6475701410001
2006,CLAY,MO,19118.068945017
2006,CLINTON,MO,2077.232494611
2006,COLE,MO,5941.830692104
2006,COOPER,MO,1169.126440141
2006,CRAWFORD,MO,1946.4896150710001
2006,DADE,MO,1026.441595748
2006,DALLAS,MO,1458.379227135
2006,DAVIESS,MO,262.623233928
2006,DEKALB,MO,180.042092704
2006,DENT,MO,1775.239234398
2006,DOUGLAS,MO,1453.158788978
2006,DUNKLIN,MO,7510.407342536
2006,FRANKLIN,MO,8087.301471999001
2006,GASCONADE,MO,986.157002007
2006,GENTRY,MO,407.540526728
2006,GREENE,MO,171721.994275124
2006,GRUNDY,MO,952.184926029
2006,HARRISON,MO,867.548707956
2006,HENRY,MO,4073.069218571
2006,HICKORY,MO,695.609950748
2006,HOLT,MO,175.256587026
2006,HOWARD,MO,194.074939147
2006,HOWELL,MO,7274.675960124
2006,IRON,MO,1041.526798423
2006,JACKSON,MO,147137.918329489
2006,JASPER,MO,19058.575935906
2006,JEFFERSON,MO,15611.093055798001
2006,JOHNSON,MO,2360.817920922
2006,KNOX,MO,1.310691
2006,LACLEDE,MO,5284.448175629
2006,LAFAYETTE,MO,2391.004348426
