year,BUYER_COUNTY,BUYER_STATE,strength
2006,NORTHERN MARIANA ISLANDS,MP,34053856.6826799
2007,NORTHERN MARIANA ISLANDS,MP,96.91798744
2008,NORTHERN MARIANA ISLANDS,MP,171.232048235
2009,NORTHERN MARIANA ISLANDS,MP,246.7350078
2010,NORTHERN MARIANA ISLANDS,MP,234.217152
2011,NORTHERN MARIANA ISLANDS,MP,291.344609064
2012,NORTHERN MARIANA ISLANDS,MP,240.591328832
2013,NORTHERN MARIANA ISLANDS,MP,230.17320684199998
2014,NORTHERN MARIANA ISLANDS,MP,277.024015615
2015,SAIPAN,MP,166.1132844
2016,SAIPAN,MP,140.2941852
2017,SAIPAN,MP,133.5645588
2018,SAIPAN,MP,199.8207456
2019,SAIPAN,MP,163.13834880000002
