year,BUYER_COUNTY,BUYER_STATE,strength
2006,BEAVERHEAD,MT,585.199295076
2006,BIG HORN,MT,724.066369816
2006,BLAINE,MT,506.9047839
2006,BROADWATER,MT,224.170204796
2006,CARBON,MT,257.433349634
2006,CASCADE,MT,9287.650182775
2006,CHOUTEAU,MT,320.54014092
2006,CUSTER,MT,866.3018004090001
2006,DANIELS,MT,55.25147845
2006,DAWSON,MT,997.4086772640001
2006,DEER LODGE,MT,926.924390023
2006,FALLON,MT,202.016848818
2006,FERGUS,MT,1083.815492925
2006,FLATHEAD,MT,13896.591257129001
2006,GALLATIN,MT,3975.4057553810003
2006,GARFIELD,MT,12.4107
2006,GLACIER,MT,2326.606299978
2006,GRANITE,MT,13.294584
2006,HILL,MT,2685.519504604
2006,JEFFERSON,MT,254.776876899
2006,JUDITH BASIN,MT,0.6054
2006,LAKE,MT,4785.6430148829995
2006,LEWIS AND CLARK,MT,6095.096477438
2006,LIBERTY,MT,52.782667424
2006,LINCOLN,MT,2937.810972602
2006,MADISON,MT,327.167314948
2006,MCCONE,MT,7.853961040000001
2006,MEAGHER,MT,99.197446934
2006,MINERAL,MT,564.09184869
2006,MISSOULA,MT,13464.265963685
2006,MUSSELSHELL,MT,213.73798993600002
2006,PARK,MT,1041.692704483
2006,PHILLIPS,MT,255.46737827
2006,PONDERA,MT,473.55491977
2006,POWDER RIVER,MT,74.826442295
2006,POWELL,MT,547.856632914
2006,RAVALLI,MT,6319.021369816
2006,RICHLAND,MT,517.058481861
2006,ROOSEVELT,MT,513.473986682
2006,ROSEBUD,MT,445.644590785
2006,SANDERS,MT,1133.374385582
2006,SHERIDAN,MT,110.324640927
2006,SILVER BOW,MT,3782.943334914
2006,STILLWATER,MT,341.706772548
2006,SWEET GRASS,MT,129.577038315
2006,TETON,MT,480.339904572
2006,TOOLE,MT,323.31906939000004
2006,VALLEY,MT,492.518891584
2006,WIBAUX,MT,0.3027
2006,YELLOWSTONE,MT,12401.105590101
2007,BEAVERHEAD,MT,661.730205798
2007,BIG HORN,MT,716.857324439
2007,BLAINE,MT,497.379938149
2007,BROADWATER,MT,235.04324164800002
2007,CARBON,MT,256.1582704
2007,CASCADE,MT,8621.621863639
2007,CHOUTEAU,MT,314.094126641
2007,CUSTER,MT,738.6745594690001
2007,DANIELS,MT,83.19930293
2007,DAWSON,MT,754.9765256530001
