year,BUYER_COUNTY,BUYER_STATE,strength
2006,ALAMANCE,NC,11562.639286851001
2006,ALEXANDER,NC,3480.299346276
2006,ALLEGHANY,NC,1261.174899755
2006,ANSON,NC,2098.214944978
2006,ASHE,NC,3496.679015526
2006,AVERY,NC,2793.030781676
2006,BEAUFORT,NC,3752.156787721
2006,BERTIE,NC,1087.619400072
2006,BLADEN,NC,4198.407092218
2006,BRUNSWICK,NC,16446.291388136
2006,BUNCOMBE,NC,24254.527421072
2006,BURKE,NC,16545.385012471
2006,CABARRUS,NC,107900.74805261
2006,CALDWELL,NC,11604.138514665001
2006,CARTERET,NC,6651.1800270720005
2006,CASWELL,NC,799.882978607
2006,CATAWBA,NC,22187.072781534
2006,CHATHAM,NC,2039.5981010340001
2006,CHEROKEE,NC,4283.9929464140005
2006,CHOWAN,NC,612.5628281850001
2006,CLAY,NC,1504.823171187
2006,CLEVELAND,NC,16740.714554089
2006,COLUMBUS,NC,14441.347183961001
2006,CRAVEN,NC,9230.5420032
2006,CUMBERLAND,NC,14361.652383550001
2006,CURRITUCK,NC,825.989561469
2006,DARE,NC,3490.972899355
2006,DAVIDSON,NC,18032.272094737
2006,DAVIE,NC,4574.476257311
2006,DUPLIN,NC,3971.929295757
2006,DURHAM,NC,171435.795271102
2006,EDGECOMBE,NC,4163.842681639
2006,FORSYTH,NC,33043.971790627
2006,FRANKLIN,NC,3112.648022654
2006,GASTON,NC,32752.821251898
2006,GATES,NC,354.20092395
2006,GRAHAM,NC,838.928386917
2006,GRANVILLE,NC,4242.617370907
2006,GREENE,NC,514.603343973
2006,GUILFORD,NC,252783.707389531
2006,HALIFAX,NC,4226.036575014
2006,HARNETT,NC,5847.009696872
2006,HAYWOOD,NC,7029.359622818
2006,HENDERSON,NC,13724.656899253001
2006,HERTFORD,NC,2200.296370948
2006,HOKE,NC,1392.824015203
2006,IREDELL,NC,26745.93340984
2006,JACKSON,NC,3318.120064793
2006,JOHNSTON,NC,9178.928053528
