year,BUYER_COUNTY,BUYER_STATE,strength
2006,ADAMS,NE,2095.2513257680002
2006,ANTELOPE,NE,111.22277411
2006,BOONE,NE,628.502291148
2006,BOX BUTTE,NE,724.202895702
2006,BOYD,NE,168.491594827
2006,BROWN,NE,182.29783442800002
2006,BUFFALO,NE,1888.9692029560001
2006,BURT,NE,309.23188262400004
2006,BUTLER,NE,243.723744487
2006,CASS,NE,653.111693975
2006,CEDAR,NE,189.390379779
2006,CHASE,NE,287.475622815
2006,CHERRY,NE,221.94145207
2006,CHEYENNE,NE,864.020719393
2006,COLFAX,NE,153.835767645
2006,CUMING,NE,336.485123238
2006,CUSTER,NE,755.672375069
2006,DAKOTA,NE,856.934536408
2006,DAWES,NE,460.13273919100004
2006,DAWSON,NE,102535.253761997
2006,DEUEL,NE,71.396234166
2006,DIXON,NE,52.348532320000004
2006,DODGE,NE,5180.944906421
2006,DOUGLAS,NE,36488.293231086
2006,DUNDY,NE,90.691608775
2006,FILLMORE,NE,405.692790033
2006,FRANKLIN,NE,175.81045349800002
2006,FURNAS,NE,420.013771925
2006,GAGE,NE,1818.801165052
2006,GARDEN,NE,89.702793094
2006,GARFIELD,NE,174.044737105
2006,GREELEY,NE,48.62102728
2006,HALL,NE,5031.277883995
2006,HAMILTON,NE,370.04944487800003
2006,HARLAN,NE,144.270132757
2006,HOLT,NE,495.16357400000004
2006,HOOKER,NE,0.8559455850000001
2006,HOWARD,NE,485.600164071
2006,JEFFERSON,NE,377.851568916
2006,JOHNSON,NE,348.20608532800003
2006,KEARNEY,NE,193.57441521200002
2006,KEITH,NE,564.0140502630001
2006,KIMBALL,NE,4849.385914476
2006,KNOX,NE,469.199601183
2006,LANCASTER,NE,96016.744176241
2006,LINCOLN,NE,2383.292236533
2006,MADISON,NE,2300.859763119
2006,MERRICK,NE,325.59053271700003
2006,MORRILL,NE,204.574008525
2006,NANCE,NE,208.564189765
2006,NEMAHA,NE,625.357409223
2006,NUCKOLLS,NE,394.720488483
2006,OTOE,NE,914.676385919
2006,PAWNEE,NE,169.83549728
2006,PERKINS,NE,57.902921815
2006,PHELPS,NE,573.4677274520001
2006,PIERCE,NE,183.042465717
2006,PLATTE,NE,1757.065752429
2006,POLK,NE,200.35643574300002
2006,RED WILLOW,NE,685.5273403460001
2006,RICHARDSON,NE,1393.905933734
2006,ROCK,NE,2.6265462
2006,SALINE,NE,756.0352599290001
2006,SARPY,NE,136291.295687454
2006,SAUNDERS,NE,659.490353783
2006,SCOTTS BLUFF,NE,3502.8851564310003
2006,SEWARD,NE,999.618899281
2006,SHERIDAN,NE,120.819514649
2006,SHERMAN,NE,35.943942949
2006,THAYER,NE,375.184605573
2006,THURSTON,NE,607.432049013
2006,VALLEY,NE,405.591081175
2006,WASHINGTON,NE,1011.009758057
2006,WAYNE,NE,325.778703957
2006,WEBSTER,NE,296.40524817200003
2006,YORK,NE,1503.332822699
2007,ADAMS,NE,2264.653747985
2007,ANTELOPE,NE,121.196883416
2007,BOONE,NE,666.810332527
2007,BOX BUTTE,NE,968.721911502
2007,BOYD,NE,135.070523387
2007,BROWN,NE,217.996100074
2007,BUFFALO,NE,2122.46994601
2007,BURT,NE,345.13991296800003
2007,BUTLER,NE,295.604651142
2007,CASS,NE,818.10446875
2007,CEDAR,NE,175.414009187
2007,CHASE,NE,324.5779302
2007,CHERRY,NE,200.917926258
2007,CHEYENNE,NE,988.995565263
2007,CLAY,NE,14.624113634
2007,COLFAX,NE,160.02669625800002
2007,CUMING,NE,439.935588177
2007,CUSTER,NE,793.526239463
2007,DAKOTA,NE,1228.640800805
2007,DAWES,NE,531.436542001
2007,DAWSON,NE,60960.348597498
2007,DEUEL,NE,83.797172118
2007,DIXON,NE,144.611296737
2007,DODGE,NE,3944.94530158
2007,DOUGLAS,NE,38145.487715806004
2007,DUNDY,NE,134.395025307
2007,FILLMORE,NE,368.816217662
2007,FRANKLIN,NE,217.095101457
2007,FURNAS,NE,506.559758429
2007,GAGE,NE,2174.962963782
2007,GARDEN,NE,109.83886171
2007,GARFIELD,NE,202.100682595
2007,GRANT,NE,0.3027
2007,GREELEY,NE,55.47237468
2007,HALL,NE,5676.943589605
2007,HAMILTON,NE,389.63623039
2007,HARLAN,NE,128.63798604000002
2007,HOLT,NE,570.269919714
2007,HOOKER,NE,0.57063039
2007,HOWARD,NE,523.605451398
2007,JEFFERSON,NE,514.712167099
2007,JOHNSON,NE,525.717489443
2007,KEARNEY,NE,241.980953371
2007,KEITH,NE,786.380878152
2007,KIMBALL,NE,241.84816583600002
2007,KNOX,NE,577.2406744780001
2007,LANCASTER,NE,86130.021167952
2007,LINCOLN,NE,3061.570789341
2007,MADISON,NE,2394.79593647
2007,MERRICK,NE,451.091194149
2007,MORRILL,NE,307.235329872
2007,NANCE,NE,222.76472644700002
2007,NEMAHA,NE,604.52227157
2007,NUCKOLLS,NE,440.10825563500003
2007,OTOE,NE,1127.212448486
2007,PAWNEE,NE,173.81974152
2007,PERKINS,NE,77.472039872
2007,PHELPS,NE,539.6220152230001
2007,PIERCE,NE,231.68334871800002
2007,PLATTE,NE,1859.614286229
2007,POLK,NE,234.084576542
2007,RED WILLOW,NE,886.5685587090001
2007,RICHARDSON,NE,1402.13642766
2007,ROCK,NE,1.8162
2007,SALINE,NE,927.360800575
2007,SARPY,NE,80728.92631462
2007,SAUNDERS,NE,912.652345994
2007,SCOTTS BLUFF,NE,3803.511101189
2007,SEWARD,NE,1058.406408554
2007,SHERIDAN,NE,158.376576841
2007,SHERMAN,NE,43.136512826
2007,THAYER,NE,331.661526423
2007,THURSTON,NE,394.064581313
2007,VALLEY,NE,486.511993865
2007,WASHINGTON,NE,1082.80020778
2007,WAYNE,NE,429.886435783
2007,WEBSTER,NE,334.232967716
2007,YORK,NE,1569.6870242530001
2008,ADAMS,NE,2426.761478729
2008,ANTELOPE,NE,154.397777397
2008,BOONE,NE,662.315428846
2008,BOX BUTTE,NE,878.9106261750001
2008,BOYD,NE,170.907304551
2008,BROWN,NE,200.418898602
2008,BUFFALO,NE,2044.604208645
2008,BURT,NE,369.46194298800003
2008,BUTLER,NE,274.146097487
2008,CASS,NE,827.45672025
2008,CEDAR,NE,187.672761522
2008,CHASE,NE,277.498008121
2008,CHERRY,NE,319.744658988
2008,CHEYENNE,NE,956.559984889
2008,CLAY,NE,67.87474152
2008,COLFAX,NE,189.94868168300002
2008,CUMING,NE,444.688352383
2008,CUSTER,NE,764.314085585
2008,DAKOTA,NE,1594.1053364230002
2008,DAWES,NE,536.813647743
2008,DAWSON,NE,83385.746840996
2008,DEUEL,NE,70.42333307700001
2008,DIXON,NE,72.804549354
2008,DODGE,NE,4132.860554127
2008,DOUGLAS,NE,40226.481042387
2008,DUNDY,NE,132.427902515
2008,FILLMORE,NE,312.965810055
2008,FRANKLIN,NE,285.905634237
2008,FURNAS,NE,448.166894529
2008,GAGE,NE,2187.368057221
2008,GARDEN,NE,113.600261696
2008,GARFIELD,NE,266.38458256
2008,GRANT,NE,1.5135
2008,GREELEY,NE,40.69691104
2008,HALL,NE,5737.7953593540005
2008,HAMILTON,NE,381.788943185
2008,HARLAN,NE,138.751441884
2008,HOLT,NE,642.444104237
2008,HOWARD,NE,533.872802271
2008,JEFFERSON,NE,555.455875582
2008,JOHNSON,NE,490.086534743
2008,KEARNEY,NE,284.56475912
2008,KEITH,NE,803.1327000890001
2008,KIMBALL,NE,256.881947049
2008,KNOX,NE,624.1024410790001
2008,LANCASTER,NE,57738.661019722
2008,LINCOLN,NE,3424.524877829
2008,MADISON,NE,2535.3610021980003
2008,MERRICK,NE,610.958518316
2008,MORRILL,NE,320.580043939
