year,BUYER_COUNTY,BUYER_STATE,strength
2006,BELKNAP,NH,2614.421205977
2006,CARROLL,NH,1965.581051002
2006,CHESHIRE,NH,2895.325709865
2006,COOS,NH,1073.538428377
2006,GRAFTON,NH,3409.7183763900002
2006,HILLSBOROUGH,NH,14993.760449054
2006,MERRIMACK,NH,6471.20656242
2006,ROCKINGHAM,NH,18611.402914873
2006,STRAFFORD,NH,5735.168369564
2006,SULLIVAN,NH,1443.141202346
2007,BELKNAP,NH,2971.893908463
2007,CARROLL,NH,2675.66640255
2007,CHESHIRE,NH,3520.553689826
2007,COOS,NH,1286.171382312
2007,GRAFTON,NH,3859.46168458
2007,HILLSBOROUGH,NH,16498.226104887
2007,MERRIMACK,NH,7454.544381561001
2007,ROCKINGHAM,NH,30165.02602817
2007,STRAFFORD,NH,6113.581205923
2007,SULLIVAN,NH,1544.007005997
2008,BELKNAP,NH,2901.906949076
2008,CARROLL,NH,2563.853078409
2008,CHESHIRE,NH,3893.777153091
2008,COOS,NH,1380.927808801
2008,GRAFTON,NH,4188.5827088470005
2008,HILLSBOROUGH,NH,16987.373725555
2008,MERRIMACK,NH,8054.099970433
2008,ROCKINGHAM,NH,33434.283684083
2008,STRAFFORD,NH,6358.272799946
2008,SULLIVAN,NH,1688.193032877
2009,BELKNAP,NH,3162.942510019
2009,CARROLL,NH,2727.278407776
2009,CHESHIRE,NH,4042.952010778
2009,COOS,NH,1628.029964987
2009,GRAFTON,NH,4350.052276306
2009,HILLSBOROUGH,NH,17361.244655656
2009,MERRIMACK,NH,7900.387613569
2009,ROCKINGHAM,NH,38900.143199481
2009,STRAFFORD,NH,6244.916847636
2009,SULLIVAN,NH,1784.892971239
2010,BELKNAP,NH,3392.410082143
2010,CARROLL,NH,2742.427854247
2010,CHESHIRE,NH,3720.98881902
2010,COOS,NH,1564.405477897
2010,GRAFTON,NH,4630.149079863
2010,HILLSBOROUGH,NH,17057.763869134
2010,MERRIMACK,NH,7805.094084338
2010,ROCKINGHAM,NH,34016.08195081
2010,STRAFFORD,NH,6217.180378203
2010,SULLIVAN,NH,1836.1661632970001
2011,BELKNAP,NH,3556.4223048490003
2011,CARROLL,NH,2884.1448436220003
2011,CHESHIRE,NH,3942.8583803690003
2011,COOS,NH,1746.837967281
2011,GRAFTON,NH,4958.524212828001
2011,HILLSBOROUGH,NH,17847.197828867
2011,MERRIMACK,NH,8089.216204528
2011,ROCKINGHAM,NH,33590.911808554
2011,STRAFFORD,NH,6590.444647339
2011,SULLIVAN,NH,1790.591095048
2012,BELKNAP,NH,3313.359164236
2012,CARROLL,NH,2904.8332069450003
2012,CHESHIRE,NH,3814.499767992
2012,COOS,NH,1768.544196081
2012,GRAFTON,NH,4839.231737486
2012,HILLSBOROUGH,NH,16726.11835173
2012,MERRIMACK,NH,7728.520663805
