year,BUYER_COUNTY,BUYER_STATE,strength
2006,ATLANTIC,NJ,16898.9500839
2006,BERGEN,NJ,92768.753073774
2006,BURLINGTON,NJ,312097.913001669
2006,CAMDEN,NJ,26674.546470584
2006,CAPE MAY,NJ,8569.229034313
2006,CUMBERLAND,NJ,8928.59862267
2006,ESSEX,NJ,297020.565929808
2006,GLOUCESTER,NJ,604935.1525854049
2006,HUDSON,NJ,12235.228361018
2006,HUNTERDON,NJ,3083.583002201
2006,MERCER,NJ,11718.949501588
2006,MIDDLESEX,NJ,50374.844553723
2006,MONMOUTH,NJ,34781.356795842
2006,MORRIS,NJ,596107.176037853
2006,OCEAN,NJ,23328.767197927
2006,PASSAIC,NJ,178481.792070356
2006,SALEM,NJ,15332846.151795402
2006,SOMERSET,NJ,30528.63198056
2006,SUSSEX,NJ,12666.874498520001
2006,UNION,NJ,12696.686937038
2006,WARREN,NJ,4599.871396112
2007,ATLANTIC,NJ,18895.468049851
2007,BERGEN,NJ,65172.727152879
2007,BURLINGTON,NJ,359339.211744818
2007,CAMDEN,NJ,32929.675429907
2007,CAPE MAY,NJ,9554.061602043
2007,CUMBERLAND,NJ,10586.610047368
2007,ESSEX,NJ,147754.087440489
2007,GLOUCESTER,NJ,348178.794017773
2007,HUDSON,NJ,44985.079767488
2007,HUNTERDON,NJ,4373.8268112060005
2007,MERCER,NJ,13697.347830019
2007,MIDDLESEX,NJ,295380.500702992
2007,MONMOUTH,NJ,30686.681933998
2007,MORRIS,NJ,428424.904375927
2007,OCEAN,NJ,27883.151618827
2007,PASSAIC,NJ,137013.355352957
2007,SALEM,NJ,1257638.216015974
2007,SOMERSET,NJ,17535.671732958
2007,SUSSEX,NJ,11421.632979592
2007,UNION,NJ,34942.542683657
2007,WARREN,NJ,5988.564703062
2008,ATLANTIC,NJ,20682.616157779
2008,BERGEN,NJ,44251.839420148
2008,BURLINGTON,NJ,357405.778676798
2008,CAMDEN,NJ,29933.4779238
2008,CAPE MAY,NJ,8773.454573837
2008,CUMBERLAND,NJ,12626.060380641
2008,ESSEX,NJ,894289.629264519
2008,GLOUCESTER,NJ,549179.233459783
2008,HUDSON,NJ,57327.93129297
2008,HUNTERDON,NJ,6006.079155476
2008,MERCER,NJ,14717.107492225
2008,MIDDLESEX,NJ,913243.416729012
2008,MONMOUTH,NJ,33595.011459423
2008,MORRIS,NJ,415158.732406246
2008,OCEAN,NJ,34161.579317202
2008,PASSAIC,NJ,35178.831216113
2008,SALEM,NJ,158299.67758859898
2008,SOMERSET,NJ,16277.857014192
2008,SUSSEX,NJ,13922.557029449
2008,UNION,NJ,36474.195446249
2008,WARREN,NJ,6448.288688648
2009,ATLANTIC,NJ,16101.08598163
2009,BERGEN,NJ,51462.536898543
2009,BURLINGTON,NJ,396726.161527097
2009,CAMDEN,NJ,25061.863623733
2009,CAPE MAY,NJ,8001.964747579
2009,CUMBERLAND,NJ,10751.734658279
2009,ESSEX,NJ,80026.428143717
2009,GLOUCESTER,NJ,3103772.359820744
2009,HUDSON,NJ,51354.958099612
2009,HUNTERDON,NJ,4049.485147452
2009,MERCER,NJ,13530.510259582
2009,MIDDLESEX,NJ,1505889.115942013
2009,MONMOUTH,NJ,28677.576696617
2009,MORRIS,NJ,422445.202278064
2009,OCEAN,NJ,25675.799174778
2009,PASSAIC,NJ,14004.799301238
2009,SALEM,NJ,75104.281743027
2009,SOMERSET,NJ,31762.680539309
2009,SUSSEX,NJ,10287.030012504
2009,UNION,NJ,23621.834742703002
2009,WARREN,NJ,5403.030116756
2010,ATLANTIC,NJ,15361.179821607
2010,BERGEN,NJ,75193.239009989
2010,BURLINGTON,NJ,313725.146257396
2010,CAMDEN,NJ,24508.154192961
2010,CAPE MAY,NJ,8248.735584757
2010,CUMBERLAND,NJ,11711.242658458
2010,ESSEX,NJ,713341.9369580031
2010,GLOUCESTER,NJ,3302037.482486817
2010,HUDSON,NJ,38847.579083978
2010,HUNTERDON,NJ,3761.0151043
2010,MERCER,NJ,11655.160928277
2010,MIDDLESEX,NJ,586925.92840851
2010,MONMOUTH,NJ,26656.722813165
2010,MORRIS,NJ,285523.964945305
2010,OCEAN,NJ,24726.717617553
2010,PASSAIC,NJ,12633.807148258
2010,SALEM,NJ,2487997.713919861
2010,SOMERSET,NJ,28738.538697173
2010,SUSSEX,NJ,9022.354443712
2010,UNION,NJ,49040.975529995
2010,WARREN,NJ,5199.960194728
2011,ATLANTIC,NJ,15731.909294145
2011,BERGEN,NJ,91259.215934737
2011,BURLINGTON,NJ,369102.522473315
2011,CAMDEN,NJ,26438.896672925002
2011,CAPE MAY,NJ,8643.291290991001
2011,CUMBERLAND,NJ,12607.250552692
2011,ESSEX,NJ,225752.32008242
2011,GLOUCESTER,NJ,4497590.020943586
2011,HUDSON,NJ,37639.361506886
2011,HUNTERDON,NJ,4080.42592848
2011,MERCER,NJ,13308.609970403
2011,MIDDLESEX,NJ,924042.10138595
2011,MONMOUTH,NJ,27949.658223009
2011,MORRIS,NJ,258484.321117176
2011,OCEAN,NJ,26663.37551794
2011,PASSAIC,NJ,14276.945413399
2011,SALEM,NJ,4910052.709933021
2011,SOMERSET,NJ,48901.870946164
2011,SUSSEX,NJ,8996.575283681
2011,UNION,NJ,96369.483116711
2011,WARREN,NJ,5755.970811117
2012,ATLANTIC,NJ,14103.998347239
2012,BERGEN,NJ,52462.668179278
