year,BUYER_COUNTY,BUYER_STATE,strength
2006,BERNALILLO,NM,63962.62872637
2006,CHAVES,NM,5390.0108421840005
2006,CIBOLA,NM,884.137144399
2006,COLFAX,NM,1316.034430448
2006,CURRY,NM,2984.883571021
2006,DE BACA,NM,143.304818059
2006,DONA ANA,NM,9011.500202252
2006,EDDY,NM,5465.747904609
2006,GRANT,NM,2759.421778816
2006,GUADALUPE,NM,292.12933150099997
2006,HIDALGO,NM,317.64004976
2006,LEA,NM,6578.022568598
2006,LINCOLN,NM,2436.472609223
2006,LOS ALAMOS,NM,1195.839417899
2006,LUNA,NM,1805.55924003
2006,MCKINLEY,NM,3471.483535858
2006,OTERO,NM,4552.128534363
2006,QUAY,NM,891.658645362
2006,RIO ARRIBA,NM,4712.817153917
2006,ROOSEVELT,NM,1837.493952343
2006,SAN JUAN,NM,7370.1660303260005
2006,SAN MIGUEL,NM,3086.6613772690002
2006,SANDOVAL,NM,5424.457224175
2006,SANTA FE,NM,12247.019233539
2006,SIERRA,NM,1092.315163941
2006,SOCORRO,NM,1363.306254041
2006,TAOS,NM,2290.506903518
2006,TORRANCE,NM,562.214971479
2006,UNION,NM,225.116137247
2006,VALENCIA,NM,5488.816482369
2007,BERNALILLO,NM,56506.188880512
2007,CHAVES,NM,6415.379141763
2007,CIBOLA,NM,1057.967684534
2007,COLFAX,NM,1333.37820375
2007,CURRY,NM,3919.681542064
2007,DE BACA,NM,217.9803938
2007,DONA ANA,NM,10331.139140749001
2007,EDDY,NM,6516.4885383
2007,GRANT,NM,3331.9355581580003
2007,GUADALUPE,NM,341.103570416
2007,HIDALGO,NM,281.35110320900003
2007,LEA,NM,7292.927866295
2007,LINCOLN,NM,2853.507858255
2007,LOS ALAMOS,NM,1228.427641801
2007,LUNA,NM,1842.7911023240001
2007,MCKINLEY,NM,4385.366162045
2007,OTERO,NM,5480.652142471
2007,QUAY,NM,1107.758979332
2007,RIO ARRIBA,NM,5298.978704279
2007,ROOSEVELT,NM,2239.632049062
2007,SAN JUAN,NM,8778.278220619
2007,SAN MIGUEL,NM,3671.0848401050002
2007,SANDOVAL,NM,6613.571629877
2007,SANTA FE,NM,14075.111885078
2007,SIERRA,NM,1316.319544881
2007,SOCORRO,NM,1524.6354313010002
2007,TAOS,NM,2599.1803447360003
2007,TORRANCE,NM,726.385694699
2007,UNION,NM,260.880243109
2007,VALENCIA,NM,6044.326482441
2008,BERNALILLO,NM,64718.549376175004
2008,CHAVES,NM,7382.2283360930005
2008,CIBOLA,NM,1076.749303087
2008,COLFAX,NM,1889.000481607
2008,CURRY,NM,4879.23795996
2008,DE BACA,NM,318.717055684
2008,DONA ANA,NM,11806.400635694
2008,EDDY,NM,7354.682407558
2008,GRANT,NM,3974.659079414
2008,GUADALUPE,NM,366.441380197
2008,HIDALGO,NM,90.525462
2008,LEA,NM,8180.592862914
2008,LINCOLN,NM,3562.967603759
2008,LOS ALAMOS,NM,1251.9270935490001
2008,LUNA,NM,1925.131999351
2008,MCKINLEY,NM,4098.631400053
2008,OTERO,NM,5508.378459377
2008,QUAY,NM,1363.940624236
2008,RIO ARRIBA,NM,5611.744108478
2008,ROOSEVELT,NM,2285.209763056
2008,SAN JUAN,NM,9395.264520081
2008,SAN MIGUEL,NM,3823.20443298
2008,SANDOVAL,NM,7712.068198997
2008,SANTA FE,NM,15420.566158553
2008,SIERRA,NM,1580.61965815
2008,SOCORRO,NM,1456.086929023
2008,TAOS,NM,3037.88935176
2008,TORRANCE,NM,807.376224767
2008,UNION,NM,250.255131046
2008,VALENCIA,NM,6864.8668342
2009,BERNALILLO,NM,70437.651928755
2009,CHAVES,NM,7741.68202127
2009,CIBOLA,NM,1195.817493852
2009,COLFAX,NM,2356.084182286
2009,CURRY,NM,5769.49257593
2009,DE BACA,NM,364.643932242
2009,DONA ANA,NM,13205.266338707
2009,EDDY,NM,8073.133694763
2009,GRANT,NM,3812.088799769
2009,GUADALUPE,NM,342.167658828
2009,LEA,NM,8823.301768376
2009,LINCOLN,NM,3255.925845146
2009,LOS ALAMOS,NM,1246.955840516
2009,LUNA,NM,2108.1271465610002
2009,MCKINLEY,NM,4048.9960269040002
2009,OTERO,NM,6354.820716611
2009,QUAY,NM,3083.930854694
2009,RIO ARRIBA,NM,6056.849528992
2009,ROOSEVELT,NM,1961.679990675
