year,BUYER_COUNTY,BUYER_STATE,strength
2006,CARSON CITY,NV,9869.14100041
2006,CHURCHILL,NV,4217.044079682
2006,CLARK,NV,518122.474392584
2006,DOUGLAS,NV,7148.086615558
2006,ELKO,NV,4297.210825134
2006,EUREKA,NV,0.45405
2006,HUMBOLDT,NV,1454.813985019
2006,LANDER,NV,632.693371857
2006,LINCOLN,NV,691.706892631
2006,LYON,NV,4651.569462626
2006,MINERAL,NV,716.03669342
2006,NYE,NV,11490.340434301
2006,PERSHING,NV,303.285994327
2006,WASHOE,NV,86553.844118852
2006,WHITE PINE,NV,2500.651540467
2007,CARSON CITY,NV,10707.84168108
2007,CHURCHILL,NV,4801.701494708
2007,CLARK,NV,563822.937066076
2007,DOUGLAS,NV,7898.556353112001
2007,ELKO,NV,5272.97208934
2007,EUREKA,NV,0.45405
2007,HUMBOLDT,NV,1798.149530298
2007,LANDER,NV,831.038914672
2007,LINCOLN,NV,751.9328393540001
2007,LYON,NV,5680.806552849
2007,MINERAL,NV,745.840619782
2007,NYE,NV,13223.272410386
2007,PERSHING,NV,412.74945405
2007,WASHOE,NV,84081.818143815
2007,WHITE PINE,NV,2878.380342539
2008,CARSON CITY,NV,10524.521729575
2008,CHURCHILL,NV,4907.921974142
2008,CLARK,NV,590191.177752768
2008,DOUGLAS,NV,8460.012587334
2008,ELKO,NV,5780.968223173
2008,EUREKA,NV,0.45405
2008,HUMBOLDT,NV,2066.039279747
2008,LANDER,NV,848.60220568
2008,LINCOLN,NV,814.8020908870001
2008,LYON,NV,6897.987885294
2008,MINERAL,NV,881.113063305
2008,NYE,NV,13937.596086861
2008,PERSHING,NV,525.04832064
2008,WASHOE,NV,66520.089073127
2008,WHITE PINE,NV,2939.726295968
2009,CARSON CITY,NV,11280.313275235
2009,CHURCHILL,NV,5490.382462427
2009,CLARK,NV,646323.8692936
2009,DOUGLAS,NV,8606.715905169
2009,ELKO,NV,6806.701427931
2009,EUREKA,NV,0.44799600000000006
2009,HUMBOLDT,NV,2161.23423362
2009,LANDER,NV,885.889758498
2009,LINCOLN,NV,932.394025394
2009,LYON,NV,7868.1215740220005
2009,MINERAL,NV,1093.67983242
2009,NYE,NV,15686.863619723
2009,PERSHING,NV,655.124198363
2009,WASHOE,NV,70691.728697814
2009,WHITE PINE,NV,3185.303590647
2010,CARSON CITY,NV,11781.435455055
2010,CHURCHILL,NV,5759.135741697
2010,CLARK,NV,725569.904133586
2010,DOUGLAS,NV,9027.516457257
2010,ELKO,NV,6931.1694385850005
2010,HUMBOLDT,NV,2553.537100132
2010,LANDER,NV,847.489101082
2010,LINCOLN,NV,1002.373066074
2010,LYON,NV,8605.062898051001
2010,MINERAL,NV,1128.876401889
2010,NYE,NV,14950.619226839
2010,PERSHING,NV,623.696683675
2010,WASHOE,NV,71900.93659323
2010,WHITE PINE,NV,3390.659129731
2011,CARSON CITY,NV,12322.921289238
2011,CHURCHILL,NV,5817.035735731
2011,CLARK,NV,752750.080836475
2011,DOUGLAS,NV,9781.784507694
2011,ELKO,NV,7140.95048828
2011,HUMBOLDT,NV,2906.849376192
2011,LANDER,NV,946.572251992
2011,LINCOLN,NV,1155.49480478
2011,LYON,NV,9431.736568201
2011,MINERAL,NV,1357.1903917270001
2011,NYE,NV,15223.948152298
2011,PERSHING,NV,404.945080115
2011,WASHOE,NV,77148.397722775
2011,WHITE PINE,NV,3423.171970548
2012,CARSON CITY,NV,11776.227493049
2012,CHURCHILL,NV,5831.053720355
2012,CLARK,NV,680701.885479514
2012,DOUGLAS,NV,9571.699702371001
2012,ELKO,NV,7272.602211384
2012,HUMBOLDT,NV,3214.859565339
2012,LANDER,NV,993.457992459
2012,LINCOLN,NV,1065.419564521
2012,LYON,NV,9409.693693441
2012,MINERAL,NV,1164.121888822
2012,NYE,NV,13214.057866777
2012,PERSHING,NV,489.627256966
2012,WASHOE,NV,74743.734043133
2012,WHITE PINE,NV,3380.681413289
2013,CARSON CITY,NV,11203.193902654
2013,CHURCHILL,NV,5486.222296019
2013,CLARK,NV,577291.536068452
2013,DOUGLAS,NV,9356.78996692
2013,ELKO,NV,6985.969891421
2013,HUMBOLDT,NV,2824.967391526
2013,LANDER,NV,810.4554468040001
2013,LINCOLN,NV,1086.63594996
2013,LYON,NV,9513.960982820001
2013,MINERAL,NV,890.626251539
2013,NYE,NV,12564.062126633
2013,PERSHING,NV,455.338825401
2013,WASHOE,NV,71764.767180674
2013,WHITE PINE,NV,2916.627936425
2014,CARSON CITY,NV,12193.166555546
2014,CHURCHILL,NV,5724.582800786
2014,CLARK,NV,462580.597713275
2014,DOUGLAS,NV,9300.145136226
2014,ELKO,NV,6379.396562665
2014,HUMBOLDT,NV,3111.273024889
2014,LANDER,NV,750.596269361
2014,LINCOLN,NV,1129.33776028
2014,LYON,NV,9691.174402061
2014,MINERAL,NV,947.6863321650001
2014,NYE,NV,12725.276020848
2014,PERSHING,NV,393.841070751
2014,WASHOE,NV,71763.13994245601
2014,WHITE PINE,NV,2947.377160575
2015,CARSON CITY,NV,12540.151149262001
2015,CHURCHILL,NV,5305.921568117
2015,CLARK,NV,338780.830257077
2015,DOUGLAS,NV,8227.566726261
2015,ELKO,NV,5265.041123534
2015,HUMBOLDT,NV,2150.211317893
2015,LANDER,NV,699.075482885
2015,LINCOLN,NV,976.773050441
2015,LYON,NV,9184.874997509
2015,MINERAL,NV,879.689592941
2015,NYE,NV,11628.784234384
2015,PERSHING,NV,392.007249288
2015,WASHOE,NV,250005.670615134
