year,BUYER_COUNTY,BUYER_STATE,strength
2006,ALBANY,NY,25182.46404478
2006,ALLEGANY,NY,5677.585067505
2006,BRONX,NY,30579.501844179
2006,BROOME,NY,20928.196449126
2006,CATTARAUGUS,NY,11778.271358888
2006,CAYUGA,NY,4324.343715411
2006,CHAUTAUQUA,NY,19284.193151906
2006,CHEMUNG,NY,5868.086415214
2006,CHENANGO,NY,4227.9880338250005
2006,CLINTON,NY,70413.690452657
2006,COLUMBIA,NY,5734.97357923
2006,CORTLAND,NY,3584.938839558
2006,DELAWARE,NY,56061139.9116173
2006,DUTCHESS,NY,17954.088728199
2006,ERIE,NY,275791.664007974
2006,ESSEX,NY,2399.976989021
2006,FRANKLIN,NY,3717.129607968
2006,FULTON,NY,5710.65166389
2006,GENESEE,NY,5888.176605251
2006,GREENE,NY,4792.085983276
2006,HAMILTON,NY,4.38915
2006,HERKIMER,NY,5243.163693948
2006,JEFFERSON,NY,7003.603756638
2006,KINGS,NY,64347.88869423
2006,LEWIS,NY,824.097336153
2006,LIVINGSTON,NY,3696.528086005
2006,MADISON,NY,5442.016703457
2006,MONROE,NY,2086713.4525814771
2006,MONTGOMERY,NY,5594.792330364
2006,NASSAU,NY,125497.600024607
2006,NEW YORK,NY,427025.815145308
2006,NIAGARA,NY,365005.613856063
2006,ONEIDA,NY,22617.54780227
2006,ONONDAGA,NY,350815.51005062
2006,ONTARIO,NY,10215.880737883
2006,ORANGE,NY,30491.288892351
2006,ORLEANS,NY,4789.103239019
2006,OSWEGO,NY,9351.75945208
2006,OTSEGO,NY,6599.298864236001
2006,PUTNAM,NY,139007.052682228
2006,QUEENS,NY,238259.041743999
2006,RENSSELAER,NY,921922.640515507
2006,RICHMOND,NY,33497.866012295
2006,ROCKLAND,NY,13396.680814038
2006,SAINT LAWRENCE,NY,39142.731440449
2006,SARATOGA,NY,16318.531251482
2006,SCHENECTADY,NY,10214.028069541
2006,SCHOHARIE,NY,3936.302295632
2006,SCHUYLER,NY,1609.369246077
2006,SENECA,NY,3163.816047918
2006,STEUBEN,NY,8879.502115458
2006,SUFFOLK,NY,597705.976966911
2006,SULLIVAN,NY,9952.402980402001
2006,TIOGA,NY,2093.426977642
2006,TOMPKINS,NY,5621.393710571
2006,ULSTER,NY,14688.078086405001
2006,WARREN,NY,7876.772605037
2006,WASHINGTON,NY,4181.893802481
2006,WAYNE,NY,7272.93528154
2006,WESTCHESTER,NY,39164.953170719
2006,WYOMING,NY,4870.23518811
2006,YATES,NY,1593.142389579
2007,ALBANY,NY,27152.122908903002
2007,ALLEGANY,NY,5975.264554824
2007,BRONX,NY,37408.524047314
2007,BROOME,NY,23451.128868893
2007,CATTARAUGUS,NY,13140.208055699
2007,CAYUGA,NY,4893.217741228
2007,CHAUTAUQUA,NY,23216.646290554
2007,CHEMUNG,NY,6253.101228057
2007,CHENANGO,NY,5124.484190672
2007,CLINTON,NY,52002.074431398
2007,COLUMBIA,NY,5727.098703173
2007,CORTLAND,NY,3953.645240826
2007,DELAWARE,NY,49521534.67943854
2007,DUTCHESS,NY,20276.100283570002
2007,ERIE,NY,309159.154596021
2007,ESSEX,NY,2176.5189155030002
2007,FRANKLIN,NY,4034.951325419
2007,FULTON,NY,6444.750164421
2007,GENESEE,NY,6342.4060696060005
2007,GREENE,NY,5723.65720251
2007,HAMILTON,NY,6.6594
2007,HERKIMER,NY,6464.381286307
2007,JEFFERSON,NY,7984.057716568
2007,KINGS,NY,70177.202583173
2007,LEWIS,NY,852.36861171
2007,LIVINGSTON,NY,4144.753910331
2007,MADISON,NY,6259.539878676
2007,MONROE,NY,1894766.086502017
2007,MONTGOMERY,NY,6012.606711598
2007,NASSAU,NY,85886.601111768
2007,NEW YORK,NY,344109.00911225297
2007,NIAGARA,NY,180094.904786262
2007,ONEIDA,NY,24984.464887821
2007,ONONDAGA,NY,326002.628221863
2007,ONTARIO,NY,10774.572352185
2007,ORANGE,NY,29258.026091509
2007,ORLEANS,NY,5842.443935513
2007,OSWEGO,NY,11281.421101665
2007,OTSEGO,NY,7205.344869617
2007,PUTNAM,NY,172646.71744380798
2007,QUEENS,NY,272251.521912576
2007,RENSSELAER,NY,14131.390632939001
2007,RICHMOND,NY,36135.001938899
2007,ROCKLAND,NY,13995.61541508
2007,SAINT LAWRENCE,NY,37436.791205851
