year,BUYER_COUNTY,BUYER_STATE,strength
2006,ADAMS,OH,3550.462451203
2006,ALLEN,OH,6605.616682758
2006,ASHLAND,OH,2037.907748653
2006,ASHTABULA,OH,5938.978111294
2006,ATHENS,OH,6506.996414349
2006,AUGLAIZE,OH,2575.06019298
2006,BELMONT,OH,6684.21546116
2006,BROWN,OH,4542.968730433
2006,BUTLER,OH,39468.706389854
2006,CARROLL,OH,1072.491492932
2006,CHAMPAIGN,OH,2122.999428767
2006,CLARK,OH,13403.565704282
2006,CLERMONT,OH,18053.241650657
2006,CLINTON,OH,4596.240765477
2006,COLUMBIANA,OH,7745.718101311
2006,COSHOCTON,OH,1799.491652822
2006,CRAWFORD,OH,2921.1953812330003
2006,CUYAHOGA,OH,59932.51372926
2006,DARKE,OH,2356.005549806
2006,DEFIANCE,OH,2332.641070574
2006,DELAWARE,OH,12136.575744295
2006,ERIE,OH,6401.497808196
2006,FAIRFIELD,OH,9522.617083247
2006,FAYETTE,OH,231128.594096057
2006,FRANKLIN,OH,5055440.563028474
2006,FULTON,OH,1777.537375718
2006,GALLIA,OH,6933.765620976
2006,GEAUGA,OH,4087.0416186420002
2006,GREENE,OH,12129.216863661
2006,GUERNSEY,OH,3387.883457403
2006,HAMILTON,OH,281746.914103724
2006,HANCOCK,OH,113840.50667937999
2006,HARDIN,OH,2367.094131706
2006,HARRISON,OH,684.499458594
2006,HENRY,OH,994.268969041
2006,HIGHLAND,OH,4330.270937037
2006,HOCKING,OH,2238.664123686
2006,HOLMES,OH,768.342256886
2006,HURON,OH,4182.045379962
2006,JACKSON,OH,9657.373857671
2006,JEFFERSON,OH,6163.705568706
2006,KNOX,OH,3945.255301043
2006,LAKE,OH,12569.191716663001
2006,LAWRENCE,OH,10255.964925885
2006,LICKING,OH,8750.508365683
2006,LOGAN,OH,3165.255677339
2006,LORAIN,OH,15662.349570759001
2006,LUCAS,OH,631198.596867497
2006,MADISON,OH,2916.425134085
2006,MAHONING,OH,23218.714163087
2006,MARION,OH,4852.456841868
2006,MEDINA,OH,38540.76541454
2006,MEIGS,OH,4186.254022106
2006,MERCER,OH,1593.916754231
2006,MIAMI,OH,6980.644958051
2006,MONROE,OH,753.7722472410001
2006,MONTGOMERY,OH,63871.991115382996
2006,MORGAN,OH,805.247822221
2006,MORROW,OH,1426.019109091
2006,MUSKINGUM,OH,601867.422406868
2006,NOBLE,OH,946.210906896
2006,OTTAWA,OH,2151.498839895
2006,PAULDING,OH,763.038024224
2006,PERRY,OH,3053.298909969
2006,PICKAWAY,OH,3866.963106581
2006,PIKE,OH,3807.630728472
2006,PORTAGE,OH,8418.442971002
2006,PREBLE,OH,4120.892030313
2006,PUTNAM,OH,1579.538595296
2006,RICHLAND,OH,6976.004463217
2006,ROSS,OH,7927.212074522
2006,SANDUSKY,OH,2962.661379704
2006,SCIOTO,OH,12723.20708125
2006,SENECA,OH,3742.478239853
2006,SHELBY,OH,2776.267153972
2006,STARK,OH,30177.24939093
2006,SUMMIT,OH,41318.785110005
2006,TRUMBULL,OH,28749.612085525
2006,TUSCARAWAS,OH,6966.655713121
2006,UNION,OH,2790.19283611
2006,VAN WERT,OH,1950.727500595
2006,VINTON,OH,399.960095859
2006,WARREN,OH,54383.317775022
2006,WASHINGTON,OH,7048.897453596001
2006,WAYNE,OH,5183.891005822
2006,WILLIAMS,OH,1455.340978057
2006,WOOD,OH,485197.267337613
2006,WYANDOT,OH,791.364497634
2007,ADAMS,OH,3847.891832011
2007,ALLEN,OH,7776.430232521
2007,ASHLAND,OH,2440.97147641
2007,ASHTABULA,OH,6537.720686839
2007,ATHENS,OH,5250.829065607
2007,AUGLAIZE,OH,2766.111203038
2007,BELMONT,OH,8476.872736916
2007,BROWN,OH,4437.067915639
2007,BUTLER,OH,43266.901201369
2007,CARROLL,OH,1218.599270605
2007,CHAMPAIGN,OH,2540.3625564100003
2007,CLARK,OH,15082.07621601
2007,CLERMONT,OH,20859.218475381
2007,CLINTON,OH,5424.768404582
2007,COLUMBIANA,OH,9333.964387931
2007,COSHOCTON,OH,2116.7833659860003
2007,CRAWFORD,OH,3573.3546442780003
2007,CUYAHOGA,OH,69411.895434677
2007,DARKE,OH,2888.016355826
2007,DEFIANCE,OH,2570.878806012
2007,DELAWARE,OH,14334.868244144
2007,ERIE,OH,6727.081647543
2007,FAIRFIELD,OH,11052.080419496
2007,FAYETTE,OH,254683.01319327
2007,FRANKLIN,OH,6043385.050912265
2007,FULTON,OH,2076.993024165
2007,GALLIA,OH,7933.616309135
2007,GEAUGA,OH,4328.0839544420005
2007,GREENE,OH,14183.935041306
2007,GUERNSEY,OH,4085.920518
2007,HAMILTON,OH,289851.460279958
2007,HANCOCK,OH,148045.409293987
2007,HARDIN,OH,2616.6448710160003
2007,HARRISON,OH,790.578825211
2007,HENRY,OH,1096.200233109
2007,HIGHLAND,OH,5169.615782494
2007,HOCKING,OH,2836.777350343
2007,HOLMES,OH,964.279893108
2007,HURON,OH,5240.973371768
2007,JACKSON,OH,9763.457452265
2007,JEFFERSON,OH,6997.2697574250005
2007,KNOX,OH,4770.177547
2007,LAKE,OH,14760.937695328
2007,LAWRENCE,OH,11722.357618191
2007,LICKING,OH,9949.966335014
2007,LOGAN,OH,3987.256231297
2007,LORAIN,OH,41956.488161707
2007,LUCAS,OH,938317.345028378
2007,MADISON,OH,3164.387503382
2007,MAHONING,OH,26455.959032613002
2007,MARION,OH,5852.066504879
2007,MEDINA,OH,35007.36802206
2007,MEIGS,OH,4858.809921702
2007,MERCER,OH,1848.947841554
2007,MIAMI,OH,7923.340204731
2007,MONROE,OH,741.817253126
2007,MONTGOMERY,OH,63877.824475324
2007,MORGAN,OH,802.9633116910001
2007,MORROW,OH,1519.072753456
2007,MUSKINGUM,OH,505020.620791281
2007,NOBLE,OH,933.70016743
2007,OTTAWA,OH,2383.799073621
2007,PAULDING,OH,849.633456294
2007,PERRY,OH,3590.716531245
2007,PICKAWAY,OH,4298.694366978
2007,PIKE,OH,3233.032454535
2007,PORTAGE,OH,9456.917228554
2007,PREBLE,OH,4708.164825163
2007,PUTNAM,OH,1659.542627145
2007,RICHLAND,OH,8024.354689979
2007,ROSS,OH,9449.935115686
2007,SANDUSKY,OH,3472.17928461
2007,SCIOTO,OH,13843.496882445
2007,SENECA,OH,4056.816054623
2007,SHELBY,OH,3701.246540971
2007,STARK,OH,34636.879225936
2007,SUMMIT,OH,47332.62257796
2007,TRUMBULL,OH,31946.747340061
2007,TUSCARAWAS,OH,7205.300949375
2007,UNION,OH,3228.308072634
2007,VAN WERT,OH,2061.998660157
2007,VINTON,OH,438.067685517
2007,WARREN,OH,58137.163540838
2007,WASHINGTON,OH,8272.370990487
2007,WAYNE,OH,6073.435408105
2007,WILLIAMS,OH,1635.655262527
2007,WOOD,OH,480135.880224796
2007,WYANDOT,OH,840.474132013
2008,ADAMS,OH,4304.462022787
2008,ALLEN,OH,9023.364208589
2008,ASHLAND,OH,2593.3139998760003
2008,ASHTABULA,OH,7014.681576604
2008,ATHENS,OH,5837.082881957
2008,AUGLAIZE,OH,2845.795408081
2008,BELMONT,OH,9476.194539809
2008,BROWN,OH,4652.340908141
2008,BUTLER,OH,43660.579800086
2008,CARROLL,OH,1158.944587623
2008,CHAMPAIGN,OH,2648.464789276
2008,CLARK,OH,15753.104369239
2008,CLERMONT,OH,22363.801785223
2008,CLINTON,OH,5976.793623756
2008,COLUMBIANA,OH,10183.902292095001
2008,COSHOCTON,OH,2131.912455801
2008,CRAWFORD,OH,3931.838031697
2008,CUYAHOGA,OH,74874.230081162
2008,DARKE,OH,3283.750658519
2008,DEFIANCE,OH,2452.9005858210003
2008,DELAWARE,OH,15324.393315987
2008,ERIE,OH,7343.643209354
2008,FAIRFIELD,OH,12208.02788571
2008,FAYETTE,OH,387241.605894328
2008,FRANKLIN,OH,6435470.164875601
2008,FULTON,OH,2269.941137203
2008,GALLIA,OH,8317.988702776
2008,GEAUGA,OH,4794.847468673001
2008,GREENE,OH,15520.089824767
2008,GUERNSEY,OH,4680.636499198
2008,HAMILTON,OH,420045.707743947
2008,HANCOCK,OH,149890.249679066
2008,HARDIN,OH,2609.056987642
2008,HARRISON,OH,950.340213698
2008,HENRY,OH,1070.892541874
2008,HIGHLAND,OH,5815.377440249
2008,HOCKING,OH,2919.551885981
2008,HOLMES,OH,817.720872538
2008,HURON,OH,5541.674844861
2008,JACKSON,OH,7213.5236106
2008,JEFFERSON,OH,7192.923856043
2008,KNOX,OH,4984.083410649
2008,LAKE,OH,16473.047184718
2008,LAWRENCE,OH,12256.479402925
2008,LICKING,OH,10347.512417347
2008,LOGAN,OH,4276.402481258
2008,LORAIN,OH,46655.255400976
2008,LUCAS,OH,342951.246470743
2008,MADISON,OH,3424.503838609
2008,MAHONING,OH,28997.11442521
2008,MARION,OH,6292.509061825
2008,MEDINA,OH,45441.126249179004
2008,MEIGS,OH,4681.861455589
2008,MERCER,OH,1895.383299801
2008,MIAMI,OH,8879.497231954
2008,MONROE,OH,750.330342023
2008,MONTGOMERY,OH,78915.278312887
2008,MORGAN,OH,935.242769058
2008,MORROW,OH,1663.902114371
2008,MUSKINGUM,OH,384016.662107774
2008,NOBLE,OH,1360.690949693
2008,OTTAWA,OH,2586.695482589
2008,PAULDING,OH,922.664162553
2008,PERRY,OH,4041.914920065
2008,PICKAWAY,OH,4692.243513868
2008,PIKE,OH,3083.2839562050003
2008,PORTAGE,OH,10498.281774406
2008,PREBLE,OH,5274.236281268
2008,PUTNAM,OH,1875.527038616
2008,RICHLAND,OH,8548.476657188
2008,ROSS,OH,10376.658515679
2008,SANDUSKY,OH,3825.715402767
2008,SCIOTO,OH,13917.306576663
2008,SENECA,OH,4381.999036224
2008,SHELBY,OH,3825.893226592
2008,STARK,OH,38497.902967144
2008,SUMMIT,OH,49161.386593881
2008,TRUMBULL,OH,35438.920744631
2008,TUSCARAWAS,OH,7699.353807081
2008,UNION,OH,3556.513387105
2008,VAN WERT,OH,2288.86075897
