year,BUYER_COUNTY,BUYER_STATE,strength
2006,ADAIR,OK,2055.301060297
2006,ALFALFA,OK,242.129131833
2006,ATOKA,OK,2327.1811949890002
2006,BEAVER,OK,293.940977714
2006,BECKHAM,OK,6495.441503498
2006,BLAINE,OK,567.734017376
2006,BRYAN,OK,8277.041301414
2006,CADDO,OK,4859.590294829
2006,CANADIAN,OK,13316.740374048
2006,CARTER,OK,11885.630058581
2006,CHEROKEE,OK,6018.79468237
2006,CHOCTAW,OK,3826.129912786
2006,CIMARRON,OK,193.88738319200002
2006,CLEVELAND,OK,32491.286074891
2006,COAL,OK,518.636687935
2006,COMANCHE,OK,16742.81726928
2006,COTTON,OK,407.860333501
2006,CRAIG,OK,1950.721491999
2006,CREEK,OK,13936.315574218
2006,CUSTER,OK,4072.28138419
2006,DELAWARE,OK,3667.8333757650003
2006,DEWEY,OK,341.502059877
2006,ELLIS,OK,322.79768536800003
2006,GARFIELD,OK,7450.044151622
2006,GARVIN,OK,5831.462378872
2006,GRADY,OK,5354.405416169
2006,GRANT,OK,110.253918668
2006,GREER,OK,1689.326613617
2006,HARMON,OK,841.817979656
2006,HARPER,OK,333.761481157
2006,HASKELL,OK,2720.5196737300002
2006,HUGHES,OK,2189.639727114
2006,JACKSON,OK,4456.398775598
2006,JEFFERSON,OK,2549.722438535
2006,JOHNSTON,OK,2211.307271754
2006,KAY,OK,131019.360207709
2006,KINGFISHER,OK,1841.919970984
2006,KIOWA,OK,1616.9265414210001
2006,LATIMER,OK,3091.580326798
2006,LE FLORE,OK,9142.52423535
2006,LINCOLN,OK,3237.236791483
2006,LOGAN,OK,2785.698945782
2006,LOVE,OK,1243.114824274
2006,MAJOR,OK,315.670964735
2006,MARSHALL,OK,1878.590257008
2006,MAYES,OK,8614.792695743
2006,MCCLAIN,OK,10225.313790094
2006,MCCURTAIN,OK,11590.842491127
2006,MCINTOSH,OK,4298.985349803
2006,MURRAY,OK,3052.695373046
2006,MUSKOGEE,OK,16274.324881818
2006,NOBLE,OK,1181.037604249
2006,NOWATA,OK,918.130574162
2006,OKFUSKEE,OK,2393.032132592
2006,OKLAHOMA,OK,485606.462972263
2006,OKMULGEE,OK,6124.979291212
2006,OSAGE,OK,2269.013835328
2006,OTTAWA,OK,3939.103031291
2006,PAWNEE,OK,2487.132557562
2006,PAYNE,OK,12449.37535959
2006,PITTSBURG,OK,8693.599786676
2006,PONTOTOC,OK,6513.3746767190005
2006,POTTAWATOMIE,OK,14429.226915726
2006,PUSHMATAHA,OK,1412.519990831
2006,ROGER MILLS,OK,366.656721392
2006,ROGERS,OK,14125.681983461
2006,SEMINOLE,OK,4327.96361876
2006,SEQUOYAH,OK,6319.037717427
2006,STEPHENS,OK,11900.979703817
2006,TEXAS,OK,2620.551737504
2006,TILLMAN,OK,1676.268555821
2006,TULSA,OK,154004.238635725
2006,WAGONER,OK,6257.964239189
2006,WASHINGTON,OK,8644.251861931
2006,WASHITA,OK,465.23891389600004
2006,WOODS,OK,1691.80448116
2006,WOODWARD,OK,2514.449963871
2007,ADAIR,OK,2568.096168923
2007,ALFALFA,OK,240.85912016
2007,ATOKA,OK,2237.948744435
2007,BEAVER,OK,350.198188785
2007,BECKHAM,OK,7727.6096467200005
2007,BLAINE,OK,732.333693412
2007,BRYAN,OK,11096.731853918
2007,CADDO,OK,5491.639081825
2007,CANADIAN,OK,15377.719764373
2007,CARTER,OK,21260.718426049
2007,CHEROKEE,OK,7634.020343881
2007,CHOCTAW,OK,3856.929139719
2007,CIMARRON,OK,180.315228789
2007,CLEVELAND,OK,39919.087213381
2007,COAL,OK,494.847913699
2007,COMANCHE,OK,18095.122600667
2007,COTTON,OK,513.1398971460001
2007,CRAIG,OK,2277.979797775
2007,CREEK,OK,16842.307839311
2007,CUSTER,OK,4611.990195271
2007,DELAWARE,OK,4320.867027014
2007,DEWEY,OK,380.97299439700004
2007,ELLIS,OK,399.811182244
2007,GARFIELD,OK,9086.347346044
2007,GARVIN,OK,6703.166393163
2007,GRADY,OK,6539.293119462
2007,GRANT,OK,138.45783288
2007,GREER,OK,2171.238706565
2007,HARMON,OK,682.32652565
2007,HARPER,OK,339.256486163
2007,HASKELL,OK,3202.075695395
2007,HUGHES,OK,2443.6636669590002
2007,JACKSON,OK,6046.576434213
2007,JEFFERSON,OK,2498.675020439
2007,JOHNSTON,OK,3095.717560298
2007,KAY,OK,111779.7579071
2007,KINGFISHER,OK,2333.935311134
2007,KIOWA,OK,2325.473782487
2007,LATIMER,OK,3208.532585948
2007,LE FLORE,OK,10829.182839292
2007,LINCOLN,OK,4371.526746453
2007,LOGAN,OK,3549.843556909
2007,LOVE,OK,1388.986781417
2007,MAJOR,OK,423.706390586
2007,MARSHALL,OK,3206.032830404
2007,MAYES,OK,10126.3530763
2007,MCCLAIN,OK,11049.648096077
2007,MCCURTAIN,OK,10601.833847709
2007,MCINTOSH,OK,4828.973282064
2007,MURRAY,OK,3340.044270402
2007,MUSKOGEE,OK,19197.020414553
2007,NOBLE,OK,1841.862966102
2007,NOWATA,OK,1090.189456098
2007,OKFUSKEE,OK,2129.940600521
2007,OKLAHOMA,OK,563187.899292111
2007,OKMULGEE,OK,7780.296304566
2007,OSAGE,OK,2833.986641545
2007,OTTAWA,OK,4319.088903378
2007,PAWNEE,OK,2836.038623333
2007,PAYNE,OK,15296.043444431
2007,PITTSBURG,OK,10736.20103439
2007,PONTOTOC,OK,7830.042639873001
2007,POTTAWATOMIE,OK,16586.065818738
2007,PUSHMATAHA,OK,1896.4372784079999
2007,ROGER MILLS,OK,494.353494607
2007,ROGERS,OK,17373.12294278
2007,SEMINOLE,OK,5225.258449707
2007,SEQUOYAH,OK,7160.858019667
2007,STEPHENS,OK,14099.940697628
2007,TEXAS,OK,3054.564634256
2007,TILLMAN,OK,1907.967097042
2007,TULSA,OK,150972.929235165
2007,WAGONER,OK,6826.244496038
2007,WASHINGTON,OK,9793.400148254
2007,WASHITA,OK,604.8739524050001
2007,WOODS,OK,1419.195628852
2007,WOODWARD,OK,2845.363357966
2008,ADAIR,OK,3084.0264914120003
2008,ALFALFA,OK,401.286158529
2008,ATOKA,OK,2425.892038093
2008,BEAVER,OK,402.54691833
2008,BECKHAM,OK,7485.346210789
2008,BLAINE,OK,1088.735616218
2008,BRYAN,OK,12492.000962113
2008,CADDO,OK,5800.9779030810005
2008,CANADIAN,OK,15980.297648348
2008,CARTER,OK,13956.952712133001
2008,CHEROKEE,OK,9039.562862647
2008,CHOCTAW,OK,4732.287995319
2008,CIMARRON,OK,174.070695678
2008,CLEVELAND,OK,41356.60244145
2008,COAL,OK,531.75256996
2008,COMANCHE,OK,20097.293626604
2008,COTTON,OK,632.12528206
2008,CRAIG,OK,2498.962156298
