year,BUYER_COUNTY,BUYER_STATE,strength
2006,BAKER,OR,2859.168131424
2006,BENTON,OR,4500.120293669
2006,CLACKAMAS,OR,214306.532569999
2006,CLATSOP,OR,5676.340021138
2006,COLUMBIA,OR,3705.257256397
2006,COOS,OR,11223.211420926
2006,CROOK,OR,2150.228827499
2006,CURRY,OR,5696.431499
2006,DESCHUTES,OR,14877.753020739001
2006,DOUGLAS,OR,17909.68210337
2006,GILLIAM,OR,160.36319524
2006,GRANT,OR,579.260500853
2006,HARNEY,OR,773.648894236
2006,HOOD RIVER,OR,2246.658902988
2006,JACKSON,OR,33536.103051268
2006,JEFFERSON,OR,1760.711002835
2006,JOSEPHINE,OR,16398.229555084
2006,KLAMATH,OR,11082.589509917
2006,LAKE,OR,1084.05646464
2006,LANE,OR,41433.748386169
2006,LINCOLN,OR,8175.38254441
2006,LINN,OR,11726.790595611
2006,MALHEUR,OR,4371.184603508
2006,MARION,OR,22813.845503279
2006,MORROW,OR,613.9329017
2006,MULTNOMAH,OR,106873.16054244801
2006,POLK,OR,4010.780932143
2006,SHERMAN,OR,9.9891
2006,TILLAMOOK,OR,5158.956380316
2006,UMATILLA,OR,6910.388850329
2006,UNION,OR,2552.8728414800003
2006,WALLOWA,OR,759.6144096730001
2006,WASCO,OR,4486.683158545
2006,WASHINGTON,OR,36145.335271457
2006,YAMHILL,OR,7970.049743994
2007,BAKER,OR,2928.5614837900002
2007,BENTON,OR,4865.212379085
2007,CLACKAMAS,OR,236024.991540678
2007,CLATSOP,OR,5858.408736376
2007,COLUMBIA,OR,4306.070627873
2007,COOS,OR,13337.950757246
2007,CROOK,OR,2649.783491945
2007,CURRY,OR,6698.341250088
2007,DESCHUTES,OR,16934.8688249
2007,DOUGLAS,OR,18306.085459863
2007,GILLIAM,OR,209.78420516
2007,GRANT,OR,652.9718543280001
2007,HARNEY,OR,757.69074277
2007,HOOD RIVER,OR,2566.816495255
2007,JACKSON,OR,34687.662384494
2007,JEFFERSON,OR,2096.188134029
2007,JOSEPHINE,OR,16972.15719629
2007,KLAMATH,OR,11451.035371489
2007,LAKE,OR,1271.721943315
2007,LANE,OR,40246.314552652
2007,LINCOLN,OR,8319.853932028
2007,LINN,OR,13487.535533134
2007,MALHEUR,OR,5500.988657347
2007,MARION,OR,25173.29707341
2007,MORROW,OR,570.264728644
2007,MULTNOMAH,OR,110053.926607996
2007,POLK,OR,5019.272293182
2007,SHERMAN,OR,10.80639
2007,TILLAMOOK,OR,4795.70433868
2007,UMATILLA,OR,7779.474886972001
2007,UNION,OR,3012.123459116
