year,BUYER_COUNTY,BUYER_STATE,strength
2006,ADAMS,PA,3180.656344256
2006,ALLEGHENY,PA,131377.156982713
2006,ARMSTRONG,PA,6118.961515289
2006,BEAVER,PA,16022.936732953
2006,BEDFORD,PA,3594.629772871
2006,BERKS,PA,15540.733108691
2006,BLAIR,PA,95758.422845387
2006,BRADFORD,PA,4113.907728218001
2006,BUCKS,PA,810292.315496811
2006,BUTLER,PA,10421.749359576
2006,CAMBRIA,PA,12428.683663392001
2006,CAMERON,PA,602.346682293
2006,CARBON,PA,5597.40499121
2006,CENTRE,PA,5354.2746637420005
2006,CHESTER,PA,30872.187739802
2006,CLARION,PA,2335.489869373
2006,CLEARFIELD,PA,6519.462833087
2006,CLINTON,PA,4717.05145266
2006,COLUMBIA,PA,2312.845341529
2006,CRAWFORD,PA,6921.715716393
2006,CUMBERLAND,PA,12836.838406861
2006,DAUPHIN,PA,16126.161214047
2006,DELAWARE,PA,30236.433445265
2006,ELK,PA,2465.020655305
2006,ERIE,PA,30321.949254148
2006,FAYETTE,PA,19477.155042676
2006,FOREST,PA,370.664767159
2006,FRANKLIN,PA,4490.111924263
2006,FULTON,PA,668.310102451
2006,GREENE,PA,2915.93971599
2006,HUNTINGDON,PA,1443.075517555
2006,INDIANA,PA,12853.464748969
2006,JEFFERSON,PA,2648.326946833
2006,JUNIATA,PA,1210.802026095
2006,LACKAWANNA,PA,25569.060006665
2006,LANCASTER,PA,649438.209439234
2006,LAWRENCE,PA,146125.75161166
2006,LEBANON,PA,5088.639031558
2006,LEHIGH,PA,34332.705787672
2006,LUZERNE,PA,36336.419288318
2006,LYCOMING,PA,6775.475609146
2006,MCKEAN,PA,3741.438793634
2006,MERCER,PA,13214.177203794
2006,MIFFLIN,PA,3237.126253486
2006,MONROE,PA,7846.907301511
2006,MONTGOMERY,PA,397498.659491093
2006,MONTOUR,PA,515.902600677
2006,NORTHAMPTON,PA,281910.589579258
2006,NORTHUMBERLAND,PA,4981.4650135580005
2006,PERRY,PA,2749.8227413150003
2006,PHILADELPHIA,PA,1290243.101957165
2006,PIKE,PA,3605.968618882
2006,POTTER,PA,1409.904647477
2006,SCHUYLKILL,PA,8346.011022692
2006,SNYDER,PA,1220.772360173
2006,SOMERSET,PA,4056.507990739
2006,SULLIVAN,PA,136.611456233
2006,SUSQUEHANNA,PA,2097.112955708
2006,TIOGA,PA,2155.0418784060003
2006,UNION,PA,1421.97917203
2006,VENANGO,PA,3704.971120771
2006,WARREN,PA,1972.384292362
2006,WASHINGTON,PA,15799.906630657
2006,WAYNE,PA,3646.824797215
2006,WESTMORELAND,PA,29341.700714239
2006,WYOMING,PA,2052.178776353
2006,YORK,PA,16374.773082158
2007,ADAMS,PA,3320.603559579
2007,ALLEGHENY,PA,144321.177429596
2007,ARMSTRONG,PA,6081.639163721
2007,BEAVER,PA,17775.508929474
2007,BEDFORD,PA,4312.1617602490005
2007,BERKS,PA,17567.259770253
2007,BLAIR,PA,102716.424934535
2007,BRADFORD,PA,4500.974042433
2007,BUCKS,PA,793111.719312439
2007,BUTLER,PA,12272.319383548
2007,CAMBRIA,PA,13669.47782842
2007,CAMERON,PA,637.748706868
2007,CARBON,PA,6018.01558992
2007,CENTRE,PA,5851.561946768
2007,CHESTER,PA,31984.09362339
2007,CLARION,PA,2544.30778846
2007,CLEARFIELD,PA,6587.378456724
2007,CLINTON,PA,4720.569992845
2007,COLUMBIA,PA,2688.145582821
2007,CRAWFORD,PA,8232.595440515
2007,CUMBERLAND,PA,14370.560419775
2007,DAUPHIN,PA,17723.40106753
2007,DELAWARE,PA,35650.960040433
2007,ELK,PA,2906.169474553
2007,ERIE,PA,34819.580673413
2007,FAYETTE,PA,23800.53111311
2007,FOREST,PA,398.616640315
2007,FRANKLIN,PA,5176.56717183
2007,FULTON,PA,591.54841342
2007,GREENE,PA,4317.213108971
2007,HUNTINGDON,PA,1759.309342274
2007,INDIANA,PA,13903.219037866
2007,JEFFERSON,PA,3672.8050876790003
2007,JUNIATA,PA,1421.127358525
2007,LACKAWANNA,PA,28391.340828483
2007,LANCASTER,PA,488862.014515672
2007,LAWRENCE,PA,162503.006198323
2007,LEBANON,PA,6021.890174931
2007,LEHIGH,PA,27350.062441702
2007,LUZERNE,PA,44840.533531795
2007,LYCOMING,PA,7825.0456600590005
2007,MCKEAN,PA,4631.566127019
2007,MERCER,PA,13809.142232408
2007,MIFFLIN,PA,3594.911084882
2007,MONROE,PA,9655.176142821
2007,MONTGOMERY,PA,468066.651068679
2007,MONTOUR,PA,664.565952143
2007,NORTHAMPTON,PA,281570.670176539
2007,NORTHUMBERLAND,PA,4808.90206929
2007,PERRY,PA,3076.088117382
2007,PHILADELPHIA,PA,1555789.5846688559
2007,PIKE,PA,3909.474246098
2007,POTTER,PA,1628.376976607
2007,SCHUYLKILL,PA,10231.047792312
2007,SNYDER,PA,1315.705277453
2007,SOMERSET,PA,4549.367734514
2007,SULLIVAN,PA,146.185373582
2007,SUSQUEHANNA,PA,2186.966567776
2007,TIOGA,PA,2467.897392035
2007,UNION,PA,1713.070643788
2007,VENANGO,PA,4393.736819082
2007,WARREN,PA,2369.973412788
2007,WASHINGTON,PA,19167.938418156
2007,WAYNE,PA,3882.608669613
2007,WESTMORELAND,PA,33658.339663396
2007,WYOMING,PA,2349.1360409540002
2007,YORK,PA,18351.342138905
2008,ADAMS,PA,3662.094863504
2008,ALLEGHENY,PA,161809.603861083
2008,ARMSTRONG,PA,6725.075074385
2008,BEAVER,PA,18194.143623201
2008,BEDFORD,PA,4627.90848158
2008,BERKS,PA,19029.967431559002
2008,BLAIR,PA,109931.370314284
2008,BRADFORD,PA,5018.848969829
2008,BUCKS,PA,453800.130285202
2008,BUTLER,PA,13284.002942566
2008,CAMBRIA,PA,14540.118424326
2008,CAMERON,PA,733.848736358
2008,CARBON,PA,6444.959851597
2008,CENTRE,PA,6725.060008498001
2008,CHESTER,PA,18939.613355587
2008,CLARION,PA,2844.903173744
2008,CLEARFIELD,PA,7280.633208212
2008,CLINTON,PA,4520.568956328
2008,COLUMBIA,PA,3242.8361904050003
2008,CRAWFORD,PA,11485.249764785
2008,CUMBERLAND,PA,16675.315825359
2008,DAUPHIN,PA,19557.58643086
2008,DELAWARE,PA,35311.634782544
2008,ELK,PA,3227.053382123
2008,ERIE,PA,39382.52254037
2008,FAYETTE,PA,26836.636008393
2008,FOREST,PA,498.581170562
2008,FRANKLIN,PA,5986.3561945930005
2008,FULTON,PA,701.880796192
2008,GREENE,PA,3844.994902023
2008,HUNTINGDON,PA,1930.093440523
2008,INDIANA,PA,16277.09067179
2008,JEFFERSON,PA,3500.249713839
2008,JUNIATA,PA,1516.3268412920002
2008,LACKAWANNA,PA,31804.039904196
2008,LANCASTER,PA,649466.752523707
2008,LAWRENCE,PA,188661.221933635
2008,LEBANON,PA,6636.439656351
2008,LEHIGH,PA,26888.420197899
2008,LUZERNE,PA,47254.798021974
2008,LYCOMING,PA,8827.828179252001
2008,MCKEAN,PA,5094.928852392
2008,MERCER,PA,14416.104999051
2008,MIFFLIN,PA,5084.5615640490005
2008,MONROE,PA,11009.414040364
2008,MONTGOMERY,PA,323155.85356013
2008,MONTOUR,PA,801.084681028
2008,NORTHAMPTON,PA,372322.931738014
2008,NORTHUMBERLAND,PA,5471.468218544
2008,PERRY,PA,3042.603784511
2008,PHILADELPHIA,PA,1337852.454551625
2008,PIKE,PA,4384.611124268
2008,POTTER,PA,1704.793113858
2008,SCHUYLKILL,PA,11293.850161588
2008,SNYDER,PA,1640.347080958
2008,SOMERSET,PA,5170.180777233
2008,SULLIVAN,PA,221.018106246
2008,SUSQUEHANNA,PA,2349.5391212160002
2008,TIOGA,PA,3006.71595556
2008,UNION,PA,1863.781535792
2008,VENANGO,PA,4907.776902362
2008,WARREN,PA,2755.337907995
2008,WASHINGTON,PA,21496.629192656
2008,WAYNE,PA,4685.270601514
2008,WESTMORELAND,PA,36609.505782131004
2008,WYOMING,PA,2510.83918223
2008,YORK,PA,20169.238896792
