year,BUYER_COUNTY,BUYER_STATE,strength
2006,ADJUNTAS,PR,106.85886891
2006,AGUADA,PR,128.623222543
2006,AGUADILLA,PR,311.278949597
2006,AGUAS BUENAS,PR,119.56174950900001
2006,AIBONITO,PR,136.158829748
2006,ANASCO,PR,223.560572528
2006,ARECIBO,PR,430.014177484
2006,ARROYO,PR,53.397061931
2006,BARCELONETA,PR,82.155180259
2006,BARRANQUITAS,PR,79.894197077
2006,BAYAMON,PR,1549.34383447
2006,CABO ROJO,PR,263.491910656
2006,CAGUAS,PR,4822.510831789
2006,CAMUY,PR,84.380740097
2006,CANOVANAS,PR,167.102266023
2006,CAROLINA,PR,829.023919072
2006,CATANO,PR,93.47680555800001
2006,CAYEY,PR,266.773390323
2006,CEIBA,PR,50.428751699
2006,CIALES,PR,50.886717924
2006,CIDRA,PR,144.84049421400002
2006,COAMO,PR,315.782316356
2006,COMERIO,PR,140.365927496
2006,COROZAL,PR,240.196580508
2006,CULEBRA,PR,0.6054
2006,DORADO,PR,1323.445279319
2006,FAJARDO,PR,231.230525945
2006,FLORIDA,PR,41.443404868
2006,GUANICA,PR,15.414907451
2006,GUAYAMA,PR,203.06508043600002
2006,GUAYANILLA,PR,29.660895388
2006,GUAYNABO,PR,7866.442314277
2006,GURABO,PR,145.653428772
2006,HATILLO,PR,180.527341057
2006,HORMIGUEROS,PR,168.671624263
2006,HUMACAO,PR,481.884179499
2006,ISABELA,PR,274.973976511
2006,JAYUYA,PR,48.609489123
2006,JUANA DIAZ,PR,232.93224163600001
2006,JUNCOS,PR,230.271783269
2006,LAJAS,PR,84.172035699
2006,LARES,PR,167.196166417
2006,LAS MARIAS,PR,29.277856275
2006,LAS PIEDRAS,PR,95.896874978
2006,LOIZA,PR,120.94809405000001
2006,LUQUILLO,PR,88.58469176
2006,MANATI,PR,300.54961401500003
2006,MAUNABO,PR,4.9539526
2006,MAYAGUEZ,PR,354.659987225
2006,MOCA,PR,188.305718187
2006,MOROVIS,PR,94.919116948
2006,NAGUABO,PR,101.197395205
2006,NARANJITO,PR,193.792118225
2006,OROCOVIS,PR,41.961413743
2006,PATILLAS,PR,36.852564141
2006,PENUELAS,PR,71.47526199
2006,PONCE,PR,1702.11002448
2006,QUEBRADILLAS,PR,179.813187319
2006,RINCON,PR,54.60467268
2006,RIO GRANDE,PR,68.346383829
2006,SABANA GRANDE,PR,118.33511592900001
2006,SALINAS,PR,183.109810004
2006,SAN GERMAN,PR,178.796963605
2006,SAN JUAN,PR,9265.804084515
2006,SAN LORENZO,PR,203.385073011
2006,SAN SEBASTIAN,PR,407.147972964
2006,SANTA ISABEL,PR,81.222030372
2006,TOA ALTA,PR,110.808141696
2006,TOA BAJA,PR,273.364291461
2006,TRUJILLO ALTO,PR,215.999870461
2006,UTUADO,PR,138.389472094
2006,VEGA ALTA,PR,147.83712629800002
2006,VEGA BAJA,PR,408.367583282
2006,VIEQUES,PR,16.23930302
2006,VILLALBA,PR,107.926223591
2006,YABUCOA,PR,210.831782051
2006,YAUCO,PR,231.357241162
2007,ADJUNTAS,PR,116.311442433
2007,AGUADA,PR,110.878080897
2007,AGUADILLA,PR,275.275118372
2007,AGUAS BUENAS,PR,88.484152991
2007,AIBONITO,PR,112.190655667
2007,ANASCO,PR,189.857647927
2007,ARECIBO,PR,468.79591445
2007,ARROYO,PR,20.478830194
2007,BARCELONETA,PR,109057.590775467
2007,BARRANQUITAS,PR,62.989150053
2007,BAYAMON,PR,4218.880043533
2007,CABO ROJO,PR,213.471609209
2007,CAGUAS,PR,7889.285917446
2007,CAMUY,PR,74.027258006
2007,CANOVANAS,PR,149.933089179
2007,CAROLINA,PR,867.2608176260001
2007,CATANO,PR,87.336157968
2007,CAYEY,PR,213.98569404
2007,CEIBA,PR,34.460265507
2007,CIALES,PR,45.970526439000004
2007,CIDRA,PR,124.659304605
2007,COAMO,PR,314.591369961
2007,COMERIO,PR,124.415673565
2007,COROZAL,PR,246.478962352
2007,CULEBRA,PR,1.7835084
2007,DORADO,PR,1650.772763161
2007,FAJARDO,PR,219.77771616500002
2007,FLORIDA,PR,25.599659516
2007,GUANICA,PR,14.48309107
2007,GUAYAMA,PR,163.90898043
2007,GUAYANILLA,PR,30.863361236
2007,GUAYNABO,PR,10360.339463359
2007,GURABO,PR,262.199864422
2007,HATILLO,PR,165.81958658300002
2007,HORMIGUEROS,PR,175.14574638
2007,HUMACAO,PR,472.499360032
2007,ISABELA,PR,238.515599888
2007,JAYUYA,PR,65.636755901
2007,JUANA DIAZ,PR,210.635907311
2007,JUNCOS,PR,227.370862219
2007,LAJAS,PR,100.02133805
2007,LARES,PR,165.54563288
2007,LAS MARIAS,PR,36.938445783
2007,LAS PIEDRAS,PR,98.20933469
2007,LOIZA,PR,131.60893678600002
2007,LUQUILLO,PR,106.79830810200001
2007,MANATI,PR,279.00269512200003
2007,MAUNABO,PR,2.986402594
2007,MAYAGUEZ,PR,346.157681154
2007,MOCA,PR,168.7809787
2007,MOROVIS,PR,121.834764198
2007,NAGUABO,PR,109.194270956
2007,NARANJITO,PR,188.533572794
2007,OROCOVIS,PR,37.420771343
2007,PATILLAS,PR,43.666789864
2007,PENUELAS,PR,69.361316696
2007,PONCE,PR,13619.703512114
2007,QUEBRADILLAS,PR,137.131760828
2007,RINCON,PR,37.532200381
2007,RIO GRANDE,PR,63.256679177
2007,SABANA GRANDE,PR,109.89512818300001
2007,SALINAS,PR,206.863114675
