year,BUYER_COUNTY,BUYER_STATE,strength
2006,BRISTOL,RI,1813.327530426
2006,KENT,RI,15465.106195336
2006,NEWPORT,RI,4160.701082299
2006,PROVIDENCE,RI,244291.21332196
2006,WASHINGTON,RI,7437.362731894
2007,BRISTOL,RI,2263.055246302
2007,KENT,RI,19012.412294814
2007,NEWPORT,RI,4946.406910862
2007,PROVIDENCE,RI,273655.02231779974
2007,WASHINGTON,RI,9088.128929643
2008,BRISTOL,RI,2267.490922808
2008,KENT,RI,152266.070092854
2008,NEWPORT,RI,5187.466299408
2008,PROVIDENCE,RI,292901.23229243816
2008,WASHINGTON,RI,9768.46318544
2009,BRISTOL,RI,2324.287063752
2009,KENT,RI,161589.776642285
2009,NEWPORT,RI,5322.11184793
2009,PROVIDENCE,RI,339256.0104042032
2009,WASHINGTON,RI,10344.455116022
2010,BRISTOL,RI,2337.842095033
2010,KENT,RI,249650.158021886
2010,NEWPORT,RI,4892.083438593
2010,PROVIDENCE,RI,265286.073164708
2010,WASHINGTON,RI,9811.151049405
2011,BRISTOL,RI,2317.987266594
2011,KENT,RI,397144.077943848
2011,NEWPORT,RI,5295.602812006
2011,PROVIDENCE,RI,322377.408510233
2011,WASHINGTON,RI,9872.700734092
2012,BRISTOL,RI,2194.132085025
2012,KENT,RI,187444.496313581
2012,NEWPORT,RI,4878.313468569
2012,PROVIDENCE,RI,263736.695878161
2012,WASHINGTON,RI,9263.656644986
2013,BRISTOL,RI,1984.672499703
2013,KENT,RI,617674.7236361189
2013,NEWPORT,RI,4583.349825633
2013,PROVIDENCE,RI,235702.441142208
2013,WASHINGTON,RI,8121.123330761
2014,BRISTOL,RI,1720.085337612
2014,KENT,RI,769325.662991828
2014,NEWPORT,RI,3996.129842507
2014,PROVIDENCE,RI,209980.304581066
2014,WASHINGTON,RI,6975.496120551
2015,BRISTOL,RI,1407.475518925
2015,KENT,RI,233559.92085176
2015,NEWPORT,RI,3463.604289872
2015,PROVIDENCE,RI,34639.85608529575
2015,WASHINGTON,RI,5776.139909832
2016,BRISTOL,RI,1251.4126165110001
2016,KENT,RI,669000.045896996
2016,NEWPORT,RI,3022.978644237
2016,PROVIDENCE,RI,30574.174477183
2016,WASHINGTON,RI,5217.071796968
2017,BRISTOL,RI,1057.6525862390001
2017,KENT,RI,647661.453263013
2017,NEWPORT,RI,2511.254282804
2017,PROVIDENCE,RI,24686.058402935
2017,WASHINGTON,RI,4507.765228428
2018,BRISTOL,RI,860.042031413
2018,KENT,RI,635014.953918709
2018,NEWPORT,RI,1956.6921671540001
2018,PROVIDENCE,RI,20536.401061618002
2018,WASHINGTON,RI,3780.9329207200003
2019,BRISTOL,RI,769.6902437790001
2019,KENT,RI,603142.252016063
2019,NEWPORT,RI,1776.874291609
2019,PROVIDENCE,RI,17727.693216772
2019,WASHINGTON,RI,3371.764700962
