year,BUYER_COUNTY,BUYER_STATE,strength
2006,ABBEVILLE,SC,1403.318036196
2006,AIKEN,SC,9990.556497847
2006,ALLENDALE,SC,359.481875166
2006,ANDERSON,SC,29702.232527393
2006,BAMBERG,SC,1473.766080197
2006,BARNWELL,SC,2068.329013393
2006,BEAUFORT,SC,7792.140947468
2006,BERKELEY,SC,9485.372563736
2006,CALHOUN,SC,474.205439624
2006,CHARLESTON,SC,113293.080434224
2006,CHEROKEE,SC,13361.902529178
2006,CHESTER,SC,2337.419028735
2006,CHESTERFIELD,SC,6773.1109422770005
2006,CLARENDON,SC,4816.005440347
2006,COLLETON,SC,4996.114084111
2006,DARLINGTON,SC,15141.912889979
2006,DILLON,SC,4344.475570106
2006,DORCHESTER,SC,10264.025581936
2006,EDGEFIELD,SC,332.512837194
2006,FAIRFIELD,SC,1676.334019079
2006,FLORENCE,SC,29135.843824692
2006,GEORGETOWN,SC,6794.631418194001
2006,GREENVILLE,SC,413674.915270434
2006,GREENWOOD,SC,8153.0291781020005
2006,HAMPTON,SC,2065.949912594
2006,HORRY,SC,34310.557452528
2006,JASPER,SC,1181.797669989
2006,KERSHAW,SC,3776.603459234
2006,LANCASTER,SC,5951.466561771
2006,LAURENS,SC,13461.913652408
2006,LEE,SC,1303.344145474
2006,LEXINGTON,SC,21943.203003516
2006,MARION,SC,3470.1336499520003
2006,MARLBORO,SC,2978.305516833
2006,MCCORMICK,SC,553.738353917
2006,NEWBERRY,SC,3515.44001107
2006,OCONEE,SC,20554.549946069
2006,ORANGEBURG,SC,6895.075983610001
2006,PICKENS,SC,18407.534042648
2006,RICHLAND,SC,20075.809128512
2006,SALUDA,SC,674.129216917
2006,SPARTANBURG,SC,401286.524604543
2006,SUMTER,SC,5949.2334504850005
2006,UNION,SC,6346.75197681
2006,WILLIAMSBURG,SC,1978.859573073
2006,YORK,SC,12973.394583091
2007,ABBEVILLE,SC,1558.661628549
2007,AIKEN,SC,12495.679818503
2007,ALLENDALE,SC,368.59123700600003
2007,ANDERSON,SC,96300.769832714
2007,BAMBERG,SC,1583.265576879
2007,BARNWELL,SC,2504.913290258
2007,BEAUFORT,SC,9073.377409311
2007,BERKELEY,SC,12037.149723641
2007,CALHOUN,SC,508.542978709
2007,CHARLESTON,SC,162938.709336366
2007,CHEROKEE,SC,14827.336867687
2007,CHESTER,SC,2791.767298442
2007,CHESTERFIELD,SC,8266.229101864
2007,CLARENDON,SC,4622.201138094
2007,COLLETON,SC,5641.301267613
2007,DARLINGTON,SC,18945.337197164
2007,DILLON,SC,5006.408928014
2007,DORCHESTER,SC,12574.224117994
2007,EDGEFIELD,SC,427.940629048
2007,FAIRFIELD,SC,1799.873263094
2007,FLORENCE,SC,30316.689362573
2007,GEORGETOWN,SC,7604.714566331
2007,GREENVILLE,SC,433425.257364976
2007,GREENWOOD,SC,9782.369943311
2007,HAMPTON,SC,2261.677690125
2007,HORRY,SC,39803.208009801
2007,JASPER,SC,1354.904476761
2007,KERSHAW,SC,4288.600748636
2007,LANCASTER,SC,6767.35950594
2007,LAURENS,SC,13036.428615784
