year,BUYER_COUNTY,BUYER_STATE,strength
2006,BEADLE,SD,633.108148864
2006,BENNETT,SD,76.413374717
2006,BON HOMME,SD,170.953838201
2006,BROOKINGS,SD,720.856313598
2006,BROWN,SD,17550.938589445
2006,BRULE,SD,234.049724037
2006,BUFFALO,SD,44.46442208
2006,BUTTE,SD,220.88631808000002
2006,CHARLES MIX,SD,445.704578624
2006,CLARK,SD,33.897766125000004
2006,CLAY,SD,390.68280202
2006,CODINGTON,SD,1637.894165414
2006,CORSON,SD,56.73189156
2006,CUSTER,SD,276.559560572
2006,DAVISON,SD,1549.554853271
2006,DAY,SD,305.812358705
2006,DEUEL,SD,66.226309114
2006,DEWEY,SD,191.027916
2006,DOUGLAS,SD,110.98739445700001
2006,EDMUNDS,SD,157.408389182
2006,FALL RIVER,SD,514.377312488
2006,FAULK,SD,157.056657104
2006,GRANT,SD,332.92848411200004
2006,GREGORY,SD,205.796626312
2006,HAAKON,SD,32.192145000000004
2006,HAND,SD,82.437852291
2006,HUGHES,SD,923.1014372340001
2006,HUTCHINSON,SD,302.824053857
2006,HYDE,SD,0.6054
2006,JACKSON,SD,6.659400000000001
2006,JERAULD,SD,152.651479745
2006,KINGSBURY,SD,222.171774621
2006,LAKE,SD,384.632555003
2006,LAWRENCE,SD,1070.31109951
2006,LINCOLN,SD,737.196509344
2006,LYMAN,SD,142.712601823
2006,MARSHALL,SD,116.285972728
2006,MCCOOK,SD,91.381611455
2006,MCPHERSON,SD,15.789572728000001
2006,MEADE,SD,1082.211163316
2006,MELLETTE,SD,100.95045
2006,MINER,SD,31.952513453
2006,MINNEHAHA,SD,23458.910547704
2006,MOODY,SD,107.80483015700001
2006,PENNINGTON,SD,5607.550561862
2006,PERKINS,SD,234.840359851
2006,POTTER,SD,225.629587792
2006,ROBERTS,SD,370.19083606600003
2006,SHANNON,SD,247.51116624
2006,SPINK,SD,285.63800498
2006,STANLEY,SD,36.513618703000006
2006,TODD,SD,95.38817728000001
2006,TRIPP,SD,192.24405778000002
2006,TURNER,SD,238.778110298
2006,UNION,SD,453.54175439700003
2006,WALWORTH,SD,332.06058225500004
2006,YANKTON,SD,1952.5704153030001
2007,BEADLE,SD,786.268352208
2007,BENNETT,SD,109.96423306700001
2007,BON HOMME,SD,180.929123228
2007,BROOKINGS,SD,786.721695684
2007,BROWN,SD,16505.232153873
2007,BRULE,SD,262.49025767
2007,BUFFALO,SD,81.64780520000001
2007,BUTTE,SD,271.84632115200003
2007,CHARLES MIX,SD,386.330292217
2007,CLARK,SD,50.606515973
2007,CLAY,SD,496.926315779
2007,CODINGTON,SD,1969.716374342
2007,CORSON,SD,35.57013456
2007,CUSTER,SD,329.531183487
2007,DAVISON,SD,1557.544010393
2007,DAY,SD,315.959870243
2007,DEUEL,SD,84.71350628100001
2007,DEWEY,SD,208.84676104
2007,DOUGLAS,SD,96.054544597
2007,EDMUNDS,SD,167.22047787
2007,FALL RIVER,SD,618.8690931780001
2007,FAULK,SD,105.07171050000001
2007,GRANT,SD,351.762162493
2007,GREGORY,SD,248.867613341
2007,HAAKON,SD,41.31855
2007,HAND,SD,138.191488654
2007,HUGHES,SD,1045.877909926
2007,HUTCHINSON,SD,305.145816493
2007,JACKSON,SD,22.680531819000002
2007,JERAULD,SD,151.646605427
2007,KINGSBURY,SD,216.749783476
2007,LAKE,SD,480.132366196
2007,LAWRENCE,SD,1279.939442487
2007,LINCOLN,SD,913.2466533310001
2007,LYMAN,SD,166.466218663
2007,MARSHALL,SD,194.38678204
2007,MCCOOK,SD,86.066981561
2007,MCPHERSON,SD,39.80505
2007,MEADE,SD,1196.9330829780001
2007,MELLETTE,SD,135.585241552
2007,MINER,SD,40.279042600000004
2007,MINNEHAHA,SD,21865.729292036
2007,MOODY,SD,124.758963969
2007,PENNINGTON,SD,6206.283229869
2007,PERKINS,SD,236.109022112
2007,POTTER,SD,219.475531944
2007,ROBERTS,SD,565.414518915
2007,SHANNON,SD,262.79204532
2007,SPINK,SD,249.930223092
2007,STANLEY,SD,67.882618827
2007,TODD,SD,208.37255408000001
2007,TRIPP,SD,225.06046117900001
2007,TURNER,SD,288.827712721
2007,UNION,SD,619.736658569
2007,WALWORTH,SD,324.03769325300004
2007,YANKTON,SD,1623.900590503
2008,BEADLE,SD,905.718298569
2008,BENNETT,SD,120.631915215
2008,BON HOMME,SD,192.403115741
2008,BROOKINGS,SD,1074.790079875
2008,BROWN,SD,4841.440935601
2008,BRULE,SD,300.768364561
2008,BUFFALO,SD,95.572005176
2008,BUTTE,SD,294.771258546
2008,CHARLES MIX,SD,412.17765367500004
2008,CLARK,SD,51.345983643000004
2008,CLAY,SD,621.546328707
2008,CODINGTON,SD,2169.65870473
2008,CORSON,SD,75.482678667
2008,CUSTER,SD,368.170804936
2008,DAVISON,SD,1757.662026959
2008,DAY,SD,346.2343573
2008,DEUEL,SD,122.173216189
2008,DEWEY,SD,200.67094092
2008,DOUGLAS,SD,138.223325474
2008,EDMUNDS,SD,88.49730619500001
2008,FALL RIVER,SD,875.778241438
2008,FAULK,SD,129.54064306200002
2008,GRANT,SD,355.074382608
2008,GREGORY,SD,277.96843067000003
2008,HAAKON,SD,54.955185
2008,HAND,SD,153.247287994
2008,HUGHES,SD,1264.087081726
2008,HUTCHINSON,SD,381.81572447
2008,JACKSON,SD,62.590614438
2008,JERAULD,SD,205.99277795700002
2008,KINGSBURY,SD,265.31223388800004
2008,LAKE,SD,487.83724286
2008,LAWRENCE,SD,1467.153952242
2008,LINCOLN,SD,1130.010943894
2008,LYMAN,SD,212.381933094
2008,MARSHALL,SD,177.780005065
2008,MCCOOK,SD,146.01738794
2008,MCPHERSON,SD,115.462297534
2008,MEADE,SD,1321.936403827
2008,MELLETTE,SD,234.224844159
2008,MINER,SD,56.03495151
2008,MINNEHAHA,SD,29750.26699106
2008,MOODY,SD,122.082708392
2008,PENNINGTON,SD,7117.641555532
2008,PERKINS,SD,154.148403249
2008,POTTER,SD,257.46480013900003
2008,ROBERTS,SD,820.247895369
2008,SHANNON,SD,326.66944198699997
2008,SPINK,SD,295.020080785
2008,STANLEY,SD,228.147304041
2008,TODD,SD,263.52178832
2008,TRIPP,SD,273.009435455
2008,TURNER,SD,346.882235186
2008,UNION,SD,808.585045874
2008,WALWORTH,SD,365.746266661
2008,YANKTON,SD,1736.0018826970002
2009,BEADLE,SD,1094.446054743
2009,BENNETT,SD,104.50375628
2009,BON HOMME,SD,281.236301685
2009,BROOKINGS,SD,1304.6477825480001
2009,BROWN,SD,2603.920657663
2009,BRULE,SD,373.018848154
2009,BUFFALO,SD,135.472708402
2009,BUTTE,SD,308.40813360500005
2009,CHARLES MIX,SD,514.511493834
2009,CLARK,SD,66.16708399000001
2009,CLAY,SD,537.983443004
2009,CODINGTON,SD,2284.781857628
2009,CORSON,SD,108.35036104
2009,CUSTER,SD,400.690687755
2009,DAVISON,SD,1903.999213923
2009,DAY,SD,447.184479114
2009,DEUEL,SD,140.84410208
2009,DEWEY,SD,151.82548832
2009,DOUGLAS,SD,176.251548355
2009,EDMUNDS,SD,75.17444104
2009,FALL RIVER,SD,920.254273205
2009,FAULK,SD,110.87694452000001
2009,GRANT,SD,466.443036296
2009,GREGORY,SD,290.01199123000004
2009,HAAKON,SD,94.76023500000001
2009,HAND,SD,146.106811582
2009,HUGHES,SD,1419.841582415
2009,HUTCHINSON,SD,372.528779625
2009,JACKSON,SD,33.69421364
2009,JERAULD,SD,175.02162861600002
2009,KINGSBURY,SD,250.592056796
2009,LAKE,SD,653.602029992
2009,LAWRENCE,SD,1591.7566264030002
2009,LINCOLN,SD,1179.545073063
2009,LYMAN,SD,380.381175982
2009,MARSHALL,SD,188.933232
2009,MCCOOK,SD,135.12063270000002
2009,MCPHERSON,SD,111.65791052
2009,MEADE,SD,1547.722937391
2009,MELLETTE,SD,358.53191104
2009,MINER,SD,43.28232516
2009,MINNEHAHA,SD,31489.041834026
2009,MOODY,SD,158.59234691400002
2009,PENNINGTON,SD,7518.992279227
2009,PERKINS,SD,180.17629891
2009,POTTER,SD,286.623923514
2009,ROBERTS,SD,1125.821988205
2009,SHANNON,SD,502.039239021
2009,SPINK,SD,273.700200471
2009,STANLEY,SD,124.60099928800001
2009,TODD,SD,338.67258312
2009,TRIPP,SD,295.42636831100003
2009,TURNER,SD,363.787866542
2009,UNION,SD,953.28213788
2009,WALWORTH,SD,467.450066106
2009,YANKTON,SD,1976.275523736
2010,BEADLE,SD,1236.730137596
2010,BENNETT,SD,72.078867044
2010,BON HOMME,SD,297.006380399
2010,BROOKINGS,SD,1487.656687269
2010,BROWN,SD,2705.438317651
2010,BRULE,SD,466.453958726
2010,BUFFALO,SD,164.30114416
2010,BUTTE,SD,326.536812376
2010,CHARLES MIX,SD,585.4967633480001
2010,CLARK,SD,86.61358087400001
2010,CLAY,SD,515.987345474
2010,CODINGTON,SD,2368.3535942000003
2010,CORSON,SD,68.83989156
2010,CUSTER,SD,390.21733624
2010,DAVISON,SD,2169.116791103
2010,DAY,SD,426.17282572
2010,DEUEL,SD,155.653106933
2010,DEWEY,SD,153.24447468
2010,DOUGLAS,SD,218.81492347300002
2010,EDMUNDS,SD,121.08550202
2010,FALL RIVER,SD,983.9724452280001
2010,FAULK,SD,157.36875302500002
2010,GRANT,SD,438.4613774
2010,GREGORY,SD,317.055296336
2010,HAAKON,SD,127.28535000000001
2010,HAND,SD,157.51514432000002
2010,HUGHES,SD,1623.310653166
2010,HUTCHINSON,SD,494.977700417
2010,JACKSON,SD,38.4429
2010,JERAULD,SD,202.3688386
2010,KINGSBURY,SD,294.74839152
2010,LAKE,SD,627.994375661
2010,LAWRENCE,SD,1803.079119926
