year,BUYER_COUNTY,BUYER_STATE,strength
2006,ANDERSON,TN,17166.369540327
2006,BEDFORD,TN,5525.1914122670005
2006,BENTON,TN,5595.952968111
2006,BLEDSOE,TN,1762.281557063
2006,BLOUNT,TN,17366.887889275
2006,BRADLEY,TN,310387.556908481
2006,CAMPBELL,TN,10284.755184786
2006,CANNON,TN,3516.79755013
2006,CARROLL,TN,9655.840804694
2006,CARTER,TN,10465.038155783
2006,CHEATHAM,TN,4207.644830129
2006,CHESTER,TN,1819.010954483
2006,CLAIBORNE,TN,10517.091143672
2006,CLAY,TN,2327.195286001
2006,COCKE,TN,10673.689921355
2006,COFFEE,TN,13992.545042709
2006,CROCKETT,TN,1478.580018823
2006,CUMBERLAND,TN,8903.692469107
2006,DAVIDSON,TN,308821.573188249
2006,DECATUR,TN,4357.358858551
2006,DEKALB,TN,5834.035861595999
2006,DICKSON,TN,8548.078445629
2006,DYER,TN,7316.594147922
2006,FAYETTE,TN,2685.064047932
2006,FENTRESS,TN,4074.778342073
2006,FRANKLIN,TN,10000.986141311
2006,GIBSON,TN,8587.232816682
2006,GILES,TN,6090.305104417
2006,GRAINGER,TN,3474.530042198
2006,GREENE,TN,14971.357560471999
2006,GRUNDY,TN,5567.922995188
2006,HAMBLEN,TN,24589.85157594
2006,HAMILTON,TN,76896.640353951
2006,HANCOCK,TN,1275.346969133
2006,HARDEMAN,TN,2933.572163918
2006,HARDIN,TN,9844.226927168
2006,HAWKINS,TN,9375.022137818
2006,HAYWOOD,TN,1160.42159034
2006,HENDERSON,TN,3264.311110264
2006,HENRY,TN,7708.946666175
2006,HICKMAN,TN,2443.176319411
2006,HOUSTON,TN,1566.954877772
2006,HUMPHREYS,TN,3261.5378923430003
2006,JACKSON,TN,1688.241337488
2006,JEFFERSON,TN,9836.460400029
2006,JOHNSON,TN,3303.574445213
2006,KNOX,TN,1157480.28013145
2006,LAKE,TN,909.204581959
2006,LAUDERDALE,TN,2979.747740029
2006,LAWRENCE,TN,8921.402537593
2006,LEWIS,TN,2064.615524934
2006,LINCOLN,TN,6024.16623814
2006,LOUDON,TN,6295.208775168
2006,MACON,TN,3432.125056618
2006,MADISON,TN,16991.696970305
2006,MARION,TN,4847.884989161
2006,MARSHALL,TN,7641.441338917
2006,MAURY,TN,12658.862905786
2006,MCMINN,TN,11492.668872787
2006,MCNAIRY,TN,8339.640053381
2006,MEIGS,TN,1007.2717430910001
2006,MONROE,TN,6249.2345558550005
2006,MONTGOMERY,TN,14066.143796529
2006,MOORE,TN,169.069115208
2006,MORGAN,TN,3574.842199125
2006,OBION,TN,4626.3950220140005
2006,OVERTON,TN,3352.012936647
2006,PERRY,TN,2604.234248429
2006,PICKETT,TN,494.291982652
2006,POLK,TN,5612.287211104
2006,PUTNAM,TN,13010.617224995
2006,RHEA,TN,7164.400321897
2006,ROANE,TN,18643.574818848
2006,ROBERTSON,TN,10542.342657899
2006,RUTHERFORD,TN,679568.734320564
2006,SCOTT,TN,5512.057664673
2006,SEQUATCHIE,TN,3183.304782576
2006,SEVIER,TN,15940.847187588
2006,SHELBY,TN,9108275.091073904
2006,SMITH,TN,6728.366912803
2006,STEWART,TN,1063.998826165
2006,SULLIVAN,TN,78507.725873482
2006,SUMNER,TN,19797.908617749
2006,TIPTON,TN,3731.07753725
2006,TROUSDALE,TN,1506.7708993640001
2006,UNICOI,TN,5898.229265188
2006,UNION,TN,3132.689463561
