year,BUYER_COUNTY,BUYER_STATE,strength
2006,BEAVER,UT,827.642356832
2006,BOX ELDER,UT,5631.96828044
2006,CACHE,UT,7005.674865317
2006,CARBON,UT,5905.267010229
2006,DAVIS,UT,26990.489049556
2006,DUCHESNE,UT,2066.024590915
2006,EMERY,UT,1966.446748611
2006,GARFIELD,UT,393.357808222
2006,GRAND,UT,1137.498970129
2006,IRON,UT,5459.724009033
2006,JUAB,UT,1040.909892598
2006,KANE,UT,1206.517623781
2006,MILLARD,UT,1673.66763245
2006,MORGAN,UT,273.605750915
2006,RICH,UT,58.150504458
2006,SALT LAKE,UT,355730.967922108
2006,SAN JUAN,UT,1011.320130334
2006,SANPETE,UT,3029.068398153
2006,SEVIER,UT,2447.130147507
2006,SUMMIT,UT,3328.867415756
2006,TOOELE,UT,6430.634552063
2006,UINTAH,UT,2378.003355225
2006,UTAH,UT,40989.195651674
2006,WASATCH,UT,1894.630550789
2006,WASHINGTON,UT,17522.037136564
2006,WAYNE,UT,286.21509161
2006,WEBER,UT,27548.710767444
2007,BEAVER,UT,885.635632831
2007,BOX ELDER,UT,6295.06028524
2007,CACHE,UT,7458.634997784
2007,CARBON,UT,4921.34416208
2007,DAVIS,UT,27308.368916025
2007,DUCHESNE,UT,2104.8417690329998
2007,EMERY,UT,1987.906378015
2007,GARFIELD,UT,480.33088589
2007,GRAND,UT,1290.041518166
2007,IRON,UT,4958.702423156
2007,JUAB,UT,1227.7845630900001
2007,KANE,UT,1529.747966758
2007,MILLARD,UT,2060.94602526
2007,MORGAN,UT,307.196250718
2007,RICH,UT,246.973978759
2007,SALT LAKE,UT,375912.26969713
2007,SAN JUAN,UT,988.701510364
2007,SANPETE,UT,3297.790369526
2007,SEVIER,UT,2368.521508514
2007,SUMMIT,UT,2946.165933241
2007,TOOELE,UT,6090.99242376
2007,UINTAH,UT,2865.657642434
2007,UTAH,UT,37722.572136294
2007,WASATCH,UT,2158.857673379
2007,WASHINGTON,UT,17093.108399665
2007,WAYNE,UT,339.69729034200003
2007,WEBER,UT,28940.465916759
2008,BEAVER,UT,781.829137022
2008,BOX ELDER,UT,6597.2908377270005
2008,CACHE,UT,7347.902410785
2008,CARBON,UT,5086.804195374
2008,DAVIS,UT,27447.137955145
2008,DUCHESNE,UT,2394.94291084
2008,EMERY,UT,1910.470059579
2008,GARFIELD,UT,536.743900828
2008,GRAND,UT,1348.933983954
2008,IRON,UT,5284.400455658
2008,JUAB,UT,1214.043667135
2008,KANE,UT,1411.348150457
2008,MILLARD,UT,2166.285695162
2008,MORGAN,UT,364.324589821
2008,RICH,UT,301.727773924
2008,SALT LAKE,UT,422869.617445149
2008,SAN JUAN,UT,1452.17540574
2008,SANPETE,UT,3312.490301686
2008,SEVIER,UT,2390.217858022
2008,SUMMIT,UT,2694.080851691
2008,TOOELE,UT,5734.899501764
2008,UINTAH,UT,3038.755132283
2008,UTAH,UT,38875.026115805
2008,WASATCH,UT,2150.686823034
2008,WASHINGTON,UT,18000.277406591
2008,WAYNE,UT,340.259585834
2008,WEBER,UT,28672.452558592002
2009,BEAVER,UT,782.882393772
2009,BOX ELDER,UT,6280.659025766
2009,CACHE,UT,7868.637338994
2009,CARBON,UT,5212.043632495
2009,DAVIS,UT,28927.816272875
2009,DUCHESNE,UT,2647.635517131
2009,EMERY,UT,2000.217134737
2009,GARFIELD,UT,604.205995436
2009,GRAND,UT,1404.37040737
2009,IRON,UT,5544.1890645230005
2009,JUAB,UT,1165.146061093
2009,KANE,UT,1469.374401625
2009,MILLARD,UT,2255.4643994
2009,MORGAN,UT,412.093227039
2009,RICH,UT,291.85279886800004
2009,SALT LAKE,UT,417714.78392171
2009,SAN JUAN,UT,1403.4011670510001
2009,SANPETE,UT,3467.0357007410003
2009,SEVIER,UT,2453.467033745
2009,SUMMIT,UT,2755.353300577
2009,TOOELE,UT,27680.242927725
2009,UINTAH,UT,3068.0639621
2009,UTAH,UT,40855.130887043
2009,WASATCH,UT,2278.264570231
2009,WASHINGTON,UT,19043.700755913
2009,WAYNE,UT,294.477578294
2009,WEBER,UT,30328.786448141
2010,BEAVER,UT,745.49807128
2010,BOX ELDER,UT,6116.251144812
2010,CACHE,UT,7996.999874427001
2010,CARBON,UT,6102.593606395
2010,DAVIS,UT,31896.471773593
2010,DUCHESNE,UT,2688.535334828
2010,EMERY,UT,1981.251175388
2010,GARFIELD,UT,575.40194926
2010,GRAND,UT,1561.2883316100001
2010,IRON,UT,6577.134641662
2010,JUAB,UT,1136.14195
2010,KANE,UT,1629.740432443
2010,MILLARD,UT,2292.514803017
2010,MORGAN,UT,427.767769826
2010,RICH,UT,187.36260183000002
2010,SALT LAKE,UT,442625.781428185
2010,SAN JUAN,UT,1492.5838051800001
2010,SANPETE,UT,3631.104352394
2010,SEVIER,UT,2955.090348241
2010,SUMMIT,UT,3184.612621572
2010,TOOELE,UT,7462.389879136
2010,UINTAH,UT,3101.406987315
2010,UTAH,UT,43479.952482206
2010,WASATCH,UT,2386.211043741
2010,WASHINGTON,UT,21850.656981222
2010,WAYNE,UT,336.52712059
2010,WEBER,UT,31853.578474948
2011,BEAVER,UT,812.832511038
2011,BOX ELDER,UT,5503.044483007
2011,CACHE,UT,8407.617371535
2011,CARBON,UT,5778.997100888
2011,DAVIS,UT,32101.285094576
2011,DUCHESNE,UT,2844.396467546
2011,EMERY,UT,1857.102889538
2011,GARFIELD,UT,642.66133371
2011,GRAND,UT,1729.345514433
2011,IRON,UT,7215.844779009
2011,JUAB,UT,1215.1115478880001
2011,KANE,UT,1684.773731864
2011,MILLARD,UT,2391.74801806
2011,MORGAN,UT,502.566257446
2011,RICH,UT,276.829975971
2011,SALT LAKE,UT,1596931.066698268
2011,SAN JUAN,UT,1545.881479545
2011,SANPETE,UT,3858.946978719
2011,SEVIER,UT,3056.748122907
2011,SUMMIT,UT,3497.096126168
2011,TOOELE,UT,7822.870912
2011,UINTAH,UT,3238.897486307
2011,UTAH,UT,44172.397108154
2011,WASATCH,UT,2401.652752375
2011,WASHINGTON,UT,22869.765808982
2011,WAYNE,UT,365.45327119
2011,WEBER,UT,33193.323568209
2012,BEAVER,UT,939.746270102
2012,BOX ELDER,UT,5794.801919924
2012,CACHE,UT,8936.942769413
2012,CARBON,UT,5360.7777217620005
2012,DAVIS,UT,31886.461160462
2012,DUCHESNE,UT,2967.718950253
2012,EMERY,UT,1698.874049802
2012,GARFIELD,UT,743.055905475
2012,GRAND,UT,1561.554426632
2012,IRON,UT,7197.924251535
2012,JUAB,UT,1088.233242061
2012,KANE,UT,1979.166041403
2012,MILLARD,UT,2330.925822042
2012,MORGAN,UT,490.394404125
2012,RICH,UT,234.95836103000002
2012,SALT LAKE,UT,1470688.256057184
2012,SAN JUAN,UT,1631.644618236
2012,SANPETE,UT,3799.132729992
2012,SEVIER,UT,3400.194911247
2012,SUMMIT,UT,3395.32603623
2012,TOOELE,UT,7876.099028073
2012,UINTAH,UT,3291.004954228
2012,UTAH,UT,43116.17569474
2012,WASATCH,UT,2408.670339546
2012,WASHINGTON,UT,23362.327535387
2012,WAYNE,UT,351.723974379
2012,WEBER,UT,33061.515554656
2013,BEAVER,UT,842.339729295
2013,BOX ELDER,UT,5488.526442955
2013,CACHE,UT,9643.384918412
2013,CARBON,UT,5094.71537138
2013,DAVIS,UT,30310.84264789
2013,DUCHESNE,UT,2824.838407301
2013,EMERY,UT,1684.578205439
2013,GARFIELD,UT,740.640359475
2013,GRAND,UT,1497.439579811
2013,IRON,UT,6793.266345273
2013,JUAB,UT,1151.215346291
2013,KANE,UT,2252.552021358
2013,MILLARD,UT,2401.324382565
2013,MORGAN,UT,475.709508694
2013,RICH,UT,201.367809685
2013,SALT LAKE,UT,698981.382429694
2013,SAN JUAN,UT,1579.125137678
2013,SANPETE,UT,3634.421690467
2013,SEVIER,UT,3250.965448508
2013,SUMMIT,UT,3278.284552346
2013,TOOELE,UT,7606.258044859
2013,UINTAH,UT,3267.290363641
2013,UTAH,UT,42380.232793094
2013,WASATCH,UT,2447.285700734
2013,WASHINGTON,UT,22497.039630131
2013,WAYNE,UT,366.532539122
2013,WEBER,UT,31664.882465117
2014,BEAVER,UT,824.911487375
2014,BOX ELDER,UT,5711.206764568
2014,CACHE,UT,8574.985837216
2014,CARBON,UT,5065.130242424
2014,DAGGETT,UT,1.2108
2014,DAVIS,UT,28648.911558332
2014,DUCHESNE,UT,2798.873735409
2014,EMERY,UT,1497.949099189
2014,GARFIELD,UT,766.8464694950001
2014,GRAND,UT,1442.109072328
2014,IRON,UT,6786.6635944750005
2014,JUAB,UT,1135.920343039
2014,KANE,UT,2283.843378612
2014,MILLARD,UT,2246.698449928
2014,MORGAN,UT,464.70463647500003
2014,RICH,UT,146.110327082
2014,SALT LAKE,UT,1144740.592748717
2014,SAN JUAN,UT,1544.176874885
2014,SANPETE,UT,3525.654035177
2014,SEVIER,UT,3174.660354821
2014,SUMMIT,UT,3145.358969637
2014,TOOELE,UT,6970.103775277
2014,UINTAH,UT,3185.787405015
2014,UTAH,UT,40718.268566626
2014,WASATCH,UT,2474.123881209
2014,WASHINGTON,UT,21603.840351604
2014,WAYNE,UT,344.01705431
2014,WEBER,UT,30206.959369218
2015,BEAVER,UT,851.4499977
2015,BOX ELDER,UT,5146.07076506
2015,CACHE,UT,7431.4864252570005
2015,CARBON,UT,4691.219540641
2015,DAVIS,UT,25430.731643229
2015,DUCHESNE,UT,2376.549870395
2015,EMERY,UT,1364.758532097
2015,GARFIELD,UT,697.725458662
2015,GRAND,UT,1196.2356802640002
2015,IRON,UT,6385.725731393
2015,JUAB,UT,1054.921661466
2015,KANE,UT,2032.92369166
2015,MILLARD,UT,2171.825692802
2015,MORGAN,UT,460.542550061
2015,RICH,UT,67.092003678
2015,SALT LAKE,UT,1339578.3350625
2015,SAN JUAN,UT,1347.515401265
2015,SANPETE,UT,3163.917359443
2015,SEVIER,UT,2930.198292292
2015,SUMMIT,UT,2847.21169148
2015,TOOELE,UT,6042.677269728
2015,UINTAH,UT,2554.6007300720003
2015,UTAH,UT,37117.408246333
2015,WASATCH,UT,2196.253397047
2015,WASHINGTON,UT,20621.241369417
2015,WAYNE,UT,299.577026301
2015,WEBER,UT,26359.169161546
2016,BEAVER,UT,786.988579062
2016,BOX ELDER,UT,5196.395779704
