year,BUYER_COUNTY,BUYER_STATE,strength
2006,ACCOMACK,VA,1670.789553793
2006,ALBEMARLE,VA,4628.022971824
2006,ALEXANDRIA CITY,VA,2841.991267062
2006,ALLEGHANY,VA,974.542648145
2006,AMELIA,VA,496.43408261400003
2006,AMHERST,VA,1723.878742992
2006,APPOMATTOX,VA,1251.23006266
2006,ARLINGTON,VA,12774.171697408
2006,AUGUSTA,VA,3327.448231636
2006,BATH,VA,216.392636727
2006,BEDFORD,VA,3960.013650691
2006,BLAND,VA,33093.859941012
2006,BOTETOURT,VA,1775.913146387
2006,BRISTOL CITY,VA,5624.965204851
2006,BRUNSWICK,VA,289.835194446
2006,BUCHANAN,VA,8714.268922956
2006,BUCKINGHAM,VA,577.592702622
2006,BUENA VISTA CITY,VA,614.856971374
2006,CAMPBELL,VA,2047.467175865
2006,CAROLINE,VA,644.964100273
2006,CARROLL,VA,1483.314480947
2006,CHARLOTTE,VA,713.522039324
2006,CHARLOTTESVILLE CITY,VA,2294.169727761
2006,CHESAPEAKE CITY,VA,14675.962992031
2006,CHESTERFIELD,VA,18486.408296796002
2006,CLARKE,VA,502.648842844
2006,COLONIAL HEIGHTS CITY,VA,4151.836435018
2006,COVINGTON CITY,VA,1467.888230745
2006,CRAIG,VA,458.378094231
2006,CULPEPER,VA,2779.22625091
2006,CUMBERLAND,VA,131.653165193
2006,DANVILLE CITY,VA,10076.797208465
2006,DICKENSON,VA,6455.125490328
2006,DINWIDDIE,VA,310.710928137
2006,ESSEX,VA,779.611938912
2006,FAIRFAX,VA,24015.89061047
2006,FAIRFAX CITY,VA,1463.658483909
2006,FALLS CHURCH CITY,VA,1154.185857194
2006,FAUQUIER,VA,4213.06727603
2006,FLOYD,VA,828.240231016
2006,FLUVANNA,VA,556.405702913
2006,FRANKLIN,VA,5592.961735016
2006,FRANKLIN CITY,VA,1424.019127493
2006,FREDERICK,VA,3740.820433601
2006,FREDERICKSBURG CITY,VA,3713.611721386
2006,GALAX CITY,VA,2462.324699933
2006,GILES,VA,3633.1904304530003
2006,GLOUCESTER,VA,3295.97034475
2006,GOOCHLAND,VA,614.769666198
2006,GRAYSON,VA,492.35987482300004
2006,GREENE,VA,218.389730055
2006,GREENSVILLE,VA,906.957227221
2006,HALIFAX,VA,2585.32476189
2006,HAMPTON CITY,VA,9883.287915007
2006,HANOVER,VA,24832.287500371
2006,HARRISONBURG CITY,VA,6370.533610935
2006,HENRICO,VA,131855.864485004
2006,HENRY,VA,5480.166403427
2006,HOPEWELL CITY,VA,2041.745068247
2006,ISLE OF WIGHT,VA,2112.756409863
2006,JAMES CITY,VA,4918.351351179
2006,KING GEORGE,VA,648.851809066
2006,KING WILLIAM,VA,919.373092628
2006,LANCASTER,VA,1269.717574452
2006,LEE,VA,6131.738913321
2006,LEXINGTON CITY,VA,1715.981826467
2006,LOUDOUN,VA,7854.024202198
2006,LOUISA,VA,1034.720720218
2006,LUNENBURG,VA,469.245729687
2006,LYNCHBURG CITY,VA,8639.920027107
2006,MADISON,VA,257.039468361
2006,MANASSAS CITY,VA,3089.342277464
2006,MARTINSVILLE CITY,VA,11122.07264795
2006,MATHEWS,VA,505.202331728
2006,MECKLENBURG,VA,1890.646796059
2006,MIDDLESEX,VA,599.18110012
2006,MONTGOMERY,VA,10349.959929326
2006,NELSON,VA,559.817196976
2006,NEW KENT,VA,1074.49264402
2006,NEWPORT NEWS CITY,VA,9909.513455314
2006,NORFOLK CITY,VA,12832.419907202
2006,NORTHAMPTON,VA,1499.061042131
2006,NORTHUMBERLAND,VA,547.386498972
2006,NORTON CITY,VA,3261.993250114
2006,NOTTOWAY,VA,971.141450393
2006,ORANGE,VA,1799.213094992
2006,PAGE,VA,2193.035080219
2006,PATRICK,VA,2257.641612601
2006,PETERSBURG CITY,VA,2787.878846685
2006,PITTSYLVANIA,VA,1030.072062337
2006,POQUOSON CITY,VA,1000.018053051
2006,PORTSMOUTH CITY,VA,11507.840991055
2006,POWHATAN,VA,961.040868959
2006,PRINCE EDWARD,VA,1573.825304315
2006,PRINCE GEORGE,VA,447.971668717
2006,PRINCE WILLIAM,VA,10997.484090457001
2006,PULASKI,VA,9895.86847844
2006,RADFORD,VA,3218.794198703
2006,RAPPAHANNOCK,VA,132.41613952
2006,RICHMOND,VA,331.745362007
2006,RICHMOND CITY,VA,8841.366833184
2006,ROANOKE,VA,9154.38748042
2006,ROANOKE CITY,VA,14994.391290246
2006,ROCKINGHAM,VA,1990.48164991
