year,BUYER_COUNTY,BUYER_STATE,strength
2006,SAINT CROIX,VI,777.971273104
2006,SAINT JOHN,VI,85.905761434
2006,SAINT THOMAS,VI,779.762632607
2007,SAINT CROIX,VI,958.762538196
2007,SAINT JOHN,VI,84.229443446
2007,SAINT THOMAS,VI,914.28354526
2008,SAINT CROIX,VI,868.540862995
2008,SAINT JOHN,VI,96.889139841
2008,SAINT THOMAS,VI,1070.754002782
2009,SAINT CROIX,VI,727.1431231830001
2009,SAINT JOHN,VI,73.753887763
2009,SAINT THOMAS,VI,1132.075908043
2010,SAINT CROIX,VI,763.912153044
2010,SAINT JOHN,VI,69.709602082
2010,SAINT THOMAS,VI,1065.440868468
2011,SAINT CROIX,VI,1470.061188726
2011,SAINT JOHN,VI,82.055773561
2011,SAINT THOMAS,VI,1271.222891315
2012,SAINT CROIX,VI,825.932471658
2012,SAINT JOHN,VI,81.47188308300001
2012,SAINT THOMAS,VI,1199.548269729
2013,SAINT CROIX,VI,871.757745148
2013,SAINT JOHN,VI,56.637057441
2013,SAINT THOMAS,VI,1156.992380696
2014,SAINT CROIX,VI,658.734550734
2014,SAINT JOHN,VI,71.53691301
2014,SAINT THOMAS,VI,989.3813913050001
2015,SAINT CROIX,VI,673.763192482
2015,SAINT JOHN,VI,69.99827104100001
2015,SAINT THOMAS,VI,832.367165141
2016,SAINT CROIX,VI,578.099647587
2016,SAINT JOHN,VI,60.933510000000005
2016,SAINT THOMAS,VI,757.411613962
2017,SAINT CROIX,VI,458.640850052
2017,SAINT JOHN,VI,38.485278
2017,SAINT THOMAS,VI,662.9105784000001
2018,SAINT CROIX,VI,359.987748822
2018,SAINT JOHN,VI,54.364920000000005
2018,SAINT THOMAS,VI,560.951033441
2019,SAINT CROIX,VI,330.998790333
2019,SAINT JOHN,VI,29.555628000000002
2019,SAINT THOMAS,VI,463.2908256
