year,BUYER_COUNTY,BUYER_STATE,strength
2006,ADDISON,VT,1263.574726754
2006,BENNINGTON,VT,1879.0467978420002
2006,CALEDONIA,VT,1568.588043515
2006,CHITTENDEN,VT,15143.67355675
2006,ESSEX,VT,36.6267
2006,FRANKLIN,VT,3907.165412804
2006,GRAND ISLE,VT,110.67630791500001
2006,LAMOILLE,VT,1233.730050927
2006,ORANGE,VT,633.202814396
2006,ORLEANS,VT,1585.052405058
2006,RUTLAND,VT,3123.224716931
2006,WASHINGTON,VT,3119.392015034
2006,WINDHAM,VT,2239.060159601
2006,WINDSOR,VT,1590.352118953
2007,ADDISON,VT,1448.063983367
2007,BENNINGTON,VT,2100.4077750300003
2007,CALEDONIA,VT,1638.2225581
2007,CHITTENDEN,VT,18757.882320491
2007,ESSEX,VT,30.5727
2007,FRANKLIN,VT,4279.558947451
2007,GRAND ISLE,VT,127.139311337
2007,LAMOILLE,VT,1422.561775578
2007,ORANGE,VT,663.943942056
2007,ORLEANS,VT,1535.984551018
2007,RUTLAND,VT,3091.765005244
2007,WASHINGTON,VT,3398.034815944
2007,WINDHAM,VT,2860.013605592
2007,WINDSOR,VT,1770.011955382
2008,ADDISON,VT,1544.429692858
2008,BENNINGTON,VT,2353.235312411
2008,CALEDONIA,VT,1601.873579965
2008,CHITTENDEN,VT,18542.526647926
2008,ESSEX,VT,24.216
2008,FRANKLIN,VT,4023.211606982
2008,GRAND ISLE,VT,111.26413343
2008,LAMOILLE,VT,1671.105652685
2008,ORANGE,VT,662.845263773
2008,ORLEANS,VT,1632.2389288680001
2008,RUTLAND,VT,3194.897302241
2008,WASHINGTON,VT,3502.932370002
2008,WINDHAM,VT,2702.531231708
2008,WINDSOR,VT,1810.2956827530002
2009,ADDISON,VT,1654.455860867
2009,BENNINGTON,VT,2497.974711308
2009,CALEDONIA,VT,1678.153251275
2009,CHITTENDEN,VT,38609.513152948
2009,ESSEX,VT,20.2809
2009,FRANKLIN,VT,3958.9794692170003
2009,GRAND ISLE,VT,89.665972768
2009,LAMOILLE,VT,1790.739570052
2009,ORANGE,VT,729.648681384
2009,ORLEANS,VT,1683.714570667
2009,RUTLAND,VT,3166.8149473920002
2009,WASHINGTON,VT,3895.925657912
2009,WINDHAM,VT,2565.72557223
2009,WINDSOR,VT,1820.075493533
2010,ADDISON,VT,1564.05184445
2010,BENNINGTON,VT,2255.386305495
2010,CALEDONIA,VT,1648.21052215
2010,CHITTENDEN,VT,18167.214726764
2010,ESSEX,VT,21.794400000000003
2010,FRANKLIN,VT,4012.0562674340003
2010,GRAND ISLE,VT,126.32877348400001
2010,LAMOILLE,VT,1883.29030865
2010,ORANGE,VT,729.124768981
2010,ORLEANS,VT,1596.380471653
2010,RUTLAND,VT,2891.158515675
2010,WASHINGTON,VT,4152.846376056
2010,WINDHAM,VT,2696.881761235
2010,WINDSOR,VT,2004.248872699
2011,ADDISON,VT,1615.221342094
2011,BENNINGTON,VT,2155.184776252
2011,CALEDONIA,VT,1814.367503938
2011,CHITTENDEN,VT,20208.064164549
2011,ESSEX,VT,20.886300000000002
2011,FRANKLIN,VT,4134.57982993
2011,GRAND ISLE,VT,118.01471735400001
2011,LAMOILLE,VT,1939.8936257980001
2011,ORANGE,VT,812.138010443
2011,ORLEANS,VT,1807.4369092450002
2011,RUTLAND,VT,2961.7598205070003
2011,WASHINGTON,VT,4397.117972007
2011,WINDHAM,VT,2765.445319824
2011,WINDSOR,VT,2187.941565278
2012,ADDISON,VT,1435.4944546250001
2012,BENNINGTON,VT,1946.729017334
2012,CALEDONIA,VT,1776.519335916
2012,CHITTENDEN,VT,21130.247153594
2012,ESSEX,VT,15.740400000000001
2012,FRANKLIN,VT,4079.504698749
2012,GRAND ISLE,VT,154.32776673400002
2012,LAMOILLE,VT,2013.813935156
2012,ORANGE,VT,812.557704964
2012,ORLEANS,VT,1873.1641772770001
2012,RUTLAND,VT,2664.904454326
2012,WASHINGTON,VT,4220.9143041550005
2012,WINDHAM,VT,2668.163800625
2012,WINDSOR,VT,2000.145261722
2013,ADDISON,VT,1514.00785746
2013,BENNINGTON,VT,1922.977647658
2013,CALEDONIA,VT,1826.654199608
2013,CHITTENDEN,VT,17910.936529022
2013,ESSEX,VT,17.8593
2013,FRANKLIN,VT,3907.41000071
2013,GRAND ISLE,VT,122.44957827200001
2013,LAMOILLE,VT,1980.960583596
2013,ORANGE,VT,919.2374069770001
2013,ORLEANS,VT,1662.729554106
2013,RUTLAND,VT,2648.978611379
2013,WASHINGTON,VT,3938.39427556
2013,WINDHAM,VT,2446.6676239500002
2013,WINDSOR,VT,1787.401534699
2014,ADDISON,VT,1364.113497353
2014,BENNINGTON,VT,1719.754970721
2014,CALEDONIA,VT,1665.712133711
2014,CHITTENDEN,VT,16413.581278669
2014,ESSEX,VT,52.216711520000004
2014,FRANKLIN,VT,3725.181894756
2014,GRAND ISLE,VT,94.97748458000001
2014,LAMOILLE,VT,1718.348631031
2014,ORANGE,VT,869.0488198520001
2014,ORLEANS,VT,1725.2886440500001
2014,RUTLAND,VT,2398.883322824
2014,WASHINGTON,VT,3774.659716594
2014,WINDHAM,VT,2320.527337293
2014,WINDSOR,VT,1482.204057703
2015,ADDISON,VT,1050.815349998
2015,BENNINGTON,VT,1431.8475053890002
2015,CALEDONIA,VT,1324.1280573660001
2015,CHITTENDEN,VT,15042.103680161
2015,ESSEX,VT,79.381686164
2015,FRANKLIN,VT,3470.122432552
2015,GRAND ISLE,VT,60.29784
2015,LAMOILLE,VT,1726.5835470460001
2015,ORANGE,VT,806.079703351
2015,ORLEANS,VT,1521.838919641
2015,RUTLAND,VT,1956.2127146080002
2015,WASHINGTON,VT,3421.068066483
2015,WINDHAM,VT,2088.740766891
2015,WINDSOR,VT,1999.114183153
2016,ADDISON,VT,912.8355094660001
2016,BENNINGTON,VT,1277.9479536600002
2016,CALEDONIA,VT,1146.164575558
2016,CHITTENDEN,VT,12574.159997408
2016,ESSEX,VT,75.9852675
2016,FRANKLIN,VT,3080.046507457
2016,GRAND ISLE,VT,90.05325
2016,LAMOILLE,VT,1467.392080762
2016,ORANGE,VT,634.939540041
2016,ORLEANS,VT,1351.405151486
2016,RUTLAND,VT,1758.7140680080001
2016,WASHINGTON,VT,2848.272033212
2016,WINDHAM,VT,1871.1103527110001
2016,WINDSOR,VT,1687.025577266
2017,ADDISON,VT,667.711427821
2017,BENNINGTON,VT,1014.2269948830001
2017,CALEDONIA,VT,989.356611687
2017,CHITTENDEN,VT,11181.634097215001
2017,ESSEX,VT,2.1189
2017,FRANKLIN,VT,2587.4363713360003
2017,GRAND ISLE,VT,52.6698
2017,LAMOILLE,VT,1129.74264935
2017,ORANGE,VT,454.441813814
2017,ORLEANS,VT,1260.341024517
2017,RUTLAND,VT,1491.36205247
2017,WASHINGTON,VT,2116.049506591
2017,WINDHAM,VT,1559.662157727
2017,WINDSOR,VT,1406.8921156210001
2018,ADDISON,VT,540.323115912
2018,BENNINGTON,VT,875.0244014790001
2018,CALEDONIA,VT,826.930615523
2018,CHITTENDEN,VT,13109.104690305001
2018,ESSEX,VT,0.3027
2018,FRANKLIN,VT,2302.422014459
2018,GRAND ISLE,VT,54.1833
2018,LAMOILLE,VT,1021.42368361
2018,ORANGE,VT,317.897626715
2018,ORLEANS,VT,1275.417249042
2018,RUTLAND,VT,1123.906534002
2018,WASHINGTON,VT,1810.918874742
2018,WINDHAM,VT,1308.574184183
2018,WINDSOR,VT,1244.593719429
2019,ADDISON,VT,536.524254059
2019,BENNINGTON,VT,864.804438581
2019,CALEDONIA,VT,779.369673086
2019,CHITTENDEN,VT,12748.662925679
2019,ESSEX,VT,1.8162
2019,FRANKLIN,VT,1873.3170656430002
2019,GRAND ISLE,VT,52.0644
2019,LAMOILLE,VT,1040.60456733
2019,ORANGE,VT,290.29089007100004
2019,ORLEANS,VT,1188.0134707050001
2019,RUTLAND,VT,1013.343805095
