year,BUYER_COUNTY,BUYER_STATE,strength
2006,ADAMS,WA,1379.2578713550001
2006,ASOTIN,WA,5296.563261201
2006,BENTON,WA,18806.296053229
2006,CHELAN,WA,7076.40764921
2006,CLALLAM,WA,9427.665105026
2006,CLARK,WA,27358.874277459
2006,COLUMBIA,WA,650.768797754
2006,COWLITZ,WA,10666.839680989
2006,DOUGLAS,WA,2622.686106437
2006,FERRY,WA,734.623779185
2006,FRANKLIN,WA,4860.83533283
2006,GARFIELD,WA,430.7571638
2006,GRANT,WA,8964.401265503
2006,GRAYS HARBOR,WA,7587.011493693
2006,ISLAND,WA,4537.194655208
2006,JEFFERSON,WA,1446.954195434
2006,KING,WA,337012.292473452
2006,KITSAP,WA,15879.494142498
2006,KITTITAS,WA,2372.390700594
2006,KLICKITAT,WA,951.009614011
2006,LEWIS,WA,8940.205620215
2006,LINCOLN,WA,1401.985234111
2006,MASON,WA,4867.521909502
2006,OKANOGAN,WA,4273.044322511
2006,PACIFIC,WA,3042.244091296
2006,PEND OREILLE,WA,2998.266530108
2006,PIERCE,WA,60082.987911531
2006,SAN JUAN,WA,832.425257051
2006,SKAGIT,WA,10839.287215231001
2006,SKAMANIA,WA,717.05487976
2006,SNOHOMISH,WA,238679.17878909298
2006,SPOKANE,WA,76100.649157802
2006,STEVENS,WA,7901.582733065
2006,THURSTON,WA,17381.017730703
2006,WAHKIAKUM,WA,270.54984130500003
2006,WALLA WALLA,WA,8005.005738049
2006,WHATCOM,WA,13260.68733095
2006,WHITMAN,WA,3790.187974604
2006,YAKIMA,WA,17610.706106239
2007,ADAMS,WA,1610.23211904
2007,ASOTIN,WA,4130.194370927
2007,BENTON,WA,18438.244549526
2007,CHELAN,WA,7619.5616495
2007,CLALLAM,WA,10300.379409008001
2007,CLARK,WA,30528.168223337
2007,COLUMBIA,WA,654.725142031
2007,COWLITZ,WA,11918.460250412
2007,DOUGLAS,WA,2710.493593129
2007,FERRY,WA,865.795627396
2007,FRANKLIN,WA,5309.758160526
2007,GARFIELD,WA,563.108251716
2007,GRANT,WA,9576.373953736
2007,GRAYS HARBOR,WA,8392.669517129
2007,ISLAND,WA,4670.550937919
2007,JEFFERSON,WA,1816.512698475
2007,KING,WA,349192.629572234
2007,KITSAP,WA,15627.467187775
