year,BUYER_COUNTY,BUYER_STATE,strength
2006,BARBOUR,WV,1987.966591856
2006,BERKELEY,WV,9191.249840098
2006,BOONE,WV,9809.752145395
2006,BRAXTON,WV,2981.297324388
2006,BROOKE,WV,2424.410524418
2006,CABELL,WV,27871.828586521002
2006,CALHOUN,WV,394.450451546
2006,CLAY,WV,1067.1185397240001
2006,DODDRIDGE,WV,444.230665151
2006,FAYETTE,WV,8704.911187349
2006,GILMER,WV,772.093790636
2006,GRANT,WV,865.618727801
2006,GREENBRIER,WV,8930.851816824
2006,HAMPSHIRE,WV,1762.705809315
2006,HANCOCK,WV,5366.643747752
2006,HARDY,WV,1086.28330473
2006,HARRISON,WV,20440.325434389
2006,JACKSON,WV,3673.275684666
2006,JEFFERSON,WV,3888.0322503380003
2006,KANAWHA,WV,42389.830088487
2006,LEWIS,WV,3351.299179777
2006,LINCOLN,WV,2749.326421382
2006,LOGAN,WV,26867.614268328
2006,MARION,WV,8246.972344841
2006,MARSHALL,WV,5361.520849405
2006,MASON,WV,7402.306427825
2006,MCDOWELL,WV,9791.769275801
2006,MERCER,WV,16531.846705307
2006,MINERAL,WV,2504.51810624
2006,MINGO,WV,24452.292338176998
2006,MONONGALIA,WV,13337.990778739
2006,MONROE,WV,1556.954164813
2006,MORGAN,WV,1727.634985221
2006,NICHOLAS,WV,7611.4532020510005
2006,OHIO,WV,160764.409133624
2006,PENDLETON,WV,404.97584944700003
2006,PLEASANTS,WV,1028.044363546
2006,POCAHONTAS,WV,1932.59583675
2006,PRESTON,WV,2531.422755169
2006,PUTNAM,WV,9544.031302922
2006,RALEIGH,WV,22143.018498548
2006,RANDOLPH,WV,4456.057074395
2006,RITCHIE,WV,845.879908325
2006,ROANE,WV,2343.131370515
2006,SUMMERS,WV,1756.345288218
2006,TAYLOR,WV,1788.7831445230001
2006,TUCKER,WV,379.597826867
2006,TYLER,WV,816.618039317
2006,UPSHUR,WV,2208.933165734
2006,WAYNE,WV,8286.920899666
2006,WEBSTER,WV,1452.473367194
2006,WETZEL,WV,2942.328908896
2006,WIRT,WV,274.19252709
2006,WOOD,WV,14682.079742942
2006,WYOMING,WV,7369.45720495
2007,BARBOUR,WV,2354.9363011660002
2007,BERKELEY,WV,9505.999803666
2007,BOONE,WV,10069.396006664
2007,BRAXTON,WV,2998.608107851
2007,BROOKE,WV,2761.753319368
2007,CABELL,WV,32465.435509603
2007,CALHOUN,WV,553.420151168
2007,CLAY,WV,1319.6359494160001
2007,DODDRIDGE,WV,454.690275213
2007,FAYETTE,WV,10702.168745639001
2007,GILMER,WV,1101.932823358
2007,GRANT,WV,966.750929902
2007,GREENBRIER,WV,10431.193372715
2007,HAMPSHIRE,WV,2085.394228408
2007,HANCOCK,WV,5971.658028601
2007,HARDY,WV,1483.490248217
2007,HARRISON,WV,22437.899139599
2007,JACKSON,WV,4660.964396996
2007,JEFFERSON,WV,4700.381039483
2007,KANAWHA,WV,49799.446158686
2007,LEWIS,WV,3580.76348151
2007,LINCOLN,WV,3036.705593024
2007,LOGAN,WV,28539.608857442
2007,MARION,WV,10888.858693195
2007,MARSHALL,WV,6536.399694504
2007,MASON,WV,7854.920452423
2007,MCDOWELL,WV,10463.340213046
2007,MERCER,WV,18090.469557143
2007,MINERAL,WV,3082.802801378
2007,MINGO,WV,40102.638807372
2007,MONONGALIA,WV,15672.656239628
2007,MONROE,WV,1829.855188735
2007,MORGAN,WV,1950.107494939
2007,NICHOLAS,WV,7928.008854043001
2007,OHIO,WV,179436.266927736
2007,PENDLETON,WV,421.275561722
2007,PLEASANTS,WV,1179.289675614
2007,POCAHONTAS,WV,1670.088031917
2007,PRESTON,WV,2537.995471235
2007,PUTNAM,WV,11615.46811137
2007,RALEIGH,WV,24946.310910866
2007,RANDOLPH,WV,4451.396827266
2007,RITCHIE,WV,1020.58188958
2007,ROANE,WV,2109.250964558
2007,SUMMERS,WV,2003.995978958
2007,TAYLOR,WV,2031.275606738
2007,TUCKER,WV,424.60857609
2007,TYLER,WV,860.156000444
2007,UPSHUR,WV,2735.1980659270002
2007,WAYNE,WV,9420.288044473
2007,WEBSTER,WV,1549.358087332
2007,WETZEL,WV,3466.235527365
2007,WIRT,WV,351.356029122
2007,WOOD,WV,16545.741389521
2007,WYOMING,WV,7744.903114637
2008,BARBOUR,WV,2862.454715276
2008,BERKELEY,WV,10882.356650386
2008,BOONE,WV,11840.582454706
2008,BRAXTON,WV,3344.4459882280003
2008,BROOKE,WV,3031.855842334
2008,CABELL,WV,33792.559292412
2008,CALHOUN,WV,500.45152407800003
2008,CLAY,WV,1470.379690107
2008,DODDRIDGE,WV,398.034213717
2008,FAYETTE,WV,11761.634256835001
2008,GILMER,WV,1117.148370716
2008,GRANT,WV,1226.376671359
2008,GREENBRIER,WV,10740.060182812
2008,HAMPSHIRE,WV,2211.399492342
2008,HANCOCK,WV,6013.856405079
2008,HARDY,WV,1800.241583704
2008,HARRISON,WV,24854.014768014
2008,JACKSON,WV,5497.367021828
2008,JEFFERSON,WV,4858.672907146
2008,KANAWHA,WV,55252.681998106
2008,LEWIS,WV,3749.431881505
2008,LINCOLN,WV,4121.926461421
2008,LOGAN,WV,30880.544001195
2008,MARION,WV,13752.593075403
2008,MARSHALL,WV,7474.974829054
2008,MASON,WV,8764.676117074
2008,MCDOWELL,WV,8726.33112806
2008,MERCER,WV,18237.203087148002
2008,MINERAL,WV,3570.1883005610002
2008,MINGO,WV,51949.192356980995
2008,MONONGALIA,WV,15510.419166822001
2008,MONROE,WV,1851.554729722
2008,MORGAN,WV,2124.320840069
2008,NICHOLAS,WV,9150.043302342001
