year,BUYER_COUNTY,BUYER_STATE,strength
2006,ALBANY,WY,1686.122655138
2006,BIG HORN,WY,1185.240937751
2006,CAMPBELL,WY,3735.171598788
2006,CARBON,WY,1466.232493327
2006,CONVERSE,WY,1052.760009754
2006,CROOK,WY,71.372244136
2006,FREMONT,WY,2867.584693865
2006,GOSHEN,WY,896.518990401
2006,HOT SPRINGS,WY,566.156105739
2006,JOHNSON,WY,412.7595893
2006,LARAMIE,WY,5849.656546646
2006,LINCOLN,WY,1539.754198462
2006,NATRONA,WY,7612.141788614
2006,NIOBRARA,WY,167.42185024900002
2006,PARK,WY,5409.454168924
2006,PLATTE,WY,636.059690125
2006,SHERIDAN,WY,3856.965993479
2006,SUBLETTE,WY,479.266351907
2006,SWEETWATER,WY,3570.130138767
2006,TETON,WY,1493.849066056
2006,UINTA,WY,2321.78322957
2006,WASHAKIE,WY,1159.662832327
2006,WESTON,WY,400.35975866
2007,ALBANY,WY,1661.307607529
2007,BIG HORN,WY,1418.4823333690001
2007,CAMPBELL,WY,3790.839491091
2007,CARBON,WY,1724.698593346
2007,CONVERSE,WY,1267.642417512
2007,CROOK,WY,97.563699951
2007,FREMONT,WY,3210.787902523
2007,GOSHEN,WY,980.254344495
2007,HOT SPRINGS,WY,646.4238225080001
2007,JOHNSON,WY,504.23105570900003
2007,LARAMIE,WY,6585.013216655
2007,LINCOLN,WY,1626.1703756250001
2007,NATRONA,WY,8336.750503494
2007,NIOBRARA,WY,149.674109345
2007,PARK,WY,3528.3982260420003
2007,PLATTE,WY,939.943719851
2007,SHERIDAN,WY,3890.7044062130003
2007,SUBLETTE,WY,623.005156573
2007,SWEETWATER,WY,3530.96777091
2007,TETON,WY,916.0927607030001
2007,UINTA,WY,2480.82472154
2007,WASHAKIE,WY,1253.68605536
2007,WESTON,WY,486.39783967700004
2008,ALBANY,WY,1484.878536489
2008,BIG HORN,WY,1450.515686056
2008,CAMPBELL,WY,4240.313485136
2008,CARBON,WY,1980.914292361
2008,CONVERSE,WY,1215.894117234
2008,CROOK,WY,78.33876000000001
2008,FREMONT,WY,4465.983567176
2008,GOSHEN,WY,1042.2437299370001
2008,HOT SPRINGS,WY,652.100500492
2008,JOHNSON,WY,534.2115027240001
2008,LARAMIE,WY,6621.579320982
2008,LINCOLN,WY,1814.5700932930001
2008,NATRONA,WY,7539.983581823
2008,NIOBRARA,WY,184.123878416
2008,PARK,WY,3379.862316662
2008,PLATTE,WY,802.179281351
2008,SHERIDAN,WY,4615.768884671
2008,SUBLETTE,WY,693.171206224
2008,SWEETWATER,WY,3566.386997186
2008,TETON,WY,1076.006032766
2008,UINTA,WY,2500.429662394
2008,WASHAKIE,WY,1264.405437285
2008,WESTON,WY,567.599037657
2009,ALBANY,WY,1556.581118929
2009,BIG HORN,WY,1525.859441869
2009,CAMPBELL,WY,4628.078818134
2009,CARBON,WY,1214.101552
2009,CONVERSE,WY,1371.562947498
2009,CROOK,WY,84.54759996
2009,FREMONT,WY,4794.850447217
2009,GOSHEN,WY,983.202796097
2009,HOT SPRINGS,WY,618.957089179
2009,JOHNSON,WY,577.150239906
2009,LARAMIE,WY,7346.093984597001
2009,LINCOLN,WY,1874.717638623
2009,NATRONA,WY,8170.203151282
2009,NIOBRARA,WY,166.60524314100002
2009,PARK,WY,6486.318671387
2009,PLATTE,WY,781.781624166
2009,SHERIDAN,WY,4883.501956299
2009,SUBLETTE,WY,686.362706068
2009,SWEETWATER,WY,3733.962051585
2009,TETON,WY,951.4046138690001
2009,UINTA,WY,2763.794543884
2009,WASHAKIE,WY,1186.334162418
2009,WESTON,WY,530.335119297
2010,ALBANY,WY,1811.792589611
2010,BIG HORN,WY,1499.529970608
2010,CAMPBELL,WY,4742.642942571
2010,CARBON,WY,1230.493606134
2010,CONVERSE,WY,1388.394645932
2010,CROOK,WY,115.79884652000001
2010,FREMONT,WY,4457.8783324080005
2010,GOSHEN,WY,925.0466881770001
2010,HOT SPRINGS,WY,643.691977445
2010,JOHNSON,WY,536.975199399
2010,LARAMIE,WY,8470.236556444
2010,LINCOLN,WY,1801.6583879920001
2010,NATRONA,WY,9659.849782747
2010,NIOBRARA,WY,220.702354834
2010,PARK,WY,4223.985761967
2010,PLATTE,WY,845.543788016
2010,SHERIDAN,WY,4671.9829458350005
2010,SUBLETTE,WY,712.661869694
2010,SWEETWATER,WY,4245.581052095
2010,TETON,WY,1529.783962936
2010,UINTA,WY,3031.157670645
2010,WASHAKIE,WY,1248.132801641
2010,WESTON,WY,571.964925374
2011,ALBANY,WY,1783.6523069490001
2011,BIG HORN,WY,1538.088196374
2011,CAMPBELL,WY,4760.454888339
2011,CARBON,WY,1667.726385221
2011,CONVERSE,WY,1382.390919044
2011,CROOK,WY,126.63935260000001
2011,FREMONT,WY,4521.263499174
2011,GOSHEN,WY,921.336128505
2011,HOT SPRINGS,WY,734.484724919
2011,JOHNSON,WY,548.697686976
2011,LARAMIE,WY,9090.338730037
2011,LINCOLN,WY,1767.04006499
2011,NATRONA,WY,10400.195774056001
2011,NIOBRARA,WY,223.77920132
2011,PARK,WY,4139.1799251580005
2011,PLATTE,WY,1018.403753487
2011,SHERIDAN,WY,4687.055745657
2011,SUBLETTE,WY,755.739779055
2011,SWEETWATER,WY,4806.753126323
2011,TETON,WY,1493.267477998
2011,UINTA,WY,3009.589462156
2011,WASHAKIE,WY,1427.145424318
2011,WESTON,WY,594.348529882
2012,ALBANY,WY,1811.5469805930002
2012,BIG HORN,WY,1624.560052561
2012,CAMPBELL,WY,4520.9020124280005
2012,CARBON,WY,1682.1702743350002
2012,CONVERSE,WY,1677.313977716
2012,CROOK,WY,144.0685515
2012,FREMONT,WY,4599.270288618
2012,GOSHEN,WY,1006.091230405
2012,HOT SPRINGS,WY,820.639259484
2012,JOHNSON,WY,601.943504631
2012,LARAMIE,WY,9735.50985113
2012,LINCOLN,WY,1783.072177301
2012,NATRONA,WY,10818.487465133001
2012,NIOBRARA,WY,250.121277101
2012,PARK,WY,4391.932300972
2012,PLATTE,WY,1155.383102966
2012,SHERIDAN,WY,4506.316121212
2012,SUBLETTE,WY,678.4323101250001
2012,SWEETWATER,WY,5047.29876731
2012,TETON,WY,1528.940845925
2012,UINTA,WY,2820.7114524080002
2012,WASHAKIE,WY,1338.170051966
2012,WESTON,WY,627.702853127
2013,ALBANY,WY,1711.0999072710001
2013,BIG HORN,WY,1580.583570894
2013,CAMPBELL,WY,4362.701269204
2013,CARBON,WY,2106.3791376090003
2013,CONVERSE,WY,1470.243723029
2013,CROOK,WY,120.463086433
2013,FREMONT,WY,4573.517401641
2013,GOSHEN,WY,949.441322697
2013,HOT SPRINGS,WY,828.480658851
2013,JOHNSON,WY,598.193930511
2013,LARAMIE,WY,9257.771595259
2013,LINCOLN,WY,1932.715005853
2013,NATRONA,WY,10838.327239398
2013,NIOBRARA,WY,277.69133554
2013,PARK,WY,10618.926133653
2013,PLATTE,WY,1055.208618917
2013,SHERIDAN,WY,4149.403153434
2013,SUBLETTE,WY,691.249856089
2013,SWEETWATER,WY,5015.056669009
2013,TETON,WY,1417.366474553
2013,UINTA,WY,2886.0546575890003
2013,WASHAKIE,WY,1193.084862185
2013,WESTON,WY,578.580450848
