year,BUYER_COUNTY,BUYER_STATE,strength
2006,AUTAUGA,AL,53760.37711740125
2006,BALDWIN,AL,172218.78926835494
2006,BARBOUR,AL,12266.765676882
2006,BIBB,AL,16893.219967597
2006,BLOUNT,AL,26243.545303226
2006,BULLOCK,AL,2487.4664906089997
2006,BUTLER,AL,10964.6439126995
2006,CALHOUN,AL,166071.97294891265
2006,CHAMBERS,AL,40807.12155336925
2006,CHEROKEE,AL,22484.05912977075
2006,CHILTON,AL,59318.810958240996
2006,CHOCTAW,AL,7880.724442361749
2006,CLARKE,AL,14296.67045903175
2006,CLAY,AL,8442.695607530999
2006,CLEBURNE,AL,4028.910402502
2006,COFFEE,AL,25541.3221828615
2006,COLBERT,AL,92087.48509114704
2006,CONECUH,AL,7436.249456524
2006,COOSA,AL,1867.558673865
2006,COVINGTON,AL,30230.76540069945
2006,CRENSHAW,AL,5895.5862829729995
2006,CULLMAN,AL,89659.71809013885
2006,DALE,AL,49846.17506898325
2006,DALLAS,AL,24240.8494405345
2006,DE KALB,AL,35572.13905178375
2006,ELMORE,AL,40139.18792195275
2006,ESCAMBIA,AL,30678.41771124705
2006,ETOWAH,AL,199239.18034674274
2006,FAYETTE,AL,13044.8488851512
2006,FRANKLIN,AL,26851.975677202998
2006,GENEVA,AL,15183.295501057
2006,GREENE,AL,627.419099993
2006,HALE,AL,5989.44363982575
2006,HENRY,AL,6631.913531474
2006,HOUSTON,AL,81058.734700456
2006,JACKSON,AL,187691.12447282975
2006,JEFFERSON,AL,3552119.9397046417
2006,LAMAR,AL,9529.46032422525
2006,LAUDERDALE,AL,64442.69388517575
2006,LAWRENCE,AL,18379.543680313498
2006,LEE,AL,35010.59366927525
2006,LIMESTONE,AL,45243.0410913265
2006,LOWNDES,AL,673.893619821
2006,MACON,AL,12236.77357145075
2006,MADISON,AL,63489837.69811455
2006,MARENGO,AL,9484.162257419
2006,MARION,AL,55898.88735804325
2006,MARSHALL,AL,86072.945985379
2006,MOBILE,AL,453461.83552468667
2006,MONROE,AL,15249.15291544
2006,MONTGOMERY,AL,158177.3959745316
2006,MORGAN,AL,93724.8089896115
2006,PERRY,AL,5713.828279128
2006,PICKENS,AL,9749.3381273365
2006,PIKE,AL,13641.081152023
2006,RANDOLPH,AL,7283.7065713652
2006,RUSSELL,AL,27698.347487285
2006,SAINT CLAIR,AL,42274.68912781875
2006,SHELBY,AL,2431091.8805092094
2006,SUMTER,AL,2436.8451876394997
2006,TALLADEGA,AL,50759.48108335625
2006,TALLAPOOSA,AL,17374.280723738
2006,TUSCALOOSA,AL,414650.6557739945
2006,WALKER,AL,236500.75280798326
2006,WASHINGTON,AL,6279.50926051275
2006,WILCOX,AL,2039.48946877825
2006,WINSTON,AL,30636.80660616265
2007,AUTAUGA,AL,55402.0576826258
2007,BALDWIN,AL,190114.66164764625
2007,BARBOUR,AL,13852.015708243249
2007,BIBB,AL,20372.88442666075
2007,BLOUNT,AL,28899.555013983998
2007,BULLOCK,AL,2223.79191993325
2007,BUTLER,AL,11341.9277076985
2007,CALHOUN,AL,198329.14050176754
2007,CHAMBERS,AL,40910.77621506225
2007,CHEROKEE,AL,26245.0019842745
2007,CHILTON,AL,56006.94589838225
2007,CHOCTAW,AL,8932.24259473675
2007,CLARKE,AL,17764.4723675365
2007,CLAY,AL,10373.1459235385
2007,CLEBURNE,AL,4381.404440717
2007,COFFEE,AL,27866.645760766998
2007,COLBERT,AL,94129.44420875615
2007,CONECUH,AL,8571.398030586999
2007,COOSA,AL,1943.6284789439999
2007,COVINGTON,AL,39648.25603535095
2007,CRENSHAW,AL,6394.163258665
2007,CULLMAN,AL,109115.08138948175
2007,DALE,AL,62319.5440503335
2007,DALLAS,AL,33359.14498476625
2007,DE KALB,AL,44026.44918739875
2007,ELMORE,AL,44955.555387494
2007,ESCAMBIA,AL,30939.339711958448
2007,ETOWAH,AL,247966.260257994
2007,FAYETTE,AL,15899.910844213999
2007,FRANKLIN,AL,37814.5320541255
2007,GENEVA,AL,15071.243482321
2007,GREENE,AL,1074.807636115
2007,HALE,AL,6709.0049123385
2007,HENRY,AL,6559.8531159535
2007,HOUSTON,AL,93246.70022680935
2007,JACKSON,AL,225651.98884933168
2007,JEFFERSON,AL,3210123.268735398
2007,LAMAR,AL,11678.761667098
2007,LAUDERDALE,AL,69923.250511923
2007,LAWRENCE,AL,20514.6070923845
2007,LEE,AL,43015.54263653145
2007,LIMESTONE,AL,48614.02083876085
2007,LOWNDES,AL,630.907850942
2007,MACON,AL,13393.46028505375
2007,MADISON,AL,23895932.007320408
2007,MARENGO,AL,10814.198004030999
2007,MARION,AL,67016.84670680421
2007,MARSHALL,AL,93779.6510474736
2007,MOBILE,AL,506360.066480679
2007,MONROE,AL,17029.4730020605
2007,MONTGOMERY,AL,177764.75025491475
2007,MORGAN,AL,124703.65508942175
2007,PERRY,AL,6202.9708336735
2007,PICKENS,AL,12283.725307072
2007,PIKE,AL,17111.0779544875
2007,RANDOLPH,AL,8993.105038212
2007,RUSSELL,AL,31814.16464908425
2007,SAINT CLAIR,AL,49596.600956806746
2007,SHELBY,AL,2635018.5153776337
2007,SUMTER,AL,3620.340841841
2007,TALLADEGA,AL,61248.276672970496
2007,TALLAPOOSA,AL,22135.77859436625
2007,TUSCALOOSA,AL,481462.4164319347
2007,WALKER,AL,278735.1799956043
2007,WASHINGTON,AL,6550.46766998275
2007,WILCOX,AL,2007.0981386317499
2007,WINSTON,AL,33729.16725965225
2008,AUTAUGA,AL,59367.7314833342
2008,BALDWIN,AL,191561.322629989
2008,BARBOUR,AL,15334.2876686154
2008,BIBB,AL,21045.24139354385
