year,BUYER_COUNTY,BUYER_STATE,strength
2006,ARKANSAS,AR,11463.89469141075
2006,ASHLEY,AR,8817.9280572431
2006,BAXTER,AR,33108.216637183
2006,BENTON,AR,6558336.156969545
2006,BOONE,AR,27718.31015332725
2006,BRADLEY,AR,3438.6266687307498
2006,CALHOUN,AR,2012.93380751475
2006,CARROLL,AR,22126.4654347975
2006,CHICOT,AR,6146.2618675124995
2006,CLARK,AR,16334.05396448025
2006,CLAY,AR,6081.607701584
2006,CLEBURNE,AR,17644.05745447275
2006,CLEVELAND,AR,206.22744317975
2006,COLUMBIA,AR,13372.8602342625
2006,CONWAY,AR,11558.98575252675
2006,CRAIGHEAD,AR,63049.3333290785
2006,CRAWFORD,AR,41111.70795739425
2006,CRITTENDEN,AR,21016.71887474025
2006,CROSS,AR,5690.194096733
2006,DALLAS,AR,3604.340532271
2006,DESHA,AR,4739.97492713
2006,DREW,AR,5705.5505584535
2006,FAULKNER,AR,49477.95706894525
2006,FRANKLIN,AR,10203.938609746
2006,FULTON,AR,12859.3479912825
2006,GARLAND,AR,98300.82015653476
2006,GRANT,AR,6723.170386322
2006,GREENE,AR,524080.0182836183
2006,HEMPSTEAD,AR,8103.6364960457
2006,HOT SPRING,AR,11294.091328322249
2006,HOWARD,AR,5366.43465539075
2006,INDEPENDENCE,AR,25491.427737224
2006,IZARD,AR,18438.35032842775
2006,JACKSON,AR,7778.0303564555
2006,JEFFERSON,AR,183558.1595088457
2006,JOHNSON,AR,11897.6141986625
2006,LAFAYETTE,AR,2121.80424251
2006,LAWRENCE,AR,7903.883994952
2006,LEE,AR,2230.7504572065
2006,LINCOLN,AR,1685.395778083
2006,LITTLE RIVER,AR,4896.49270224625
2006,LOGAN,AR,12981.61460689375
2006,LONOKE,AR,24201.3763733216
2006,MADISON,AR,4850.9417083114995
2006,MARION,AR,12780.97800878025
2006,MILLER,AR,20114.38470405825
2006,MISSISSIPPI,AR,18635.45512177875
2006,MONROE,AR,3115.0412082469998
2006,MONTGOMERY,AR,2769.060121297
2006,NEVADA,AR,1712.0922459445
2006,NEWTON,AR,938.090301846
2006,OUACHITA,AR,15263.62769638025
2006,PERRY,AR,3018.3871166999998
2006,PHILLIPS,AR,10728.9049198745
2006,PIKE,AR,7211.40506151225
2006,POINSETT,AR,14842.7532072375
2006,POLK,AR,23988.864906005
2006,POPE,AR,32990.0203929525
2006,PRAIRIE,AR,3041.590512013
2006,PULASKI,AR,415094.4889374285
2006,RANDOLPH,AR,7092.30711282175
2006,SAINT FRANCIS,AR,7542.94076657775
2006,SALINE,AR,64911.058767093746
2006,SCOTT,AR,10388.22853046925
2006,SEARCY,AR,5080.95774660225
2006,SEBASTIAN,AR,231120.68330992875
2006,SEVIER,AR,8465.7479979811
2006,SHARP,AR,17745.7116565827
2006,STONE,AR,10737.282083298749
2006,UNION,AR,36261.57972370275
2006,VAN BUREN,AR,9848.58029821075
2006,WASHINGTON,AR,152197.43753147035
2006,WHITE,AR,38476.77796644725
2006,WOODRUFF,AR,5002.1557843585
2006,YELL,AR,10814.949457617
2007,ARKANSAS,AR,12731.353748465299
2007,ASHLEY,AR,10236.65876289
2007,BAXTER,AR,35467.16554285995
2007,BENTON,AR,7492538.671034293
2007,BOONE,AR,33968.83827117835
2007,BRADLEY,AR,3986.90374377575
2007,CALHOUN,AR,2472.13397920475
2007,CARROLL,AR,28323.50881907675
2007,CHICOT,AR,5492.4436154467
2007,CLARK,AR,18910.94808451475
2007,CLAY,AR,6970.19126851025
2007,CLEBURNE,AR,20433.28864040625
2007,CLEVELAND,AR,273.167372927
2007,COLUMBIA,AR,11981.4134653976
2007,CONWAY,AR,16010.707903821
2007,CRAIGHEAD,AR,65618.7236284247
2007,CRAWFORD,AR,50874.79880737085
2007,CRITTENDEN,AR,22431.08310770865
2007,CROSS,AR,7408.96565174025
2007,DALLAS,AR,3752.05468607275
2007,DESHA,AR,5385.68124636725
2007,DREW,AR,7231.55094997625
2007,FAULKNER,AR,52728.41072788575
2007,FRANKLIN,AR,14014.232509115
