year,BUYER_COUNTY,BUYER_STATE,strength
2006,AMERICAN SAMOA,AS,1525.6143084
2007,AMERICAN SAMOA,AS,856.829415
2008,AMERICAN SAMOA,AS,810.6314523679999
2009,AMERICAN SAMOA,AS,930.492895
2010,AMERICAN SAMOA,AS,989.85029
2011,AMERICAN SAMOA,AS,966.65419
2012,AMERICAN SAMOA,AS,1007.8135226999999
2013,AMERICAN SAMOA,AS,811.9263945
2014,AMERICAN SAMOA,AS,623.5091649999999
2015,AMERICAN SAMOA,AS,555.3971258
2016,AMERICAN SAMOA,AS,772.5393968
2017,AMERICAN SAMOA,AS,437.740845
2018,AMERICAN SAMOA,AS,307.9395612
2019,AMERICAN SAMOA,AS,429.100554
