year,BUYER_COUNTY,BUYER_STATE,strength
2006,APACHE,AZ,25263.6736412465
2006,COCHISE,AZ,94171.56276100605
2006,COCONINO,AZ,259436.96320163136
2006,GILA,AZ,66454.01656711724
2006,GRAHAM,AZ,40950.737534552
2006,GREENLEE,AZ,1379.78479691
2006,LA PAZ,AZ,12996.70939326285
2006,MARICOPA,AZ,8179741.463462935
2006,MOHAVE,AZ,205814.3491852687
2006,NAVAJO,AZ,50103.1744289359
2006,PIMA,AZ,1204200.3066689852
2006,PINAL,AZ,164473.4651222995
2006,SANTA CRUZ,AZ,10524.803734920999
2006,YAVAPAI,AZ,186756.95369989733
2006,YUMA,AZ,80726.53764470785
2007,APACHE,AZ,28086.527085236998
2007,COCHISE,AZ,109781.07583283285
2007,COCONINO,AZ,337854.1963872278
2007,GILA,AZ,73363.9548971975
2007,GRAHAM,AZ,56980.9632227635
2007,GREENLEE,AZ,2186.761202995
2007,LA PAZ,AZ,14210.4936437003
2007,MARICOPA,AZ,10332617.9545151
2007,MOHAVE,AZ,241628.20520043685
2007,NAVAJO,AZ,58471.5637386203
2007,PIMA,AZ,1343610.6472991812
2007,PINAL,AZ,185832.44727027774
2007,SANTA CRUZ,AZ,9886.925818754
2007,YAVAPAI,AZ,221158.1695008174
2007,YUMA,AZ,84557.55352976809
2008,APACHE,AZ,26586.399815448
2008,COCHISE,AZ,122269.7276703718
2008,COCONINO,AZ,535766.1665361413
2008,GILA,AZ,67849.18334173085
2008,GRAHAM,AZ,70129.756177286
2008,GREENLEE,AZ,3390.846606101
2008,LA PAZ,AZ,14088.221798668
2008,MARICOPA,AZ,10287533.601706047
2008,MOHAVE,AZ,282858.3152577137
2008,NAVAJO,AZ,68267.16391703195
2008,PIMA,AZ,1423099.2987034712
2008,PINAL,AZ,192198.72549035758
2008,SANTA CRUZ,AZ,12159.934344230449
2008,YAVAPAI,AZ,239197.22358413134
2008,YUMA,AZ,99800.02855259794
2009,APACHE,AZ,29726.50880964
2009,COCHISE,AZ,131077.3138540915
2009,COCONINO,AZ,625079.9369217665
2009,GILA,AZ,77871.168964311
2009,GRAHAM,AZ,78804.072810728
2009,GREENLEE,AZ,3523.5288926549997
2009,LA PAZ,AZ,15140.767711751
2009,MARICOPA,AZ,11507906.150073525
2009,MOHAVE,AZ,305105.54339608573
2009,NAVAJO,AZ,75312.0356081185
2009,PIMA,AZ,1463325.0695376177
2009,PINAL,AZ,198806.12785181226
2009,SANTA CRUZ,AZ,9594.41245244
2009,YAVAPAI,AZ,259619.24840364026
2009,YUMA,AZ,104465.8131319595
2010,APACHE,AZ,32081.589186441
2010,COCHISE,AZ,141373.4220968855
2010,COCONINO,AZ,722301.7952126355
2010,GILA,AZ,85391.9098258965
2010,GRAHAM,AZ,80103.013707567
2010,GREENLEE,AZ,4219.604447141
2010,LA PAZ,AZ,16065.183158405
2010,MARICOPA,AZ,12231001.272120932
2010,MOHAVE,AZ,319068.2784878017
2010,NAVAJO,AZ,76741.0754021095
2010,PIMA,AZ,1520368.6948482902
2010,PINAL,AZ,219169.24970354474
