year,BUYER_COUNTY,BUYER_STATE,strength
2006,ALAMEDA,CA,19468651.689762678
2006,ALPINE,CA,0.45405
2006,AMADOR,CA,35374.204121229
2006,BUTTE,CA,328126.490537453
2006,CALAVERAS,CA,35287.513163624
2006,COLUSA,CA,15132.6417513465
2006,CONTRA COSTA,CA,566707.6204173268
2006,DEL NORTE,CA,32401.7547588585
2006,EL DORADO,CA,107461.19044388749
2006,FRESNO,CA,512482.9465395667
2006,GLENN,CA,22281.613142567
2006,HUMBOLDT,CA,170724.542930466
2006,IMPERIAL,CA,53123.145800464496
2006,INYO,CA,11770.200280938
2006,KERN,CA,381823.56411416363
2006,KINGS,CA,322182.072040128
2006,LAKE,CA,90281.9137851155
2006,LASSEN,CA,44330.159836814
2006,LOS ANGELES,CA,9144817.429879019
2006,MADERA,CA,55324.041044649995
2006,MARIN,CA,189970.8147590425
2006,MARIPOSA,CA,5196.978398925
2006,MENDOCINO,CA,109731.589733267
2006,MERCED,CA,85174.6626191355
2006,MODOC,CA,7400.592999678
2006,MONO,CA,1535.1010414969999
2006,MONTEREY,CA,192802.3931424015
2006,NAPA,CA,87263.9421781315
2006,NEVADA,CA,108260.529750756
2006,ORANGE,CA,1714925.091381925
2006,PLACER,CA,386672.5920105111
2006,PLUMAS,CA,23946.867177526
2006,RIVERSIDE,CA,325335184.6888121
2006,SACRAMENTO,CA,5495823.133848938
2006,SAN BENITO,CA,17570.1000098705
2006,SAN BERNARDINO,CA,794753.0038419282
2006,SAN DIEGO,CA,1450733.817768211
2006,SAN FRANCISCO,CA,704361.8742585862
2006,SAN JOAQUIN,CA,802841.326634068
2006,SAN LUIS OBISPO,CA,209578.3585449138
2006,SAN MATEO,CA,297904.6731764921
2006,SANTA BARBARA,CA,283481.4605216637
2006,SANTA CLARA,CA,1023779.9493559934
2006,SANTA CRUZ,CA,178561.2868325345
2006,SHASTA,CA,271955.4418090025
2006,SIERRA,CA,691.104820363
2006,SISKIYOU,CA,39832.918663271
2006,SOLANO,CA,72015128.32343712
2006,SONOMA,CA,368756.7680522125
2006,STANISLAUS,CA,460375.8403847335
2006,SUTTER,CA,89154.267069835
2006,TEHAMA,CA,51512.252767121
2006,TRINITY,CA,15034.0205166045
2006,TULARE,CA,227876.45594587745
2006,TUOLUMNE,CA,76143.986480965
2006,VENTURA,CA,384789.26425600745
2006,YOLO,CA,9944096.53514155
2006,YUBA,CA,73054.0146799595
2007,ALAMEDA,CA,20147111.707707692
2007,AMADOR,CA,40022.9432154335
2007,BUTTE,CA,361460.010849985
2007,CALAVERAS,CA,41067.0599166995
2007,COLUSA,CA,14516.325095639
2007,CONTRA COSTA,CA,641515.4765388791
2007,DEL NORTE,CA,36443.4658939675
2007,EL DORADO,CA,125244.1208327512
2007,FRESNO,CA,563120.1842427395
2007,GLENN,CA,24042.3972433835
2007,HUMBOLDT,CA,191650.5316591661
2007,IMPERIAL,CA,47458.449250745
2007,INYO,CA,13919.7957235905
2007,KERN,CA,421361.3483285289
2007,KINGS,CA,385426.1086666891
2007,LAKE,CA,100101.9267081725
2007,LASSEN,CA,44233.49623448975
2007,LOS ANGELES,CA,10288811.96026357
2007,MADERA,CA,64278.820407230996
2007,MARIN,CA,212437.278220419
2007,MARIPOSA,CA,4691.410566336
2007,MENDOCINO,CA,116664.892742632
2007,MERCED,CA,101338.24558352635
2007,MODOC,CA,8592.129533838
2007,MONO,CA,1654.912945956
2007,MONTEREY,CA,209508.21559114
2007,NAPA,CA,101387.808236509
2007,NEVADA,CA,137929.4331115775
2007,ORANGE,CA,1710197.7606897182
2007,PLACER,CA,407134.0015624377
2007,PLUMAS,CA,23119.698483259148
2007,RIVERSIDE,CA,223675852.62743318
2007,SACRAMENTO,CA,6558653.552309306
2007,SAN BENITO,CA,18944.594779905
2007,SAN BERNARDINO,CA,945687.550003212
2007,SAN DIEGO,CA,2047419.0375010313
2007,SAN FRANCISCO,CA,732290.6257534352
2007,SAN JOAQUIN,CA,928981.3331651327
2007,SAN LUIS OBISPO,CA,250983.68155650215
2007,SAN MATEO,CA,595640.7986284865
2007,SANTA BARBARA,CA,316030.81731084967
2007,SANTA CLARA,CA,1003918.6911752657
2007,SANTA CRUZ,CA,206744.53130595
