year,BUYER_COUNTY,BUYER_STATE,strength
2006,ADAMS,CO,2954514.751963247
2006,ALAMOSA,CO,15949.053444013249
2006,ARAPAHOE,CO,4359784.434834345
2006,ARCHULETA,CO,2908.683184127
2006,BACA,CO,3574.761885881
2006,BENT,CO,1200.247890862
2006,BOULDER,CO,188449.99824484214
2006,BROOMFIELD,CO,31657247.2179891
2006,CHAFFEE,CO,12586.517950690999
2006,CHEYENNE,CO,350.204329044
2006,CLEAR CREEK,CO,3388.825864873
2006,CONEJOS,CO,4329.035163835
2006,CROWLEY,CO,4204.892554098
2006,CUSTER,CO,8.1375
2006,DELTA,CO,24897.597473265
2006,DENVER,CO,1606424.685257306
2006,DOLORES,CO,60.019829744999996
2006,DOUGLAS,CO,92882.29173640099
2006,EAGLE,CO,18499.7206153015
2006,EL PASO,CO,383512.734267216
2006,ELBERT,CO,2708.233920951
2006,FREMONT,CO,30039.41934622275
2006,GARFIELD,CO,28648.295074374
2006,GILPIN,CO,578.824851901
2006,GRAND,CO,4971.510133756
2006,GUNNISON,CO,4652.525681682
2006,HINSDALE,CO,1.7253500000000002
2006,HUERFANO,CO,4341.703284417
2006,JACKSON,CO,1.93728
2006,JEFFERSON,CO,391317.28412912175
2006,KIOWA,CO,488.978823142
2006,KIT CARSON,CO,1335.655969125
2006,LA PLATA,CO,22547.119912408998
2006,LAKE,CO,3574.424221478
2006,LARIMER,CO,186955.22260407073
2006,LAS ANIMAS,CO,15011.872538714999
2006,LINCOLN,CO,2380.3636566229998
2006,LOGAN,CO,13980.86728981175
2006,MESA,CO,105372.38585842325
2006,MOFFAT,CO,6975.270959482
2006,MONTEZUMA,CO,15434.956720500999
2006,MONTROSE,CO,17457.02798283955
2006,MORGAN,CO,16131.10835404125
2006,OTERO,CO,15772.928422342
2006,OURAY,CO,2667.868888361
2006,PARK,CO,1577.18852696
2006,PHILLIPS,CO,975.738418862
2006,PITKIN,CO,3713.078469054
2006,PROWERS,CO,6592.28963291395
2006,PUEBLO,CO,161275.70975020816
2006,RIO BLANCO,CO,2793.966917925
2006,RIO GRANDE,CO,4964.879804995
2006,ROUTT,CO,11554.164538621
2006,SAGUACHE,CO,2.2166
2006,SAN JUAN,CO,0.24216
2006,SAN MIGUEL,CO,949.266997074
2006,SEDGWICK,CO,1423.0583462915
2006,SUMMIT,CO,12152.516042477
2006,TELLER,CO,13071.938267816
2006,WASHINGTON,CO,1162.169955435
2006,WELD,CO,97190.104281686
2006,YUMA,CO,5063.336379888
2007,ADAMS,CO,3887932.419966843
2007,ALAMOSA,CO,18952.42464489625
2007,ARAPAHOE,CO,2260822.940347747
2007,ARCHULETA,CO,3092.9900742635
2007,BACA,CO,4401.836456283
2007,BENT,CO,1611.148381307
2007,BOULDER,CO,208846.118461637
2007,BROOMFIELD,CO,32284026.39647665
2007,CHAFFEE,CO,12278.3127383415
2007,CHEYENNE,CO,475.8596824448
2007,CLEAR CREEK,CO,4563.019642909
2007,CONEJOS,CO,4437.132676445
2007,CROWLEY,CO,4582.015718002
2007,CUSTER,CO,6.03352
2007,DELTA,CO,30020.1662384825
2007,DENVER,CO,1730749.9216307173
2007,DOLORES,CO,66.78308473999999
2007,DOUGLAS,CO,106805.4667148925
2007,EAGLE,CO,23294.745644786
2007,EL PASO,CO,425610.475557903
2007,ELBERT,CO,3628.4898955185
2007,FREMONT,CO,35787.05399857
2007,GARFIELD,CO,34219.9695043415
2007,GILPIN,CO,807.930676155
2007,GRAND,CO,7017.0067883149995
2007,GUNNISON,CO,4649.831240497
2007,HINSDALE,CO,3.845375
2007,HUERFANO,CO,3842.274523137
2007,JACKSON,CO,3.519936
2007,JEFFERSON,CO,462656.4943274959
2007,KIOWA,CO,836.45431998
2007,KIT CARSON,CO,1543.146619942
2007,LA PLATA,CO,23749.18644459425
2007,LAKE,CO,5065.964144201
2007,LARIMER,CO,221943.18154365
2007,LAS ANIMAS,CO,12759.101928197
2007,LINCOLN,CO,2792.307729533
2007,LOGAN,CO,15840.69348820425
2007,MESA,CO,114369.99048864625
2007,MOFFAT,CO,8106.3385209954995
2007,MONTEZUMA,CO,17748.26999754375
2007,MONTROSE,CO,21151.2971310015
2007,MORGAN,CO,15791.254404738
2007,OTERO,CO,17237.3318922195
2007,OURAY,CO,2113.19131277
2007,PARK,CO,1735.937763987
2007,PHILLIPS,CO,894.214939417
2007,PITKIN,CO,3642.5296559655
2007,PROWERS,CO,6931.5028213165
2007,PUEBLO,CO,197481.88427134565
2007,RIO BLANCO,CO,2208.031189936
2007,RIO GRANDE,CO,3393.416346593
2007,ROUTT,CO,13686.165376595
2007,SAGUACHE,CO,0.989561035
2007,SAN MIGUEL,CO,1012.1464507869999
2007,SEDGWICK,CO,1779.2156843349999
2007,SUMMIT,CO,14678.88743508
2007,TELLER,CO,15550.01427081625
2007,WASHINGTON,CO,641.500943289
2007,WELD,CO,112159.07962531825
2007,YUMA,CO,5251.232824607
2008,ADAMS,CO,3371337.9274376836
2008,ALAMOSA,CO,22171.7190168805
2008,ARAPAHOE,CO,1774564.940698004
2008,ARCHULETA,CO,2792.873527162
2008,BACA,CO,4282.198289838
2008,BENT,CO,1790.219021499
2008,BOULDER,CO,240635.20516475453
2008,BROOMFIELD,CO,6211021.336006898
2008,CHAFFEE,CO,13957.671192964
2008,CHEYENNE,CO,578.7173250829
2008,CLEAR CREEK,CO,4906.135906628
2008,CONEJOS,CO,4342.092416787
2008,CROWLEY,CO,4367.43271049
2008,CUSTER,CO,4.3729810339999995
2008,DELTA,CO,34844.957391940596
2008,DENVER,CO,2053691.1324702871
2008,DOLORES,CO,74.159882635
2008,DOUGLAS,CO,128973.79540424174
2008,EAGLE,CO,25867.955047192998
2008,EL PASO,CO,446164.07501850673
2008,ELBERT,CO,3690.3644397774997
2008,FREMONT,CO,45825.171330815996
2008,GARFIELD,CO,36986.186436923
2008,GILPIN,CO,587.0673425
2008,GRAND,CO,7539.861117140999
2008,GUNNISON,CO,4798.546556568
2008,HINSDALE,CO,5.06219
2008,HUERFANO,CO,4058.68973944
2008,JACKSON,CO,4.409268034
2008,JEFFERSON,CO,497829.0420886567
2008,KIOWA,CO,844.3683741049999
2008,KIT CARSON,CO,1740.09729425
2008,LA PLATA,CO,25705.297340840498
2008,LAKE,CO,4510.911477377
2008,LARIMER,CO,235575.85793353745
2008,LAS ANIMAS,CO,13907.4432071675
2008,LINCOLN,CO,3865.5806344724997
2008,LOGAN,CO,17313.6793559815
2008,MESA,CO,121828.48790091125
2008,MOFFAT,CO,7571.911583478
2008,MONTEZUMA,CO,19168.19924310175
2008,MONTROSE,CO,23979.94408559775
2008,MORGAN,CO,16390.802725981
2008,OTERO,CO,19371.084341630998
2008,OURAY,CO,1370.934669895
2008,PARK,CO,1874.77527961775
2008,PHILLIPS,CO,991.7628601619999
2008,PITKIN,CO,3688.252948713
2008,PROWERS,CO,8280.6678614965
2008,PUEBLO,CO,234344.62867342145
2008,RIO BLANCO,CO,2448.591993083
2008,RIO GRANDE,CO,3896.802731896
2008,ROUTT,CO,12844.188748287499
2008,SAGUACHE,CO,0.9895610340000001
2008,SAN MIGUEL,CO,1137.281998
2008,SEDGWICK,CO,1895.308721343
2008,SUMMIT,CO,11126.104392625
2008,TELLER,CO,20324.5673426025
2008,WASHINGTON,CO,560.862611397
2008,WELD,CO,131238.81603101565
2008,YUMA,CO,5766.00145005
2009,ADAMS,CO,3159908.8345681033
2009,ALAMOSA,CO,26293.419352996498
2009,ARAPAHOE,CO,2035224.5947287793
2009,ARCHULETA,CO,3043.3456787215
2009,BACA,CO,5947.554784561
2009,BENT,CO,2079.4137309519997
2009,BOULDER,CO,256802.921988005
