year,BUYER_COUNTY,BUYER_STATE,strength
2006,FAIRFIELD,CT,2481136.55098947
2006,HARTFORD,CT,3035150.4247275544
2006,LITCHFIELD,CT,135699.6706158705
2006,MIDDLESEX,CT,134403.79679740724
2006,NEW HAVEN,CT,1302033.5766776535
2006,NEW LONDON,CT,256897.0270133145
2006,TOLLAND,CT,63800.193678891745
2006,WINDHAM,CT,1009490.9268142584
2007,ANDERSON,CT,0.217944
2007,FAIRFIELD,CT,1092343.5358354433
2007,HARTFORD,CT,3326518.2121318947
2007,LITCHFIELD,CT,142958.079971365
2007,MIDDLESEX,CT,156199.3861573855
2007,NEW HAVEN,CT,1449190.878272603
2007,NEW LONDON,CT,294014.77906771685
2007,TOLLAND,CT,80606.320673145
2007,WINDHAM,CT,754863.6059403989
2008,FAIRFIELD,CT,1402893.2747929227
2008,HARTFORD,CT,3652698.3660379043
2008,LITCHFIELD,CT,159313.00473819775
2008,MIDDLESEX,CT,165960.066385732
2008,NEW HAVEN,CT,1481218.6498867478
2008,NEW LONDON,CT,323037.618648009
2008,TOLLAND,CT,83897.24606117574
2008,WINDHAM,CT,621580.8243831062
2009,FAIRFIELD,CT,1517724.1084104064
2009,HARTFORD,CT,3850243.303513481
2009,LITCHFIELD,CT,180479.31150258798
2009,MIDDLESEX,CT,182481.6710642555
2009,NEW HAVEN,CT,1543268.494898644
2009,NEW LONDON,CT,342826.13286150375
2009,TOLLAND,CT,98197.44853975424
2009,WINDHAM,CT,713771.839903461
2010,FAIRFIELD,CT,1203191.564519767
2010,HARTFORD,CT,4721921.800611439
2010,LITCHFIELD,CT,194996.51060694925
2010,MIDDLESEX,CT,191606.923463457
2010,NEW HAVEN,CT,1666976.0319157105
2010,NEW LONDON,CT,363404.122321059
2010,TOLLAND,CT,112644.922787468
2010,WINDHAM,CT,189259.624616435
2011,ANDERSON,CT,0.105945
2011,FAIRFIELD,CT,1133449.4887534275
2011,HARTFORD,CT,4596600.300579294
2011,LITCHFIELD,CT,198101.600703422
2011,MIDDLESEX,CT,203041.4487913955
2011,NEW HAVEN,CT,1765239.6088293372
2011,NEW LONDON,CT,379823.391428246
2011,TOLLAND,CT,116444.92780047975
2011,WINDHAM,CT,182345.1313736775
2012,FAIRFIELD,CT,2475393.0219174223
2012,HARTFORD,CT,5418620.292933829
2012,LITCHFIELD,CT,214340.357927752
2012,MIDDLESEX,CT,209074.6034020605
2012,NEW HAVEN,CT,1911770.9085573705
2012,NEW LONDON,CT,403766.8691464655
2012,TOLLAND,CT,123800.6171798485
2012,WINDHAM,CT,187916.135691394
2013,FAIRFIELD,CT,1975198.675434853
2013,HARTFORD,CT,5779640.910040594
2013,LITCHFIELD,CT,211381.9103412615
2013,MIDDLESEX,CT,213959.5541267455
2013,NEW HAVEN,CT,1925399.6791829364
2013,NEW LONDON,CT,532749.769449145
2013,TOLLAND,CT,123087.588135375
2013,WINDHAM,CT,182280.564704456
2014,FAIRFIELD,CT,2577245.664150681
2014,HARTFORD,CT,5110450.940282175
2014,LITCHFIELD,CT,215187.9489075155
2014,MIDDLESEX,CT,216380.220599082
2014,NEW HAVEN,CT,1942818.644630889
2014,NEW LONDON,CT,655473.8174692525
2014,TOLLAND,CT,119376.0702346179
2014,WINDHAM,CT,197103.520775848
2015,FAIRFIELD,CT,8099466.334880046
2015,HARTFORD,CT,5756661.4657092355
2015,LITCHFIELD,CT,210349.73985559898
2015,MIDDLESEX,CT,218007.1349109305
2015,NEW HAVEN,CT,1925292.3331049865
2015,NEW LONDON,CT,581400.9220594364
2015,TOLLAND,CT,117997.3427416535
2015,WINDHAM,CT,198134.12694731
2016,FAIRFIELD,CT,982587.1679021044
2016,HARTFORD,CT,5761966.729392939
2016,LITCHFIELD,CT,205718.47164516698
2016,MIDDLESEX,CT,208208.0262795605
2016,NEW HAVEN,CT,1883980.4098619875
2016,NEW LONDON,CT,431739.329188775
2016,TOLLAND,CT,115201.59738367249
2016,WINDHAM,CT,212322.31430894148
2017,FAIRFIELD,CT,1475227.1064135148
2017,HARTFORD,CT,5546845.188001033
2017,LITCHFIELD,CT,205791.1849256955
2017,MIDDLESEX,CT,205245.89084651525
2017,NEW HAVEN,CT,1852078.223353401
2017,NEW LONDON,CT,417457.71433748846
2017,TOLLAND,CT,110247.3927002415
2017,WINDHAM,CT,205645.385434772
2018,FAIRFIELD,CT,1878005.519172499
2018,HARTFORD,CT,2284235.3339957898
2018,LITCHFIELD,CT,205223.932804441
2018,MIDDLESEX,CT,189113.24227854848
2018,NEW HAVEN,CT,1716010.6467037357
2018,NEW LONDON,CT,412998.5814731735
2018,TOLLAND,CT,105100.365006215
2018,WINDHAM,CT,215739.163535278
2019,FAIRFIELD,CT,799409.4886700835
2019,HARTFORD,CT,1293739.2787443951
2019,LITCHFIELD,CT,228924.7355435215
2019,MIDDLESEX,CT,185986.53101286298
2019,NEW HAVEN,CT,1809139.9803831705
2019,NEW LONDON,CT,416521.1971230655
2019,TOLLAND,CT,103598.29053533549
2019,WINDHAM,CT,240008.97247906498
