year,BUYER_COUNTY,BUYER_STATE,strength
2006,DISTRICT OF COLUMBIA,DC,411716.85847343144
2007,DISTRICT OF COLUMBIA,DC,459304.91514100705
2008,DISTRICT OF COLUMBIA,DC,461371.3963806343
2009,DISTRICT OF COLUMBIA,DC,473628.09162040247
2010,DISTRICT OF COLUMBIA,DC,485092.737233037
2011,DISTRICT OF COLUMBIA,DC,499000.38729060575
2012,DISTRICT OF COLUMBIA,DC,516121.572036479
2013,DISTRICT OF COLUMBIA,DC,515127.1248325265
2014,DISTRICT OF COLUMBIA,DC,524619.002062409
2015,DISTRICT OF COLUMBIA,DC,529389.4853973996
2016,DISTRICT OF COLUMBIA,DC,552217.0638522578
2017,DISTRICT OF COLUMBIA,DC,572886.6345316531
2018,DISTRICT OF COLUMBIA,DC,603033.7679900874
2019,DISTRICT OF COLUMBIA,DC,661315.3238235483
