year,BUYER_COUNTY,BUYER_STATE,strength
2006,KENT,DE,101106.57652559665
2006,NEW CASTLE,DE,584787644.1816318
2006,SUSSEX,DE,199552.95293441848
2007,KENT,DE,120530.82442936624
2007,NEW CASTLE,DE,98011724.12213457
2007,SUSSEX,DE,252291.57420915423
2008,KENT,DE,140634.7466650135
2008,NEW CASTLE,DE,359451125.2592891
2008,SUSSEX,DE,316234.45658939675
2009,KENT,DE,151518.779400649
2009,NEW CASTLE,DE,81588440.3161895
2009,SUSSEX,DE,363802.748528857
2010,KENT,DE,181617.2322942885
2010,NEW CASTLE,DE,138000495.43658495
2010,SUSSEX,DE,438781.202915009
2011,KENT,DE,216112.0990481815
2011,NEW CASTLE,DE,101929458.56573723
2011,SUSSEX,DE,489247.5138261225
2012,KENT,DE,223417.671747568
2012,NEW CASTLE,DE,647511878.8042014
2012,SUSSEX,DE,399581.03844875447
2013,KENT,DE,230740.361412531
2013,NEW CASTLE,DE,196693747.94479504
2013,SUSSEX,DE,364771.6836683685
2014,KENT,DE,236018.0070416125
2014,NEW CASTLE,DE,619026985.809841
2014,SUSSEX,DE,372089.8252753175
2015,KENT,DE,245687.18543651848
2015,NEW CASTLE,DE,138369078.02302346
2015,SUSSEX,DE,340440.758997328
2016,KENT,DE,262882.3335699129
2016,NEW CASTLE,DE,126874540.88997519
2016,SUSSEX,DE,340885.962656972
2017,KENT,DE,274543.04894671147
2017,NEW CASTLE,DE,78951702.95203842
2017,SUSSEX,DE,355472.7533317705
2018,KENT,DE,277365.3380940766
2018,NEW CASTLE,DE,86979268.98687626
2018,SUSSEX,DE,362024.69029963895
2019,KENT,DE,278182.960845467
2019,NEW CASTLE,DE,104868686.0252211
2019,SUSSEX,DE,375806.8261291595
