year,BUYER_COUNTY,BUYER_STATE,strength
2006,HAWAII,HI,166971.8714259236
2006,HONOLULU,HI,1109651.8985178305
2006,KAUAI,HI,87473.8816750245
2006,MAUI,HI,145843.114231377
2007,HAWAII,HI,175006.7926918688
2007,HONOLULU,HI,1221583.9417155406
2007,KAUAI,HI,78385.5031971147
2007,MAUI,HI,168684.32686723076
2008,HAWAII,HI,191538.71784191334
2008,HONOLULU,HI,1327031.0773083635
2008,KAUAI,HI,82434.568870391
2008,MAUI,HI,162940.06549565223
2009,HAWAII,HI,207374.888790972
2009,HONOLULU,HI,1362741.3401819144
2009,KAUAI,HI,98399.534316281
2009,MAUI,HI,198126.342374368
2010,HAWAII,HI,218501.150366607
2010,HONOLULU,HI,1417218.9542384401
2010,KAUAI,HI,100943.6306359385
2010,MAUI,HI,221938.79135480474
2011,HAWAII,HI,224072.86722095424
2011,HONOLULU,HI,1485965.3255474987
2011,KAUAI,HI,100413.51352004024
2011,MAUI,HI,236023.2809521215
2012,HAWAII,HI,230795.96332763048
2012,HONOLULU,HI,1422358.0636688876
2012,KAUAI,HI,97064.81392824149
2012,MAUI,HI,219790.0319088255
2013,HAWAII,HI,233726.7538146305
2013,HONOLULU,HI,1406601.323576851
2013,KAUAI,HI,87377.283878164
2013,MAUI,HI,214111.0607148755
2014,HAWAII,HI,218935.412646621
2014,HONOLULU,HI,1357845.148204938
2014,KAUAI,HI,82962.383748571
2014,MAUI,HI,196546.194926976
2015,HAWAII,HI,209993.06802638798
2015,HONOLULU,HI,1321214.6511723143
2015,KAUAI,HI,76927.1867310051
2015,MAUI,HI,196280.667379691
2016,HAWAII,HI,199744.8579856275
2016,HONOLULU,HI,1290801.7045257024
2016,KAUAI,HI,78129.783754091
2016,MAUI,HI,190299.706319669
2017,HAWAII,HI,188313.1060499535
2017,HONOLULU,HI,1220287.5594690922
2017,KAUAI,HI,73104.63256555
2017,MAUI,HI,173108.51774079
2018,HAWAII,HI,177195.49180844598
2018,HONOLULU,HI,1093774.0681984457
2018,KAUAI,HI,61029.375622153
2018,MAUI,HI,160661.9915340255
2019,HAWAII,HI,156781.89220928098
2019,HONOLULU,HI,1022311.237685627
2019,KAUAI,HI,52673.072289521
2019,MAUI,HI,148579.212850901
