year,BUYER_COUNTY,BUYER_STATE,strength
2006,ADAIR,IA,3350.99922557625
2006,ADAMS,IA,1943.602769534
2006,ALLAMAKEE,IA,3538.00519747
2006,APPANOOSE,IA,8230.270917796
2006,AUDUBON,IA,1593.7338998515
2006,BENTON,IA,3750.916753304
2006,BLACK HAWK,IA,70017.4205113376
2006,BOONE,IA,15513.8165940575
2006,BREMER,IA,8855.981558772999
2006,BUCHANAN,IA,5477.83135782965
2006,BUENA VISTA,IA,3639.6699611735
2006,BUTLER,IA,2546.4036690045
2006,CALHOUN,IA,2790.752493953
2006,CARROLL,IA,10437.856049562999
2006,CASS,IA,5251.6639488585
2006,CEDAR,IA,1681.0797401435
2006,CERRO GORDO,IA,26293.696701931
2006,CHEROKEE,IA,3319.8931692865
2006,CHICKASAW,IA,1982.92182229245
2006,CLARKE,IA,5019.631294138
2006,CLAY,IA,5264.84865244875
2006,CLAYTON,IA,4946.651864401
2006,CLINTON,IA,21224.38658640695
2006,CRAWFORD,IA,3633.54219354
2006,DALLAS,IA,13824.0337299265
2006,DAVIS,IA,1439.389210205
2006,DECATUR,IA,2791.866831296
2006,DELAWARE,IA,2489.768428221
2006,DES MOINES,IA,18800.13367833075
2006,DICKINSON,IA,4824.9652395269995
2006,DUBUQUE,IA,32788.63298087695
2006,EMMET,IA,2196.480847008
2006,FAYETTE,IA,6325.264966558
2006,FLOYD,IA,1756486.1481545386
2006,FRANKLIN,IA,7226.4285694891
2006,FREMONT,IA,1950.1925418429998
2006,GREENE,IA,2899.27649968095
2006,GRUNDY,IA,9307.4367572845
2006,GUTHRIE,IA,3449.505065318
2006,HAMILTON,IA,5724.1505737669995
2006,HANCOCK,IA,1263.283826074
2006,HARDIN,IA,6265.8140362425
2006,HARRISON,IA,7732.40408183875
2006,HENRY,IA,5386.466261474
2006,HOWARD,IA,2744.561411254
2006,HUMBOLDT,IA,3343.554097457
2006,IDA,IA,3180.9585589965
2006,IOWA,IA,2118.136242118
2006,JACKSON,IA,7361.5213462599995
2006,JASPER,IA,17200.16918841975
2006,JEFFERSON,IA,8750.547582584
2006,JOHNSON,IA,55744.18223293595
2006,JONES,IA,4046.283221327
2006,KEOKUK,IA,793.752196341
2006,KOSSUTH,IA,5249.4937266424995
2006,LEE,IA,17626.455567900648
2006,LINN,IA,86937.6441260209
2006,LOUISA,IA,925.14580493575
2006,LUCAS,IA,43013.14001249
2006,LYON,IA,2296.678410693
2006,MADISON,IA,8809.6450899155
2006,MAHASKA,IA,13646.78023237675
2006,MARION,IA,18987.9221745355
2006,MARSHALL,IA,19965.858274041
2006,MILLS,IA,3478.535333535
2006,MITCHELL,IA,2518.871642085
2006,MONONA,IA,5102.0877664835
2006,MONROE,IA,3615.348059888
2006,MONTGOMERY,IA,6679.843125429
2006,MUSCATINE,IA,10966.2865687
2006,OBRIEN,IA,3147.09547899495
2006,OSCEOLA,IA,920.809210573
2006,PAGE,IA,5696.8188337725
2006,PALO ALTO,IA,1516.8019530345
2006,PLYMOUTH,IA,2843.479168674
2006,POCAHONTAS,IA,1570.793716123
2006,POLK,IA,332353.13451865024
2006,POTTAWATTAMIE,IA,48235.9570321965
2006,POWESHIEK,IA,7215.895948747
2006,RINGGOLD,IA,1830.5725923124999
2006,SAC,IA,1568.728825169
2006,SCOTT,IA,87046.4666983306
2006,SHELBY,IA,3757.11931787
2006,SIOUX,IA,4571.7173484694995
2006,STORY,IA,21805.1500073775
2006,TAMA,IA,2400.958641672
2006,TAYLOR,IA,1352.3755240625
2006,UNION,IA,7724.655420049
2006,VAN BUREN,IA,1552.263725644
2006,WAPELLO,IA,19948.071739848
2006,WARREN,IA,15273.3902366835
2006,WASHINGTON,IA,5733.725537301
2006,WAYNE,IA,3411.532245364
2006,WEBSTER,IA,18325.1148806108
2006,WINNEBAGO,IA,4228.073208406
2006,WINNESHIEK,IA,4161.870489876
2006,WOODBURY,IA,30126.88062359425
2006,WORTH,IA,868.5799042799999
2006,WRIGHT,IA,5045.4948950405
2007,ADAIR,IA,3906.560611182
2007,ADAMS,IA,2330.917443465
2007,ALLAMAKEE,IA,3702.113224971
2007,APPANOOSE,IA,9692.408771913
2007,AUDUBON,IA,2372.9290500049997
2007,BENTON,IA,4097.7375972185
2007,BLACK HAWK,IA,65294.92170559215
2007,BOONE,IA,16879.3795395185
2007,BREMER,IA,11536.727985144
2007,BUCHANAN,IA,4669.393194743
2007,BUENA VISTA,IA,3416.6132318965
2007,BUTLER,IA,2664.4964299955
2007,CALHOUN,IA,3049.924499182
2007,CARROLL,IA,12841.99215642625
2007,CASS,IA,5765.4650921625
2007,CEDAR,IA,1571.370530549
2007,CERRO GORDO,IA,29523.032406642
2007,CHEROKEE,IA,3868.281378523
2007,CHICKASAW,IA,1739.510945987
2007,CLARKE,IA,5526.173069579
2007,CLAY,IA,7147.8016095774
2007,CLAYTON,IA,5576.979930068
2007,CLINTON,IA,23000.015295466248
2007,CRAWFORD,IA,4216.997057422
2007,DALLAS,IA,16717.518588586
2007,DAVIS,IA,1601.0562450754999
2007,DECATUR,IA,3459.789623274
2007,DELAWARE,IA,2931.622063635
2007,DES MOINES,IA,20212.0877342145
2007,DICKINSON,IA,4444.705534824499
2007,DUBUQUE,IA,33782.5114496425
2007,EMMET,IA,2132.365145132
2007,FAYETTE,IA,7977.258277267
2007,FLOYD,IA,5557368.81043373
2007,FRANKLIN,IA,4017.130946114
2007,FREMONT,IA,2709.641302274
2007,GREENE,IA,4007.832241844
2007,GRUNDY,IA,8356.418880465999
2007,GUTHRIE,IA,4316.4017147725
2007,HAMILTON,IA,6867.31492867625
2007,HANCOCK,IA,1556.125734705
2007,HARDIN,IA,8108.6201066235
2007,HARRISON,IA,7761.40400176875
2007,HENRY,IA,5855.979465017
2007,HOWARD,IA,3334.71711073
2007,HUMBOLDT,IA,4099.405988142
2007,IDA,IA,3484.3916628839997
2007,IOWA,IA,2520.500897159
2007,JACKSON,IA,6683.8923729564995
2007,JASPER,IA,19318.594011472
2007,JEFFERSON,IA,10826.1089555139
2007,JOHNSON,IA,297502.2566849454
2007,JONES,IA,3407.739343173
2007,KEOKUK,IA,848.408158826
2007,KOSSUTH,IA,5319.319668073
2007,LEE,IA,19702.570881392
2007,LINN,IA,106276.27071956494
2007,LOUISA,IA,940.475529872
2007,LUCAS,IA,57779.438874715
2007,LYON,IA,3254.60541380245
2007,MADISON,IA,9784.928069831
2007,MAHASKA,IA,13961.782073598
2007,MARION,IA,20610.415858656248
2007,MARSHALL,IA,22584.294153780498
2007,MILLS,IA,3530.340493285
2007,MITCHELL,IA,1648.552476225
2007,MONONA,IA,5425.53595239
2007,MONROE,IA,3896.2316456456
2007,MONTGOMERY,IA,6046.053868382
2007,MUSCATINE,IA,11066.42569777
2007,OBRIEN,IA,3525.6278674655
2007,OSCEOLA,IA,1321.0620499505
2007,PAGE,IA,112875.45288535845
2007,PALO ALTO,IA,2004.425638727
2007,PLYMOUTH,IA,3079.955797538
2007,POCAHONTAS,IA,1702.827792372
2007,POLK,IA,380311.9530307497
2007,POTTAWATTAMIE,IA,45086.7340291203
2007,POWESHIEK,IA,7550.2104731419995
2007,RINGGOLD,IA,1742.295831302
2007,SAC,IA,1573.6543181084999
2007,SCOTT,IA,92665.39340751745
2007,SHELBY,IA,4417.895193352
2007,SIOUX,IA,4537.6594993415
2007,STORY,IA,25319.539824451498
2007,TAMA,IA,2416.7232214967
2007,TAYLOR,IA,1457.513228585
2007,UNION,IA,9488.5947933675
2007,VAN BUREN,IA,1746.140492171
2007,WAPELLO,IA,21799.658229364
2007,WARREN,IA,19891.223108463248
2007,WASHINGTON,IA,5870.8445222404
2007,WAYNE,IA,3114.545636585
2007,WEBSTER,IA,19557.5750653645
2007,WINNEBAGO,IA,3497.3507953069998
2007,WINNESHIEK,IA,4151.557925827
2007,WOODBURY,IA,29961.0580160605
2007,WORTH,IA,1172.3724256389999
2007,WRIGHT,IA,5960.4551301705
2008,ADAIR,IA,3741.4525834895
2008,ADAMS,IA,2946.8315354164997
