year,BUYER_COUNTY,BUYER_STATE,strength
2006,ADAIR,KY,8507.9509611355
2006,ALLEN,KY,10354.0493593493
2006,ANDERSON,KY,10431.413504431
2006,BALLARD,KY,2363.6663959909997
2006,BARREN,KY,355894.019236126
2006,BATH,KY,3038.22707812
2006,BELL,KY,45206.533182442996
2006,BOONE,KY,102668.45158413924
2006,BOURBON,KY,18997.565744124
2006,BOYD,KY,83296.83114951524
2006,BOYLE,KY,23650.328651876
2006,BRACKEN,KY,2242.094872387
2006,BREATHITT,KY,13823.489258449
2006,BRECKINRIDGE,KY,11030.249889769
2006,BULLITT,KY,19666239.402326733
2006,BUTLER,KY,7363.372785484
2006,CALDWELL,KY,11231.6162256769
2006,CALLOWAY,KY,153819.11485993775
2006,CAMPBELL,KY,67034.256761888
2006,CARLISLE,KY,1340.443147199
2006,CARROLL,KY,8388.472419081
2006,CARTER,KY,22066.9543626635
2006,CASEY,KY,4433.482788865
2006,CHRISTIAN,KY,38189.10979915
2006,CLARK,KY,974664.8390479973
2006,CLAY,KY,32901.6707106465
2006,CLINTON,KY,11794.71309509
2006,CRITTENDEN,KY,14729.348178409
2006,CUMBERLAND,KY,7824.279050612
2006,DAVIESS,KY,55330.2232652937
2006,EDMONSON,KY,3743.096365481
2006,ELLIOTT,KY,3210.920730187
2006,ESTILL,KY,6956.97395491975
2006,FAYETTE,KY,474360.78520124074
2006,FLEMING,KY,7204.3685959175
2006,FLOYD,KY,49124.931351445
2006,FRANKLIN,KY,29313.253690987
2006,FULTON,KY,5165.7829249925
2006,GALLATIN,KY,2786.285135144
2006,GARRARD,KY,9643.13482079
2006,GRANT,KY,27092.4738453645
2006,GRAVES,KY,17550.05927388925
2006,GRAYSON,KY,20378.0619319955
2006,GREEN,KY,5680.7113144685
2006,GREENUP,KY,35616.04526973475
2006,HANCOCK,KY,1384.468371341
2006,HARDIN,KY,65188.3340211631
2006,HARLAN,KY,42712.663086927
2006,HARRISON,KY,9275.6728582455
2006,HART,KY,4733.320002481
2006,HENDERSON,KY,52681.86224963775
2006,HENRY,KY,5432.692784187
2006,HICKMAN,KY,1779.945739669
2006,HOPKINS,KY,40790.590824259
2006,JACKSON,KY,4997.869171321
2006,JEFFERSON,KY,634939.3111480948
2006,JESSAMINE,KY,33121.3571095646
2006,JOHNSON,KY,66366.890690234
2006,KENTON,KY,123844.1909484245
2006,KNOTT,KY,2992.820471309
2006,KNOX,KY,21652.8521041865
2006,LARUE,KY,6445.875095483
2006,LAUREL,KY,43764.305354362
2006,LAWRENCE,KY,24315.914229121
2006,LEE,KY,14654.862417801
2006,LESLIE,KY,14149.381908858
2006,LETCHER,KY,16642.92961057595
2006,LEWIS,KY,6979.7060017665
2006,LINCOLN,KY,11185.951992448
2006,LIVINGSTON,KY,7841.928704264
2006,LOGAN,KY,10733.3071323115
2006,LYON,KY,5235.3390219679995
2006,MADISON,KY,56214.9825643775
2006,MAGOFFIN,KY,6116.261534871
2006,MARION,KY,9357.683866799
2006,MARSHALL,KY,18654.505084432
2006,MARTIN,KY,6522.3890290505
2006,MASON,KY,13028.5036599595
2006,MCCRACKEN,KY,1128857.4928136792
2006,MCCREARY,KY,12470.340359643
2006,MCLEAN,KY,1456.6377860544999
2006,MEADE,KY,6758.537414611
2006,MENIFEE,KY,2974.702813477
2006,MERCER,KY,10358.1983246655
2006,METCALFE,KY,2103.289802072
2006,MONROE,KY,12533.960710928499
2006,MONTGOMERY,KY,25002.897377147
2006,MORGAN,KY,5696.041975964999
2006,MUHLENBERG,KY,22852.1587893965
2006,NELSON,KY,17259.806400491998
2006,NICHOLAS,KY,3153.18089821
2006,OHIO,KY,16194.789491847
2006,OLDHAM,KY,20087.2410252455
2006,OWEN,KY,4029.607410186
2006,OWSLEY,KY,4083.1497778469998
2006,PENDLETON,KY,4850.5894692599995
2006,PERRY,KY,111461.1312289005
2006,PIKE,KY,143747.6117602609
2006,POWELL,KY,8993.6552387885
2006,PULASKI,KY,55883.48353882435
2006,ROCKCASTLE,KY,18069.411116043
2006,ROWAN,KY,46595.1259394425
2006,RUSSELL,KY,17395.6116196845
2006,SCOTT,KY,21760.7612239965
2006,SHELBY,KY,759163.3360068094
2006,SIMPSON,KY,12412.630358627499
2006,SPENCER,KY,4309.092410108
2006,TAYLOR,KY,13025.3680897895
2006,TODD,KY,4676.9419523575
2006,TRIGG,KY,4290.0705728286
2006,TRIMBLE,KY,1493.087979162
2006,UNION,KY,12305.325160563
2006,WARREN,KY,62271.403448081
2006,WASHINGTON,KY,2314.1945919199998
2006,WAYNE,KY,15195.40619211075
2006,WEBSTER,KY,7339.00669164
2006,WHITLEY,KY,116841.81327482675
2006,WOLFE,KY,5667.210571613
2006,WOODFORD,KY,9806.751488671
2007,ADAIR,KY,11207.2486163697
2007,ALLEN,KY,14680.7479358408
2007,ANDERSON,KY,13860.1895216625
2007,BALLARD,KY,2659.954656955
2007,BARREN,KY,414065.5710694875
2007,BATH,KY,3286.858143443
2007,BELL,KY,49932.9994152675
2007,BOONE,KY,534368.6616393722
2007,BOURBON,KY,14399.7401475295
2007,BOYD,KY,83707.106876705
2007,BOYLE,KY,27683.8422300885
2007,BRACKEN,KY,2157.051956731
2007,BREATHITT,KY,14352.988469813
2007,BRECKINRIDGE,KY,12588.1312643575
2007,BULLITT,KY,40399982.95935376
2007,BUTLER,KY,9208.180406188
2007,CALDWELL,KY,10685.952710757
2007,CALLOWAY,KY,157600.54760814525
2007,CAMPBELL,KY,74529.488965065
