year,BUYER_COUNTY,BUYER_STATE,strength
2006,BARNSTABLE,MA,234445.2216291265
2006,BERKSHIRE,MA,133997.1213269685
2006,BRISTOL,MA,1506698.8603268492
2006,DUKES,MA,16307.0854687615
2006,ESSEX,MA,7093828.124760827
2006,FRANKLIN,MA,57279.59664093625
2006,HAMPDEN,MA,613406.9213573594
2006,HAMPSHIRE,MA,133059.75870521148
2006,MIDDLESEX,MA,968399.0017273164
2006,NANTUCKET,MA,8965.9731862935
2006,NORFOLK,MA,442729.2860460515
2006,PLYMOUTH,MA,375861.28362308425
2006,SUFFOLK,MA,896784.1761270026
2006,WORCESTER,MA,1965358.905336323
2007,BARNSTABLE,MA,264327.431536376
2007,BERKSHIRE,MA,147521.7608355035
2007,BRISTOL,MA,1557963.0751873832
2007,DUKES,MA,20580.673372027
2007,ESSEX,MA,7743556.19935744
2007,FRANKLIN,MA,62945.13327426175
2007,HAMPDEN,MA,669674.6695822312
2007,HAMPSHIRE,MA,157149.7408078055
2007,MIDDLESEX,MA,1080102.423364725
2007,NANTUCKET,MA,9679.324821668499
2007,NORFOLK,MA,951185.819610729
2007,PLYMOUTH,MA,500113.8124562455
2007,SUFFOLK,MA,904792.1178210146
2007,WORCESTER,MA,1913834.9172235369
2008,BARNSTABLE,MA,292384.7480296138
2008,BERKSHIRE,MA,168751.50120872425
2008,BRISTOL,MA,1692946.1191477957
2008,DUKES,MA,24208.5611068195
2008,ESSEX,MA,7495383.635651892
2008,FRANKLIN,MA,64310.46927247225
2008,HAMPDEN,MA,680961.153910202
2008,HAMPSHIRE,MA,171760.26249546424
2008,MIDDLESEX,MA,1193990.1979795306
2008,NANTUCKET,MA,10912.1851633485
2008,NORFOLK,MA,525554.8045472819
2008,PLYMOUTH,MA,565195.7102759245
2008,SUFFOLK,MA,945958.7058285882
2008,WORCESTER,MA,1244708.377172619
2009,BARNSTABLE,MA,331069.3766431695
2009,BERKSHIRE,MA,177915.811211452
2009,BRISTOL,MA,2074514.9687685622
2009,DUKES,MA,23769.411580353
2009,ESSEX,MA,8388183.007967591
2009,FRANKLIN,MA,63551.54696820375
2009,HAMPDEN,MA,754388.936427773
2009,HAMPSHIRE,MA,202997.13153100724
2009,MIDDLESEX,MA,1228999.5772570309
2009,NANTUCKET,MA,11315.423398952
2009,NORFOLK,MA,531823.5429720272
2009,PLYMOUTH,MA,628610.5344477375
2009,SUFFOLK,MA,1001754.2603076154
2009,WORCESTER,MA,1334100.8260929836
2010,BARNSTABLE,MA,354759.884122008
2010,BERKSHIRE,MA,178473.843471571
2010,BRISTOL,MA,2226263.3997091083
2010,DUKES,MA,26011.512038837
2010,ESSEX,MA,10673236.98416288
2010,FRANKLIN,MA,72225.1839056425
2010,HAMPDEN,MA,801427.316185894
2010,HAMPSHIRE,MA,256284.473655553
2010,MIDDLESEX,MA,1735679.168859221
2010,NANTUCKET,MA,12705.013681805
2010,NORFOLK,MA,572604.2284202003
2010,PLYMOUTH,MA,671195.4558750547
2010,SUFFOLK,MA,1057337.7369657564
2010,WORCESTER,MA,1327645.6545815745
2011,BARNSTABLE,MA,366462.7614710795
2011,BERKSHIRE,MA,188584.134535424
2011,BRISTOL,MA,2337665.4159458536
2011,DUKES,MA,25076.6426038525
2011,ESSEX,MA,10246261.310460107
