year,BUYER_COUNTY,BUYER_STATE,strength
2006,ALLEGANY,MD,115167.24311057635
2006,ANNE ARUNDEL,MD,506094.9263335334
2006,BALTIMORE,MD,1207641.48463643
2006,BALTIMORE CITY,MD,1513140.9713662546
2006,CALVERT,MD,62802.4752191058
2006,CAROLINE,MD,19557.862874268
2006,CARROLL,MD,163981.25488877695
2006,CECIL,MD,191824.18502284848
2006,CHARLES,MD,85959.7468088718
2006,DORCHESTER,MD,24067.618102241748
2006,FREDERICK,MD,155979.11361678265
2006,GARRETT,MD,15428.8191216975
2006,HARFORD,MD,1452103.8198752056
2006,HOWARD,MD,9439175.766588653
2006,KENT,MD,36828.028070319
2006,MONTGOMERY,MD,492292.0723972373
2006,PRINCE GEORGES,MD,2665674.0159443547
2006,QUEEN ANNES,MD,34105.2564590155
2006,SAINT MARYS,MD,55116.862420203
2006,SOMERSET,MD,11125.468362631
2006,TALBOT,MD,24462.246451701998
2006,WASHINGTON,MD,355813.0207814609
2006,WICOMICO,MD,104004.983824483
2006,WORCESTER,MD,44527.6481273615
2007,ALLEGANY,MD,127205.04876816265
2007,ANNE ARUNDEL,MD,563669.2711758637
2007,BALTIMORE,MD,1608806.6165249562
2007,BALTIMORE CITY,MD,1562742.5662623546
2007,CALVERT,MD,80633.1339430297
2007,CAROLINE,MD,22177.977638498
2007,CARROLL,MD,181342.9147436698
2007,CECIL,MD,233991.36715389
2007,CHARLES,MD,103954.161997452
2007,DORCHESTER,MD,25034.6636784255
2007,FREDERICK,MD,177573.0547896625
2007,GARRETT,MD,18486.964404439
2007,HARFORD,MD,1906912.9851988314
2007,HOWARD,MD,1900155.2766325632
2007,KENT,MD,40880.9124854555
2007,MONTGOMERY,MD,676065.4282268205
2007,PRINCE GEORGES,MD,3114393.429326954
2007,QUEEN ANNES,MD,43491.73267471
2007,SAINT MARYS,MD,72692.7194071395
2007,SOMERSET,MD,13317.387363139
2007,TALBOT,MD,31372.976736685
2007,WASHINGTON,MD,386379.7908493236
2007,WICOMICO,MD,117086.135782363
2007,WORCESTER,MD,48884.2847462805
2008,ALLEGANY,MD,139189.246460599
2008,ANNE ARUNDEL,MD,788812.7609149317
2008,BALTIMORE,MD,1746388.4960148765
2008,BALTIMORE CITY,MD,1626239.3410893807
2008,CALVERT,MD,106366.48969602845
2008,CAROLINE,MD,22530.703662133998
2008,CARROLL,MD,202257.2680051265
2008,CECIL,MD,222474.1655736545
2008,CHARLES,MD,116737.19161763074
2008,DORCHESTER,MD,28199.038556127998
2008,FREDERICK,MD,219834.2555125181
2008,GARRETT,MD,20776.85655262075
2008,HARFORD,MD,2491075.3334754114
2008,HOWARD,MD,332247.1642738378
2008,KENT,MD,41709.933070449246
2008,MONTGOMERY,MD,637103.9619668496
2008,PRINCE GEORGES,MD,3570722.8709406983
2008,QUEEN ANNES,MD,44564.38667800975
